Open,Low,High,Close,Volume
2001-07-19,15.1,15.0,15.29,15.17,34994300.0
2001-07-20,15.05,14.8,15.05,15.01,9238500.0
2001-07-23,15.0,14.55,15.01,15.0,7501000.0
2001-07-24,14.95,14.7,14.97,14.86,3537300.0
2001-07-25,14.7,14.65,14.95,14.95,4208100.0
2001-07-26,14.95,14.5,14.99,14.5,6335300.0
2001-07-27,14.51,14.5,14.59,14.51,3524000.0
2001-07-30,14.5,14.5,14.78,14.7,3654300.0
2001-07-31,14.71,14.6,15.01,14.96,1429000.0
2001-08-01,15.0,14.9,15.5,15.5,2087900.0
2001-08-02,15.4,15.1,15.5,15.4,1717400.0
2001-08-03,15.4,14.98,15.4,15.15,983600.0
2001-08-06,15.15,15.02,15.22,15.1,777400.0
2001-08-07,15.1,15.1,15.55,15.5,788900.0
2001-08-08,15.4,15.0,15.6,15.0,2190300.0
2001-08-09,15.05,15.0,15.5,15.5,928000.0
2001-08-10,15.4,15.12,15.4,15.19,703300.0
2001-08-13,15.15,14.9,15.34,15.01,1770400.0
2001-08-14,15.05,14.65,15.06,14.7,1000800.0
2001-08-15,14.75,14.7,14.9,14.79,530900.0
2001-08-16,14.78,14.05,14.78,14.05,1522700.0
2001-08-17,14.06,13.9,14.8,14.52,2342400.0
2001-08-20,14.6,14.49,15.35,15.35,1434900.0
2001-08-21,15.25,15.01,15.6,15.46,1038200.0
2001-08-22,15.32,14.78,15.39,15.34,829000.0
2001-08-23,15.45,15.25,15.45,15.25,470000.0
2001-08-24,15.25,15.0,15.48,15.4,689000.0
2001-08-27,15.48,15.4,15.65,15.48,827700.0
2001-08-28,15.42,15.25,15.58,15.36,736900.0
2001-08-29,15.29,15.0,15.31,15.01,397400.0
2001-08-30,14.85,14.85,15.04,14.95,640100.0
2001-08-31,15.0,14.9,15.1,14.9,3337900.0
2001-09-04,15.0,15.0,15.65,15.38,1068600.0
2001-09-05,15.38,14.9,15.38,14.91,1053200.0
2001-09-06,14.75,14.4,15.01,14.5,1384500.0
2001-09-07,14.45,14.35,14.64,14.52,1408500.0
2001-09-10,14.58,14.55,15.16,15.15,622100.0
2001-09-17,15.14,14.47,15.14,14.6,1934300.0
2001-09-18,14.6,14.35,15.0,14.55,902800.0
2001-09-19,14.6,13.72,14.69,13.95,2415400.0
2001-09-20,13.9,12.84,13.9,12.95,3498900.0
2001-09-21,12.85,12.16,13.0,12.75,2051800.0
2001-09-24,13.0,12.95,13.28,13.2,1964200.0
2001-09-25,13.2,12.7,13.2,12.8,1827300.0
2001-09-26,12.8,12.2,12.96,12.2,3327200.0
2001-09-27,12.26,11.61,12.26,11.85,2347500.0
2001-09-28,12.1,12.1,13.45,12.75,2844000.0
2001-10-01,12.65,12.65,13.0,12.7,878800.0
2001-10-02,12.55,12.12,12.7,12.58,1900400.0
2001-10-03,12.62,12.6,13.06,12.95,2539400.0
2001-10-04,12.97,12.97,13.8,13.49,3108500.0
2001-10-05,13.5,13.32,13.74,13.55,2172300.0
2001-10-08,13.6,13.23,13.69,13.23,576100.0
2001-10-09,13.48,13.38,13.8,13.4,1601100.0
2001-10-10,13.35,13.3,13.75,13.67,1700400.0
2001-10-11,15.5,14.7,15.5,15.16,4214100.0
2001-10-12,15.26,15.26,16.549999,16.549999,5193300.0
2001-10-15,16.51,16.51,17.950001,17.5,3277900.0
2001-10-16,17.65,16.9,18.049999,17.450001,1996000.0
2001-10-17,17.65,16.85,17.74,16.98,1877100.0
2001-10-18,16.98,16.610001,16.98,16.700001,942000.0
2001-10-19,16.700001,16.540001,16.85,16.85,2062500.0
2001-10-22,17.0,16.969999,17.57,17.5,469600.0
2001-10-23,17.5,17.27,17.73,17.620001,915400.0
2001-10-24,17.68,17.57,17.76,17.74,472600.0
2001-10-25,17.74,17.129999,17.75,17.74,265100.0
2001-10-26,17.700001,17.5,17.780001,17.620001,566500.0
2001-10-29,17.719999,17.4,17.73,17.549999,616200.0
2001-10-30,17.450001,17.15,17.459999,17.35,574700.0
2001-10-31,17.42,17.1,17.6,17.57,718600.0
2001-11-01,17.52,17.52,18.59,18.309999,1089900.0
2001-11-02,18.5,18.1,19.1,18.25,2372800.0
