Open,Low,High,Close,Volume
2000-03-28,53.9375,50.5,54.125,51.03125,18758600.0
2000-03-29,51.3125,48.0625,51.34375,48.40625,22673800.0
2000-03-30,47.3125,43.625,49.0,46.5,28126400.0
2000-03-31,47.0,44.0625,48.46875,47.125,34750400.0
2000-04-03,47.78125,43.5,48.375,44.625,25758400.0
2000-04-04,46.6875,42.5,50.125,49.0625,47590600.0
2000-04-05,48.125,48.0,55.125,52.09375,43664400.0
2000-04-06,53.25,52.1875,55.625,53.34375,27906399.999999996
2000-04-07,54.0,53.5625,57.5,57.4375,24500600.0
2000-04-10,57.1875,51.625,57.3125,51.6875,31959600.0
2000-04-11,50.875,49.84375,55.625,52.3125,38127000.0
2000-04-12,53.53125,47.5625,54.375,48.78125,38652400.0
2000-04-13,50.5,44.46875,51.125,44.5,50301000.0
2000-04-14,44.15625,39.0,44.15625,40.15625,56500800.0
2000-04-17,40.5625,39.46875,48.34375,48.3125,42170400.0
2000-04-18,48.5,47.5,50.5625,50.5,35026800.0
2000-04-19,50.96875,45.0625,51.0,45.75,26403600.000000004
2000-04-20,46.8125,45.3125,47.46875,46.5625,22046200.000000004
2000-04-24,44.125,42.5,46.0,45.625,27603800.0
2000-04-25,46.875,46.1875,48.53125,47.65625,29233200.0
2000-04-26,47.9375,44.90625,50.0,45.21875,28792400.000000004
2000-04-27,44.5625,44.3125,51.125,50.15625,34258200.0
2000-04-28,51.46875,50.25,52.96875,50.90625,28244800.000000004
2000-05-01,51.84375,49.1875,52.375,49.96875,23929400.0
2000-05-02,49.5625,48.0,51.625,48.0625,20796400.0
2000-05-03,47.75,45.0,48.25,47.25,25262400.0
2000-05-04,48.375,46.875,49.4375,48.875,30632799.999999996
2000-05-05,50.28125,50.125,51.4375,50.9375,28783400.0
2000-05-08,50.28125,47.46875,51.5,47.84375,30611799.999999996
2000-05-09,48.53125,45.125,48.8125,45.3125,34374200.0
2000-05-10,44.90625,41.75,45.125,42.3125,65727200.0
2000-05-11,41.5,39.90625,43.375,42.625,79712400.0
2000-05-12,43.40625,41.875,44.75,42.21875,28628000.0
2000-05-15,42.25,40.8125,44.5,44.5,21820800.0
2000-05-16,45.914063,44.75,47.125,46.46875,30442200.0
2000-05-17,45.4375,44.75,47.0,44.8125,27816000.0
2000-05-18,45.28125,42.40625,45.375,42.5,21185800.0
2000-05-19,42.25,39.625,42.75,40.09375,36998000.0
2000-05-22,40.375,35.8125,40.5,39.65625,49372200.0
2000-05-23,39.0625,35.75,40.15625,35.9375,41466800.0
2000-05-24,36.0625,34.40625,39.96875,39.21875,51908600.0
2000-05-25,39.625,37.5,42.0,38.34375,41084600.0
2000-05-26,38.617188,36.40625,39.5,37.15625,22055800.0
2000-05-30,38.875,38.71875,42.5625,42.46875,28432400.000000004
2000-05-31,42.375,41.53125,43.875,41.75,33103800.0
2000-06-01,43.0,42.75,44.625,43.875,26072000.0
2000-06-02,47.375,46.1875,47.75,46.78125,28359600.0
2000-06-05,45.75,45.0,47.75,46.8125,24246800.0
2000-06-06,46.625,44.5,47.53125,44.65625,20783999.999999996
2000-06-07,45.1875,44.71875,46.90625,46.78125,20223000.0
2000-06-08,47.4375,45.625,47.875,46.34375,14845800.0
2000-06-09,47.78125,46.84375,47.8125,47.4375,14519200.000000002
2000-06-12,47.5,45.25,47.5,45.53125,11968600.0
2000-06-13,45.5,44.5,46.3125,46.0625,19829800.0
2000-06-14,46.15625,43.0,46.25,43.03125,20298600.000000004
2000-06-15,43.328125,43.0625,44.6875,44.21875,24216800.000000004
2000-06-16,45.09375,43.53125,46.8125,46.53125,30451000.0
2000-06-19,46.0625,45.3125,48.3125,48.25,23073000.0
2000-06-20,48.46875,47.25,49.25,48.09375,25563800.0
2000-06-21,47.289063,47.0,49.03125,48.96875,19088400.0
2000-06-22,48.78125,46.875,48.90625,46.9375,16083400.000000002
2000-06-23,47.375,45.125,47.5,45.375,17044800.000000004
2000-06-26,46.1875,44.59375,46.1875,44.75,16529000.0
2000-06-27,45.0625,43.375,45.625,44.0625,18507600.0
2000-06-28,44.65625,43.8125,46.5,45.28125,19140600.0
2000-06-29,44.75,43.8125,45.46875,44.53125,17770200.0
2000-06-30,44.25,44.1875,45.9375,45.3125,14952200.0
2000-07-03,45.40625,45.3125,46.3125,46.28125,5489000.0
2000-07-05,44.75,41.375,44.75,41.71875,42006800.0
2000-07-06,42.21875,41.3125,43.75,43.34375,34004200.0
2000-07-07,44.65625,44.25,45.46875,44.78125,20448200.0
2000-07-10,43.71875,42.5,45.96875,44.3125,31365800.0
2000-07-11,44.59375,43.125,45.5,43.5,30018200.0
2000-07-12,44.375,43.875,45.5,44.5,21060600.0
2000-07-13,45.0625,43.125,45.46875,43.875,20505000.0
2000-07-14,44.6875,43.6875,44.96875,44.34375,15457800.000000002
2000-07-17,44.40625,44.34375,47.25,47.0,27972400.0
2000-07-18,45.9375,44.1875,46.625,44.4375,26230000.000000004
2000-07-19,44.15625,42.6875,44.25,43.34375,19475000.0
2000-07-20,43.71875,40.6875,44.59375,41.59375,36380400.0
2000-07-21,40.90625,38.90625,40.9375,39.0625,37719800.0
2000-07-24,39.96875,39.0625,41.117188,40.25,30314400.0
2000-07-25,41.0625,40.53125,42.4375,42.25,22657000.0
2000-07-26,41.375,39.8125,41.6875,40.9375,38999400.0
2000-07-27,39.96875,36.875,40.21875,37.15625,46770600.0
2000-07-28,37.84375,36.0,38.6875,37.0,44715000.0
2000-07-31,37.53125,36.4375,38.75,37.9375,27353600.0
2000-08-01,38.53125,36.9375,38.625,37.28125,20918000.0
2000-08-02,37.34375,36.21875,38.71875,36.28125,24667800.0
2000-08-03,33.125,32.375,36.0,34.5,85582400.0
2000-08-04,35.625,32.96875,35.75,33.875,44510600.0
2000-08-07,34.46875,33.890625,35.5,34.96875,35847800.0
2000-08-08,35.5625,34.53125,35.875,35.28125,25573800.000000004
2000-08-09,36.625,36.0,37.25,36.0625,51365400.0
2000-08-10,35.59375,34.21875,36.59375,34.625,59778600.0
2000-08-11,34.40625,33.25,34.96875,34.59375,26844200.000000004
2000-08-14,34.96875,34.75,37.53125,37.40625,29753200.0
2000-08-15,37.6875,37.65625,39.40625,38.90625,36303600.0
2000-08-16,39.5625,39.5,40.90625,40.46875,39106800.0
2000-08-17,40.484375,39.75,42.125,42.0,30543400.0
2000-08-18,42.34375,41.5,43.0625,41.96875,25606400.000000004
2000-08-21,42.375,40.25,42.375,40.71875,21050600.0
2000-08-22,41.1875,40.28125,41.9375,41.0,18029800.0
2000-08-23,40.75,40.625,42.75,42.71875,22927200.0
2000-08-24,42.625,42.1875,43.53125,42.78125,22519600.0
2000-08-25,42.773438,41.5,43.15625,42.34375,17622200.0
2000-08-28,42.3125,41.15625,42.75,41.59375,16419800.000000002
2000-08-29,41.71875,41.25,42.875,42.53125,16402999.999999998
2000-08-30,42.40625,41.625,42.8125,42.1875,14924200.0
2000-08-31,42.53125,41.59375,43.8125,43.15625,21352800.0
2000-09-01,43.84375,41.84375,44.4375,42.40625,20142200.0
2000-09-05,41.9375,41.75,42.75,42.21875,14226399.999999998
2000-09-06,41.3125,39.5,42.5,39.8125,27470400.0
2000-09-07,39.90625,38.9375,40.8125,40.1875,29233400.0
2000-09-08,39.46875,37.5,39.5625,37.75,28132400.0
2000-09-11,37.71875,36.875,39.21875,37.59375,29783000.0
2000-09-12,37.5625,35.625,37.9375,35.84375,29049400.0
2000-09-13,35.28125,35.0625,37.5,37.0,23082000.000000004
2000-09-14,37.9375,37.0,38.25,37.46875,17110800.0
2000-09-15,36.96875,35.65625,37.4375,36.5625,23178200.000000004
2000-09-18,36.78125,35.75,37.84375,36.125,22940600.0
2000-09-19,36.632813,36.125,38.5625,38.46875,19357600.0
2000-09-20,38.53125,37.25,39.375,39.0,26743600.0
2000-09-21,37.875,36.5,38.125,36.75,27943800.000000004
2000-09-22,34.09375,33.5625,35.0,35.0,57980000.0
2000-09-25,35.78125,33.28125,36.117188,33.71875,31486400.0
2000-09-26,33.78125,32.46875,34.3125,32.71875,30867400.0
2000-09-27,33.1875,31.1875,33.3125,31.9375,30308600.0
2000-09-28,31.5,31.03125,32.53125,31.9375,45936800.0
2000-09-29,31.359375,29.117188,31.625,29.65625,30596800.0
2000-10-02,30.375,28.25,30.46875,28.34375,32499400.0
2000-10-03,27.8125,25.75,27.84375,25.8125,58056800.0
2000-10-04,25.84375,25.8125,27.5,27.09375,54834400.0
2000-10-05,26.882813,25.875,27.25,26.5625,31700800.0
2000-10-06,26.5,26.0,27.375,27.09375,29797800.0
2000-10-09,26.875,25.8125,28.59375,27.875,27575000.000000004
