Open,Low,High,Close,Volume
2000-03-28,27.125,26.75,28.4375,27.5625,5329400.0
2000-03-29,28.0,25.9375,28.125,27.375,7653400.0
2000-03-30,26.4375,26.375,30.0,30.0,15643799.999999998
2000-03-31,29.875,28.25,30.1875,29.5,10217200.0
2000-04-03,29.625,29.0,30.9375,30.4375,9475000.0
2000-04-04,30.625,25.5,32.25,30.5625,17683000.0
2000-04-05,32.0,30.90625,34.53125,34.1875,21476000.0
2000-04-06,36.375,31.375,37.125,35.5,18208000.000000004
2000-04-07,35.4375,35.0,37.75,37.75,15218799.999999998
2000-04-10,38.375,36.125,39.59375,37.75,16499800.0
2000-04-11,35.78125,33.53125,35.875,35.3125,17022200.0
2000-04-12,34.875,31.375,38.5,38.0,11613600.0
2000-04-13,38.59375,35.0625,38.6875,35.5,30025400.000000004
2000-04-14,34.875,32.125,35.75,33.0,14366400.000000002
2000-04-17,32.625,32.59375,37.0,36.3125,13095800.0
2000-04-18,36.4375,35.75,39.625,39.5,16538200.0
2000-04-19,39.34375,37.21875,39.46875,37.625,9904200.0
2000-04-20,37.6875,37.5,39.46875,39.125,7509600.0
2000-04-24,38.625,38.09375,40.8125,40.5,12660000.0
2000-04-25,41.0,40.875,44.0,43.75,12718000.0
2000-04-26,42.59375,40.9375,43.6875,41.125,14022200.0
2000-04-27,40.25,40.125,43.625,42.625,14193400.0
2000-04-28,43.0,40.8125,44.4375,43.75,15888000.0
2000-05-01,43.5,43.46875,46.0,44.1875,12111800.0
2000-05-02,44.0625,43.90625,46.1875,44.75,12281600.0
2000-05-03,44.75,42.03125,45.25,43.875,9597600.0
2000-05-04,44.0,43.0,45.5625,45.0,7897600.0
2000-05-05,45.03125,45.03125,46.4375,46.0,7915000.0
2000-05-08,45.0,44.09375,45.5,44.375,6561600.0
2000-05-09,44.0,40.6875,44.75,41.75,9492800.0
2000-05-10,40.25,38.5,41.0,39.96875,13863200.0
2000-05-11,40.625,39.75,43.875,43.875,10316800.0
2000-05-12,43.53125,42.25,44.875,42.84375,7459400.0
2000-05-15,42.625,41.53125,43.0,42.75,5605200.0
2000-05-16,43.4375,42.875,44.78125,44.25,8100400.0
2000-05-17,43.9375,42.5,44.59375,42.5,9305400.0
2000-05-18,43.0,42.375,43.5625,43.25,5400400.0
2000-05-19,42.625,41.65625,42.875,41.90625,6507800.0
2000-05-22,41.53125,38.625,41.75,40.25,9016600.0
2000-05-23,39.875,37.59375,40.4375,37.75,12117400.0
2000-05-24,37.0,33.8125,37.875,36.34375,19178200.0
2000-05-25,36.0,33.0,37.6875,35.3125,21466400.0
2000-05-26,35.1875,34.625,37.5625,37.0,8143200.0
2000-05-30,38.9375,38.4375,43.0,43.0,10459200.0
2000-05-31,42.9375,40.53125,43.125,40.875,7844200.0
2000-06-01,41.4375,41.15625,43.6875,42.0,7616000.0
2000-06-02,45.0,43.8125,45.4375,45.0625,8108000.0
2000-06-05,44.875,44.8125,48.5,45.5625,14661800.0
2000-06-06,46.28125,44.5,47.21875,45.125,9043600.0
2000-06-07,44.75,42.875,44.96875,43.5,9222800.0
2000-06-08,45.0,43.125,45.25,43.5625,8488200.0
2000-06-09,44.25,44.03125,44.75,44.375,5569800.0
2000-06-12,44.9375,42.625,45.0,42.75,6642200.0
2000-06-13,43.0,42.03125,44.40625,44.0,6264200.0
2000-06-14,43.65625,41.28125,44.5,41.875,7067600.0
2000-06-15,41.28125,40.15625,42.25,41.4375,9750000.0
2000-06-16,41.375,40.5,42.375,41.25,5441400.0
2000-06-19,40.5,40.5,46.125,45.90625,7653000.0
2000-06-20,45.8125,44.6875,46.59375,45.625,7149200.0
2000-06-21,44.9375,44.5,47.71875,47.5,7298200.0
2000-06-22,47.0,45.5,47.46875,45.625,6747200.0
2000-06-23,45.625,43.25,45.84375,43.875,5561400.0
2000-06-26,44.5,42.625,44.6875,43.625,6033600.0
2000-06-27,43.0,41.25,43.5,42.125,6810000.0
2000-06-28,41.6875,39.46875,41.9375,40.34375,8925400.0
2000-06-29,39.5,37.46875,39.5,38.125,11918600.0
2000-06-30,38.3125,38.1875,40.375,38.625,10416800.0
2000-07-03,38.5,38.0,42.5,42.125,3930000.0
2000-07-05,37.5,36.25,38.84375,37.625,17843200.0
2000-07-06,37.25,36.5,38.9375,38.75,10987400.0
2000-07-07,38.875,38.78125,41.71875,41.0,9007000.0
2000-07-10,43.125,41.875,43.8125,42.5,10199800.000000002
2000-07-11,42.125,40.78125,43.09375,41.75,7623800.0
2000-07-12,42.0,41.375,42.59375,42.15625,6527000.0
2000-07-13,42.96875,42.1875,43.5,42.75,6131000.0
2000-07-14,43.6875,43.09375,45.25,45.0,5754400.0
2000-07-17,44.59375,43.9375,46.125,45.625,7044400.0
2000-07-18,44.0625,43.1875,45.625,45.5,6729600.0
2000-07-19,44.0,43.15625,47.5,45.125,14192200.000000002
2000-07-20,44.5,41.9375,44.75,43.0625,16273000.0
2000-07-21,42.46875,40.0,42.46875,40.0625,9594000.0
