Open,Low,High,Close,Volume
2000-03-28,72.375,69.4688,72.75,70.125,5197600.0
2000-03-29,69.5,65.0,69.875,66.25,5886500.0
2000-03-30,64.5,64.0,67.375,66.5,5034000.0
2000-03-31,66.75,63.0,67.125,67.0,5115500.0
2000-04-03,65.4375,62.0,65.6875,63.5625,4865400.0
2000-04-04,62.875,55.75,65.4375,63.9375,14318000.0
2000-04-05,61.75,60.5,64.9375,62.1875,4900000.0
2000-04-06,63.4375,61.875,65.5,64.25,6032700.0
2000-04-07,65.125,64.125,68.625,67.5625,6052300.0
2000-04-10,67.25,63.25,68.4375,63.375,4523600.0
2000-04-11,62.5,61.25,66.0,63.375,4706600.0
2000-04-12,64.0,56.25,64.375,56.375,8695500.0
2000-04-13,57.875,47.9375,58.75,48.0,10679000.0
2000-04-14,47.875,40.8125,52.375,46.875,20074500.0
2000-04-17,45.25,44.625,52.0,47.0625,12180900.000000002
2000-04-18,47.625,47.125,56.25,54.9375,10735000.000000002
2000-04-19,55.3125,51.6875,55.3125,53.4375,5373800.0
2000-04-20,53.375,49.875,53.6875,52.375,4925300.0
2000-04-24,49.375,44.875,51.5625,49.8125,6693300.0
2000-04-25,51.8125,50.25,54.125,52.4375,7150400.0
2000-04-26,53.3125,52.4531,57.4375,53.5,12006400.0
2000-04-27,49.3125,48.5,55.25,52.875,11266000.0
2000-04-28,54.0,53.125,55.625,55.1875,6833800.0
2000-05-01,56.0,55.25,60.3125,59.9375,8578500.0
2000-05-02,59.1875,55.875,60.0,56.125,7427900.0
2000-05-03,55.25,53.0,56.5625,54.125,5424800.0
2000-05-04,54.25,53.125,56.5,55.0625,4725200.0
2000-05-05,54.625,54.125,58.625,58.5,4062100.0
2000-05-08,56.8125,55.4375,59.25,56.0156,3950000.0
2000-05-09,56.5,53.0,57.75,56.25,4551800.0
2000-05-10,54.5312,49.0,55.375,53.3125,8711500.0
2000-05-11,53.9375,50.9375,55.75,54.875,5580800.0
2000-05-12,54.6875,53.125,56.5,53.75,3969600.0
2000-05-15,53.625,50.875,56.5,56.0625,4125400.0
2000-05-16,57.125,56.0,59.875,59.0625,6432200.0
2000-05-17,57.1875,57.0,62.375,61.0,6998600.0
2000-05-18,60.375,55.125,60.875,55.375,4727000.0
2000-05-19,54.625,52.25,55.75,52.625,4610900.0
2000-05-22,53.0,46.875,53.125,51.875,8272800.0
2000-05-23,50.5,46.5,51.875,46.6875,5837200.0
2000-05-24,46.4375,40.4375,49.75,48.5625,11666600.0
2000-05-25,49.5,45.5,50.0,45.5,4919500.0
2000-05-26,46.25,44.0,47.75,46.5,3621000.0
2000-05-30,47.3125,47.3125,51.875,51.75,5613200.0
2000-05-31,50.75,48.125,52.25,48.3125,6882000.0
2000-06-01,48.875,46.375,51.125,50.1875,7622200.0
2000-06-02,52.375,52.25,58.125,57.875,8322500.0
2000-06-05,55.0312,52.5,56.25,54.5,6813200.0
2000-06-06,54.0,50.25,54.5625,50.5625,4853100.0
2000-06-07,51.875,50.125,52.1875,51.8125,3841200.0
2000-06-08,52.5625,51.625,53.4375,51.875,3040300.0
2000-06-09,51.9375,51.875,53.25,52.1875,1922300.0
2000-06-12,52.1875,47.0,52.1875,48.4375,3986000.0
2000-06-13,48.1875,46.25,49.5,49.0,4788500.0
2000-06-14,49.3125,46.0,49.875,46.4375,5020500.0
2000-06-15,47.0,45.3125,47.9375,46.3125,3554700.0
2000-06-16,47.25,45.375,47.4375,46.0,3070900.0
2000-06-19,45.5,43.5,45.875,45.3125,5151500.0
2000-06-20,45.875,45.125,48.625,46.125,6199100.0
2000-06-21,45.4375,45.0625,46.9375,46.0625,3573300.0
2000-06-22,46.1875,41.625,46.4375,42.0,10516100.0
2000-06-23,36.625,32.4688,37.0,33.875,51838200.0
2000-06-26,35.3125,32.8125,35.3281,33.9375,21076400.0
2000-06-27,33.75,33.5,38.5,36.5,17638200.0
2000-06-28,36.875,36.125,39.9375,37.875,14874300.0
2000-06-29,37.125,36.125,38.5,37.125,8986500.0
2000-06-30,37.0,35.5,37.25,36.3125,6451900.0
2000-07-03,36.6875,36.5,37.5,37.0,1762400.0
2000-07-05,37.0,36.375,38.5,36.5,4213600.0
2000-07-06,36.875,34.75,37.375,36.0625,6767100.0
2000-07-07,36.125,35.25,37.0,36.125,3870600.0
2000-07-10,36.375,35.0,36.375,35.0625,4240600.0
2000-07-11,35.1875,32.625,35.25,33.125,9896500.0
2000-07-12,35.4375,34.25,36.125,35.0625,11265900.0
2000-07-13,35.625,34.875,36.0,35.0,8597500.0
2000-07-14,36.375,36.3125,43.2031,42.625,22436100.0
2000-07-17,42.875,40.25,43.9375,41.125,6530000.0
2000-07-18,40.125,39.5,43.625,41.75,7958400.0
2000-07-19,41.5,39.0,41.5625,40.875,4743700.0
2000-07-20,40.9375,39.5,43.375,40.3125,6945700.0
2000-07-21,40.4375,40.4375,42.5,41.125,4712900.0
2000-07-24,41.0625,38.0625,41.375,38.75,5778200.0
2000-07-25,36.75,33.25,38.75,37.625,27752500.000000004
2000-07-26,35.0625,34.0625,36.7188,36.0625,15547800.0
2000-07-27,31.4375,29.75,32.0,31.375,23579300.0
2000-07-28,31.4375,29.0,32.125,30.0,12447000.0
2000-07-31,30.0625,27.875,30.25,30.125,9478800.0
2000-08-01,30.625,30.25,32.25,30.25,8156400.0
2000-08-02,30.25,30.2188,32.0,30.8125,4952900.0
2000-08-03,29.4375,29.3125,31.75,31.5,5144100.0
2000-08-04,31.9375,31.5,34.1875,32.5,4871100.0
2000-08-07,32.0,31.625,34.25,33.8125,4403100.0
2000-08-08,33.25,32.4375,33.375,32.9375,5050600.0
2000-08-09,32.375,30.375,32.375,30.875,8874400.0
2000-08-10,31.5,29.75,31.75,30.4375,6073000.0
2000-08-11,30.5,30.3125,34.0,33.6875,9116200.0
2000-08-14,33.5,32.6875,35.1875,34.875,6217200.0
2000-08-15,34.625,34.375,38.3125,37.5625,8497200.0
2000-08-16,37.5625,37.5312,39.875,38.625,9833200.0
2000-08-17,38.0,36.875,39.0625,38.25,4974100.0
2000-08-18,39.25,38.9375,40.125,39.0,7371100.0
2000-08-21,39.0938,36.5,39.875,37.5,4037500.0
2000-08-22,38.125,36.0625,38.1875,36.5,3508200.0
2000-08-23,36.375,35.0,39.5,38.8125,4721300.0
2000-08-24,39.5625,38.8125,40.5,39.375,4719000.0
2000-08-25,39.125,38.5625,40.0625,39.9375,2708600.0
2000-08-28,38.8125,38.5625,42.5,39.125,9178500.0
2000-08-29,39.5,38.875,40.875,39.625,4521100.0
2000-08-30,42.375,42.0,43.9688,42.9375,12919600.0
2000-08-31,43.125,41.4375,43.1875,41.5,4616300.0
2000-09-01,42.125,41.0,42.5,41.5,3347100.0
2000-09-05,40.9375,40.25,46.3125,45.6875,10168200.0
2000-09-06,47.25,45.6875,49.625,45.875,14263200.0
2000-09-07,46.8125,43.0,47.0,43.5,7406200.0
2000-09-08,44.0625,42.5,45.0,42.9375,5088900.0
2000-09-11,42.625,42.1875,45.2188,42.375,5447100.0
2000-09-12,43.375,42.25,44.1875,42.6875,3821500.0
2000-09-13,41.3125,41.0,43.125,42.4375,4085000.0
2000-09-14,44.1875,43.75,46.0,44.875,6963500.0
2000-09-15,45.375,42.875,45.4375,43.625,6180200.0
2000-09-18,43.5,41.875,44.625,42.8125,4445200.0
2000-09-19,42.0625,39.125,42.75,40.75,7230800.0
2000-09-20,40.4375,37.375,40.5,37.5,9744800.0
2000-09-21,37.4375,37.25,40.5,40.0625,7425600.0
2000-09-22,38.375,38.3125,42.125,41.4375,5996200.0
2000-09-25,41.2188,40.0,42.5625,40.375,5459900.0
2000-09-26,40.625,39.5625,41.125,39.75,4260400.0
2000-09-27,38.6875,35.5,39.625,37.875,10030900.0
2000-09-28,37.3125,37.125,40.25,40.0,5857900.0
2000-09-29,39.0,37.625,41.25,38.4375,6517100.0
2000-10-02,38.1875,35.25,38.4375,35.875,5477700.0
2000-10-03,36.75,35.0,37.25,35.0625,5379900.0
2000-10-04,33.4375,32.5,37.0625,36.0,7841100.0
2000-10-05,35.1875,32.0,36.625,33.5625,6966300.0
2000-10-06,32.5,30.1875,33.25,31.5625,8871100.0
2000-10-09,30.25,27.375,30.5625,30.0625,12727500.0
2000-10-10,29.75,28.875,32.7188,30.4375,7265500.0
2000-10-11,27.9375,27.625,30.25,27.8125,7889700.0
2000-10-12,28.375,24.625,28.8125,25.125,8032600.0
