Open,Low,High,Close,Volume
2009-08-06,16.5,15.56,16.91,16.18,24197800.000000004
2009-08-07,16.15,16.030001,16.76,16.43,2454300.0
2009-08-10,16.629999,15.61,16.629999,15.97,2421000.0
2009-08-11,15.98,15.5,16.0,15.67,2305400.0
2009-08-12,16.15,15.66,16.200001,16.0,1451300.0
2009-08-13,16.0,16.0,16.719999,16.549999,1150600.0
2009-08-14,16.5,16.25,17.0,16.6,637800.0
2009-08-17,16.27,16.200001,16.370001,16.219999,254400.0
2009-08-18,16.48,16.35,17.200001,17.07,1446700.0
2009-08-19,16.84,16.799999,17.940001,17.889999,2070800.0
2009-08-20,17.950001,17.290001,17.950001,17.76,1882100.0
2009-08-21,17.790001,17.58,17.969999,17.82,863600.0
2009-08-24,17.52,17.299999,17.85,17.5,1021600.0
2009-08-25,17.65,17.549999,17.9,17.85,530800.0
2009-08-26,17.690001,17.15,17.85,17.85,708600.0
2009-08-27,17.85,17.549999,18.209999,18.16,1161100.0
2009-08-28,18.1,18.0,19.0,18.469999,1295000.0
2009-08-31,18.35,17.809999,18.4,18.200001,1004800.0
2009-09-01,18.25,16.940001,18.440001,17.85,1383500.0
2009-09-02,17.76,17.48,18.25,17.68,1293400.0
2009-09-03,17.969999,17.0,17.969999,17.450001,3657700.0
2009-09-04,17.75,17.49,18.0,17.76,1158600.0
2009-09-08,17.76,17.450001,17.93,17.700001,574900.0
2009-09-09,17.85,17.219999,17.85,17.26,551200.0
2009-09-10,17.01,16.950001,17.459999,17.049999,415200.0
2009-09-11,17.0,16.540001,17.33,16.879999,620300.0
2009-09-14,16.639999,16.309999,16.9,16.65,1614500.0
2009-09-15,17.25,16.629999,17.35,17.18,1986900.0
2009-09-16,17.4,17.110001,17.75,17.58,2021100.0
2009-09-17,17.66,16.530001,17.9,16.639999,1446400.0
2009-09-18,16.57,16.18,17.02,16.200001,899900.0
2009-09-21,16.280001,15.87,16.629999,16.610001,553000.0
2009-09-22,16.959999,16.82,17.370001,17.25,1114100.0
