Open,Low,High,Close,Volume
2000-03-28,22.0625,19.75,22.0625,20.0,42600.0
2000-03-29,19.75,19.75,19.875,19.75,77000.0
2000-03-30,19.8125,19.8125,20.5,20.4375,18700.0
2000-03-31,20.4375,20.25,20.4375,20.25,23500.0
2000-04-03,20.25,20.25,20.6875,20.625,4000.0
2000-04-04,20.625,20.625,20.875,20.75,77700.0
2000-04-05,20.75,20.625,21.4375,21.4375,32700.0
2000-04-06,21.375,21.125,22.4375,22.375,12500.0
2000-04-07,22.25,22.25,24.4375,24.25,44500.0
2000-04-10,24.25,24.0,24.25,24.0,16100.0
2000-04-11,24.125,24.0,24.125,24.0625,6300.0
2000-04-12,24.0,23.8125,24.0,23.875,3800.0
2000-04-13,23.75,23.375,23.75,23.375,4900.0
2000-04-14,23.25,23.0,23.25,23.0,10200.0
2000-04-17,22.875,22.375,22.875,22.4375,15500.0
2000-04-18,22.3125,21.875,22.3125,21.9375,2900.0
2000-04-19,21.8125,21.0,21.9375,21.0,20400.0
2000-04-20,21.0,20.9375,21.15625,21.125,78800.0
2000-04-24,21.0625,21.0,21.625,21.625,15100.0
2000-04-25,21.875,21.6875,24.5,24.0,74600.0
2000-04-26,24.25,23.8125,24.25,24.125,67700.0
2000-04-27,24.0,24.0,24.375,24.3125,12600.0
2000-04-28,24.5,24.375,26.0,26.0,43100.0
2000-05-01,26.25,24.0,26.5,24.0,97500.0
2000-05-02,24.125,23.75,24.125,23.8125,6100.0
2000-05-03,23.5625,23.5625,24.375,24.25,23000.0
2000-05-04,24.0,23.625,24.0,23.625,6300.0
2000-05-05,23.5,23.5,23.875,23.6875,6200.0
2000-05-08,23.5625,23.5,24.125,24.0,20400.0
2000-05-09,24.125,24.0625,24.375,24.375,19900.0
2000-05-10,24.5,24.375,25.0625,25.0625,23400.0
2000-05-11,25.125,25.125,25.75,25.25,30200.0
2000-05-12,25.0,24.875,25.75,25.75,32300.0
2000-05-15,25.75,25.625,26.5,25.75,73700.0
2000-05-16,25.8125,25.625,26.5,26.25,26100.0
2000-05-17,26.375,26.25,26.5,26.375,5300.0
2000-05-18,26.375,26.0625,26.375,26.1875,9400.0
2000-05-19,26.1875,26.0,26.1875,26.125,38200.0
2000-05-22,26.0,25.8125,26.0,25.8125,6700.0
2000-05-23,25.375,23.75,25.375,23.75,63200.0
2000-05-24,23.25,23.0,23.625,23.25,33100.0
2000-05-25,23.375,23.375,23.5,23.375,12500.0
2000-05-26,23.375,23.25,23.625,23.25,64800.0
2000-05-30,23.25,22.8125,23.25,23.25,89000.0
2000-05-31,23.25,23.25,24.1875,24.0625,68300.0
2000-06-01,24.0625,24.0625,24.75,24.375,38200.0
2000-06-02,24.5,24.5,26.0,25.75,62400.0
2000-06-05,25.625,25.375,27.0,26.875,145400.0
2000-06-06,26.875,26.375,26.875,26.4375,61200.0
2000-06-07,26.4375,25.9375,26.4375,25.9375,16400.0
2000-06-08,25.8125,25.375,25.8125,25.4375,32200.0
2000-06-09,25.375,25.25,25.4375,25.4375,29700.0
2000-06-12,25.4375,24.5,25.4375,25.25,75500.0
2000-06-13,24.75,24.75,26.0,26.0,185700.0
2000-06-14,26.0,26.0,26.9375,26.8125,162900.0
2000-06-15,27.0625,27.0625,28.0,27.5,104300.0
2000-06-16,27.5,27.5,29.25,29.0,222700.0
2000-06-19,29.25,28.75,29.375,28.8125,197500.0
2000-06-20,28.625,28.0,28.625,28.4375,68600.0
2000-06-21,28.5,28.5,29.25,29.25,35700.0
2000-06-22,29.1875,29.0,31.375,30.875,53000.0
2000-06-23,30.875,30.0,30.90625,30.1875,53900.0
2000-06-26,30.0,29.75,31.0,31.0,85500.0
2000-06-27,31.25,31.125,32.625,32.375,58000.0
2000-06-28,32.375,32.0,36.0,35.0,128800.0
2000-06-29,35.0,32.625,35.0,32.625,292000.0
2000-06-30,32.875,29.0,34.0,29.0,583600.0
2000-07-03,29.1875,29.125,29.625,29.25,80300.0
2000-07-05,29.25,28.375,29.5,29.375,80400.0
2000-07-06,29.125,28.75,29.25,28.875,56000.0
2000-07-07,28.625,28.3125,29.75,29.75,36300.0
2000-07-10,29.875,29.875,32.125,32.0,76900.0
2000-07-11,32.125,32.125,33.8125,33.375,106000.0
2000-07-12,33.0625,32.3125,34.25,34.25,286500.0
2000-07-13,34.25,33.6875,34.25,33.6875,87400.0
2000-07-14,33.6875,33.4375,33.875,33.875,13700.0
2000-07-17,33.875,33.0625,34.0,33.0625,49800.0
2000-07-18,32.875,31.5625,32.875,32.3125,60500.0
2000-07-19,32.3125,31.9375,32.3125,32.125,98500.0
2000-07-20,32.1875,32.0625,32.625,32.5625,28000.0
2000-07-21,32.6875,32.6875,33.875,33.8125,20000.0
2000-07-24,33.8125,33.8125,36.375,34.0625,103000.0
2000-07-25,34.125,33.75,34.5,33.75,76600.0
2000-07-26,33.8125,33.8125,34.375,34.0625,62200.0
2000-07-27,34.0,34.0,34.0625,34.0625,18100.0
2000-07-28,34.3125,34.0,34.3125,34.0,129100.0
2000-07-31,33.9375,33.6875,34.0,33.75,69000.0
2000-08-01,33.75,33.5625,33.75,33.625,4900.0
2000-08-02,33.5625,33.5,33.625,33.5625,4400.0
2000-08-03,33.625,33.5,33.75,33.625,26700.0
2000-08-04,33.75,33.6875,33.75,33.75,14900.0
2000-08-07,33.875,31.125,33.875,32.375,77600.0
2000-08-08,32.5,32.5,33.0,32.875,16000.0
2000-08-09,33.0,32.0,33.875,33.875,57000.0
2000-08-10,33.875,33.5,33.875,33.625,15600.0
2000-08-11,33.5,33.25,33.5,33.3125,8300.0
2000-08-14,33.375,33.3125,33.625,33.5,16400.0
2000-08-15,33.5,33.3125,33.625,33.375,17600.0
2000-08-16,33.5,33.5,33.6875,33.6875,36700.0
2000-08-17,33.6875,33.6875,34.875,34.75,34400.0
2000-08-18,34.75,34.5,34.75,34.625,20400.0
2000-08-21,34.5625,34.5625,35.0,34.875,15200.0
2000-08-22,35.0,35.0,35.5,35.375,6200.0
2000-08-23,35.375,34.625,35.4375,34.75,8500.0
2000-08-24,34.75,34.5625,35.0625,35.0,92100.0
2000-08-25,34.875,34.875,35.375,35.3125,33300.0
2000-08-28,35.3125,35.25,35.5,35.3125,31200.0
2000-08-29,35.25,35.25,38.5,38.125,24900.0
2000-08-30,38.25,37.25,39.0,38.0,36300.0
2000-08-31,38.0,38.0,41.0,41.0,45700.0
2000-09-01,41.25,41.25,42.625,41.6875,38900.0
2000-09-05,41.4375,41.125,41.75,41.5,17500.0
2000-09-06,41.25,40.375,41.375,40.4375,21100.0
2000-09-07,39.625,35.5,39.75,36.625,241400.0
2000-09-08,36.5,36.0,37.0625,37.0,59900.0
2000-09-11,37.25,37.25,38.625,38.625,40900.0
2000-09-12,38.75,38.375,39.0,38.875,41300.0
2000-09-13,38.75,38.75,38.9375,38.9375,7300.0
2000-09-14,38.875,38.625,39.125,38.625,21800.0
2000-09-15,38.375,37.875,38.5,38.0,66200.0
2000-09-18,37.875,37.625,38.375,38.0,97200.0
2000-09-19,38.0,37.8125,38.375,38.375,20000.0
2000-09-20,38.125,38.0,38.25,38.25,22100.0
2000-09-21,38.0,36.5,38.0,36.5,21400.0
2000-09-22,36.25,34.625,36.875,34.625,66400.0
2000-09-25,34.625,34.625,36.0,35.625,60500.0
2000-09-26,35.625,35.25,35.75,35.3125,49400.0
2000-09-27,35.375,34.25,35.375,34.75,32600.0
2000-09-28,34.6875,33.25,34.6875,33.5625,82000.0
2000-09-29,33.625,32.0,34.75,32.0,72800.0
2000-10-02,32.25,31.875,33.0,33.0,121600.0
2000-10-03,33.375,33.375,36.0,35.0,105500.0
2000-10-04,35.0,34.0625,35.25,35.125,99000.0
2000-10-05,35.125,35.125,36.8125,36.8125,40800.0
2000-10-06,36.8125,36.75,38.625,37.0,130100.0
