Open,Low,High,Close,Volume
2000-03-28,33.86,32.94,33.94,33.34,665000.0
2000-03-29,33.34,32.8,33.4,33.34,490000.0
2000-03-30,33.28,33.22,36.04,34.78,1270000.0
2000-03-31,35.44,34.84,36.5,36.4,1225000.0
2000-04-03,36.7,35.1,36.72,35.1,770000.0
2000-04-04,35.5,35.46,36.98,36.18,1410000.0
2000-04-05,36.4,36.34,37.58,36.76,1090000.0
2000-04-06,36.9,36.9,37.76,37.26,650000.0
2000-04-07,37.2,36.6,37.4,36.82,605000.0
2000-04-10,36.7,36.32,36.96,36.42,585000.0
2000-04-11,36.46,35.9,36.58,36.08,590000.0
2000-04-12,36.0,35.88,37.7,37.42,820000.0
2000-04-13,37.92,37.54,38.96,37.8,940000.0
2000-04-14,37.32,36.34,37.46,36.92,935000.0
2000-04-17,36.76,36.4,37.2,37.18,830000.0
2000-04-18,37.5,37.3,38.2,37.7,695000.0
2000-04-19,37.98,37.32,38.02,37.6,465000.0
2000-04-20,37.74,37.36,38.32,38.28,255000.0
2000-04-24,38.04,37.88,39.04,38.8,590000.0
2000-04-25,39.0,38.68,39.16,39.04,340000.0
2000-04-26,39.04,38.2,39.04,38.5,275000.0
2000-04-27,38.0,37.74,38.48,38.4,280000.0
2000-04-28,38.4,38.2,38.74,38.32,325000.0
2000-05-01,38.2,37.04,38.26,37.14,520000.0
2000-05-02,37.04,34.72,37.12,34.98,700000.0
2000-05-03,34.8,34.5,34.92,34.9,545000.0
2000-05-04,34.9,34.9,35.58,35.52,305000.0
2000-05-05,35.36,35.36,35.98,35.88,200000.0
2000-05-08,36.0,35.94,36.18,36.06,140000.0
2000-05-09,36.32,35.24,36.38,35.4,400000.0
2000-05-10,35.04,33.2,35.4,35.04,815000.0
2000-05-11,34.94,34.94,35.62,35.44,415000.0
2000-05-12,35.6,35.34,35.94,35.46,325000.0
2000-05-15,35.7,35.08,38.0,37.8,740000.0
2000-05-16,38.8,38.32,39.0,38.5,885000.0
2000-05-17,38.0,37.64,38.34,38.02,340000.0
2000-05-18,38.0,37.9,38.26,37.96,290000.0
2000-05-19,37.76,37.22,37.76,37.36,285000.0
2000-05-22,37.16,36.42,37.16,36.52,430000.0
2000-05-23,36.12,35.6,36.58,35.9,405000.0
2000-05-24,36.2,34.82,36.56,36.12,665000.0
2000-05-25,36.02,36.02,37.24,36.96,400000.0
2000-05-26,37.1,36.4,37.28,36.58,255000.0
2000-05-30,36.7,36.7,38.2,37.94,400000.0
2000-05-31,37.7,37.56,38.14,37.72,290000.0
2000-06-01,37.72,37.72,39.0,38.76,585000.0
2000-06-02,38.9,38.14,39.4,38.52,970000.0
2000-06-05,38.52,38.42,39.08,38.84,450000.0
2000-06-06,39.1,38.58,39.1,38.76,230000.0
2000-06-07,39.0,38.82,39.3,39.28,325000.0
2000-06-08,39.34,39.08,39.34,39.12,255000.0
2000-06-09,39.12,38.68,39.5,39.0,290000.0
2000-06-12,39.1,38.36,39.16,38.4,190000.0
2000-06-13,38.5,38.5,38.86,38.66,290000.0
2000-06-14,38.66,37.34,38.72,37.48,380000.0
2000-06-15,37.32,36.84,37.5,37.0,300000.0
2000-06-16,36.96,36.0,37.0,36.58,465000.0
2000-06-19,36.58,36.2,37.06,36.96,265000.0
2000-06-20,36.88,36.74,37.3,37.06,380000.0
2000-06-21,36.84,36.7,36.98,36.78,355000.0
2000-06-22,36.6,35.26,36.6,35.68,845000.0
2000-06-23,35.6,34.62,35.64,35.28,870000.0
2000-06-26,35.5,35.24,35.84,35.8,625000.0
2000-06-27,35.6,35.16,35.88,35.2,590000.0
2000-06-28,35.2,34.4,35.22,34.64,800000.0
2000-06-29,34.6,34.44,35.02,34.96,635000.0
2000-06-30,35.0,34.9,35.3,35.2,440000.0
2000-07-03,35.2,35.0,35.36,35.08,70000.0
2000-07-05,35.08,35.0,35.46,35.08,445000.0
2000-07-06,35.04,34.62,35.16,34.86,490000.0
2000-07-07,34.92,34.7,35.24,35.2,380000.0
2000-07-10,35.2,35.12,35.6,35.4,335000.0
2000-07-11,35.5,35.4,36.08,35.64,950000.0
2000-07-12,35.6,35.6,35.98,35.8,405000.0
2000-07-13,35.94,35.7,36.28,36.14,550000.0
2000-07-14,36.4,36.06,36.4,36.26,445000.0
2000-07-17,36.36,36.24,36.46,36.38,395000.0
2000-07-18,36.42,36.36,36.5,36.36,785000.0
2000-07-19,36.3,35.8,36.32,35.98,505000.0
2000-07-20,35.92,35.12,36.06,35.3,725000.0
2000-07-21,35.48,34.84,35.48,35.2,660000.0
2000-07-24,34.92,34.3,35.18,34.54,290000.0
2000-07-25,34.34,34.12,35.94,35.68,540000.0
2000-07-26,36.0,35.76,37.6,37.6,525000.0
2000-07-27,37.4,36.74,38.12,38.06,670000.0
2000-07-28,38.06,37.42,38.8,37.42,1055000.0
2000-07-31,37.2,35.9,37.34,36.5,295000.0
2000-08-01,36.58,36.34,37.3,37.26,535000.0
2000-08-02,37.06,36.86,38.32,37.9,665000.0
2000-08-03,38.0,37.96,39.38,39.2,1245000.0
2000-08-04,39.1,39.1,41.48,41.4,1525000.0
2000-08-07,41.0,40.46,41.36,41.06,830000.0
2000-08-08,41.12,40.66,41.26,40.66,630000.0
2000-08-09,40.48,40.0,40.94,40.94,560000.0
2000-08-10,40.86,40.6,41.06,40.98,335000.0
2000-08-11,40.8,40.64,41.1,40.78,380000.0
2000-08-14,40.4,40.28,41.12,41.06,615000.0
2000-08-15,40.96,40.28,40.96,40.5,395000.0
2000-08-16,40.34,40.3,41.04,40.94,270000.0
2000-08-17,41.06,40.58,41.08,40.88,210000.0
2000-08-18,40.86,40.18,40.98,40.32,205000.0
2000-08-21,40.2,40.06,40.48,40.28,390000.0
2000-08-22,40.16,39.76,40.26,39.94,280000.0
2000-08-23,39.6,39.06,39.6,39.08,335000.0
2000-08-24,38.8,37.78,38.8,38.44,625000.0
2000-08-25,38.44,37.64,38.56,37.78,260000.0
2000-08-28,37.86,37.74,38.14,38.0,350000.0
2000-08-29,38.06,37.44,38.06,37.94,315000.0
2000-08-30,37.8,37.62,38.26,38.2,370000.0
2000-08-31,38.36,37.62,38.38,38.26,845000.0
2000-09-01,38.2,38.2,39.1,39.0,310000.0
2000-09-05,38.76,38.74,39.22,38.9,335000.0
2000-09-06,38.76,37.54,38.76,38.2,510000.0
2000-09-07,37.7,37.52,38.1,37.7,345000.0
2000-09-08,37.54,37.54,38.08,38.08,655000.0
2000-09-11,38.02,37.84,38.42,37.86,395000.0
2000-09-12,38.06,38.0,38.46,38.22,275000.0
2000-09-13,37.7,37.62,38.14,38.08,425000.0
2000-09-14,38.08,38.02,38.48,38.48,285000.0
2000-09-15,38.52,38.1,38.56,38.1,415000.0
