Open,Low,High,Close,Volume
2000-03-28,19.53125,19.15625,19.5625,19.15625,2619200.0
2000-03-29,19.15625,18.84375,19.78125,19.5,3778000.0
2000-03-30,19.5,19.4375,20.65625,20.375,4877800.0
2000-03-31,20.375,19.65625,20.5625,19.71875,4850400.0
2000-04-03,19.71875,19.71875,21.125,20.9375,4664200.0
2000-04-04,20.9375,20.4375,22.0625,21.71875,7259000.0
2000-04-05,21.71875,21.125,21.9375,21.21875,3759200.0
2000-04-06,21.21875,21.125,21.8125,21.15625,2104800.0
2000-04-07,21.15625,20.625,21.21875,20.6875,2937400.0
2000-04-10,20.6875,20.5625,21.0625,20.71875,1890600.0
2000-04-11,20.8125,20.8125,21.625,21.03125,3531600.0
2000-04-12,21.375,21.375,22.375,21.71875,4224400.0
2000-04-13,21.71875,20.90625,22.4375,21.0,4334200.0
2000-04-14,21.0,20.09375,21.0,20.25,4287000.0
2000-04-17,20.25,20.125,21.21875,20.46875,3754200.0
2000-04-18,20.46875,19.6875,21.75,20.125,9957200.0
2000-04-19,19.46875,18.5,19.46875,18.8125,8557000.0
2000-04-20,18.8125,18.75,19.15625,19.0,4924600.0
2000-04-24,19.09375,19.09375,19.5625,19.5,3312200.0
2000-04-25,19.5,19.5,20.25,20.0625,4381400.0
2000-04-26,20.0625,19.75,20.34375,19.875,4544400.0
2000-04-27,19.875,19.46875,20.21875,20.0625,2903600.0
2000-04-28,20.0625,19.625,20.5,19.71875,3741600.0
2000-05-01,19.71875,19.40625,19.84375,19.40625,2637800.0
2000-05-02,19.40625,19.03125,19.96875,19.8125,2840800.0
2000-05-03,19.6875,19.25,19.6875,19.4375,2442600.0
2000-05-04,19.4375,18.9375,19.46875,18.96875,2377000.0
2000-05-05,18.96875,18.9375,19.6875,19.53125,2544600.0
2000-05-08,19.53125,19.28125,19.875,19.46875,2078600.0
2000-05-09,19.46875,18.96875,20.0,19.0,3078800.0
2000-05-10,19.0,18.78125,19.21875,19.1875,2391400.0
2000-05-11,19.1875,18.84375,19.78125,19.40625,2617600.0
2000-05-12,19.40625,19.3125,19.9375,19.6875,1927800.0
2000-05-15,19.78125,19.78125,20.375,20.28125,3531000.0
2000-05-16,20.28125,20.09375,20.875,20.125,4066000.0
2000-05-17,20.125,19.9375,20.34375,20.0,1526600.0
2000-05-18,20.0,19.25,20.0,19.40625,3559200.0
2000-05-19,19.40625,19.25,20.21875,20.03125,3942200.0
2000-05-22,20.03125,19.8125,20.34375,20.09375,2443000.0
2000-05-23,20.09375,19.5,20.34375,19.75,2005600.0
2000-05-24,19.75,19.375,20.25,19.84375,2075000.0
2000-05-25,19.84375,18.90625,19.9375,19.03125,2763800.0
2000-05-26,19.03125,18.9375,19.40625,19.0625,1908200.0
2000-05-30,19.0625,19.0625,19.40625,19.15625,1614200.0
2000-05-31,19.15625,18.9375,19.21875,19.125,2925400.0
2000-06-01,19.40625,19.40625,20.0,19.875,2835400.0
2000-06-02,20.125,20.125,21.25,20.53125,4491400.0
2000-06-05,20.4375,19.28125,20.4375,20.0,3871600.0
2000-06-06,19.78125,19.09375,19.78125,19.53125,3697400.0
2000-06-07,19.40625,19.0625,19.40625,19.40625,3017600.0
2000-06-08,19.21875,18.84375,19.21875,19.0625,2418800.0
2000-06-09,19.0625,18.875,19.28125,19.125,1819600.0
2000-06-12,19.125,18.84375,19.53125,19.3125,2635600.0
2000-06-13,19.28125,18.5,19.28125,18.625,3154800.0
2000-06-14,18.625,18.5625,19.125,18.8125,3292600.0
2000-06-15,18.8125,18.40625,19.0,18.5,2703400.0
2000-06-16,18.5,17.9375,18.5625,17.96875,5510400.0
2000-06-19,17.96875,17.5625,18.25,17.5625,3703200.0
2000-06-20,17.5625,17.5,17.84375,17.53125,3212400.0
2000-06-21,17.53125,17.46875,17.75,17.5625,2569000.0
2000-06-22,17.5625,17.15625,17.6875,17.21875,3490200.0
2000-06-23,17.21875,17.21875,17.5625,17.3125,1787400.0
2000-06-26,17.34375,17.34375,17.84375,17.40625,1959000.0
2000-06-27,17.40625,17.34375,18.25,17.84375,2754800.0
2000-06-28,18.0,18.0,18.375,18.078125,2527200.0
2000-06-29,17.75,17.375,17.75,17.5,2415400.0
2000-06-30,17.5,16.90625,17.65625,16.9375,4672000.0
2000-07-03,17.09375,17.09375,18.03125,18.0,1702400.0
2000-07-05,17.71875,17.15625,17.71875,17.59375,3324600.0
2000-07-06,17.59375,17.40625,17.8125,17.40625,2433400.0
2000-07-07,17.40625,16.96875,17.46875,16.96875,3514400.0
2000-07-10,17.09375,17.09375,17.6875,17.125,3084000.0
2000-07-11,17.25,17.25,18.34375,18.0625,5056800.0
2000-07-12,18.0625,17.875,18.5,18.28125,3236600.0
2000-07-13,18.28125,17.9375,18.3125,17.96875,3438000.0
2000-07-14,17.96875,17.5625,18.03125,17.875,2999200.0
2000-07-17,17.875,17.5,18.09375,17.859375,2677200.0
2000-07-18,18.4375,18.4375,19.125,18.875,8446200.0
2000-07-19,18.875,18.84375,19.28125,18.96875,6346200.0
2000-07-20,18.96875,18.25,19.21875,18.53125,5041600.0
2000-07-21,18.53125,18.1875,18.59375,18.25,3777600.0
2000-07-24,18.25,18.0625,18.25,18.125,1660200.0
2000-07-25,18.125,17.9375,18.3125,17.9375,2363000.0
2000-07-26,17.875,17.375,17.875,17.375,3413200.0
2000-07-27,17.375,17.3125,17.6875,17.4375,2642200.0
2000-07-28,17.4375,16.96875,17.53125,17.03125,3336600.0
2000-07-31,17.03125,17.03125,17.59375,17.03125,3131800.0
2000-08-01,17.0625,17.0625,17.21875,17.15625,4007600.0
2000-08-02,17.1875,17.1875,17.59375,17.5,3722000.0
2000-08-03,17.5,17.125,17.875,17.53125,3375200.0
2000-08-04,17.53125,17.1875,17.53125,17.421875,2018200.0
2000-08-07,17.421875,17.28125,18.46875,18.34375,4035600.0
2000-08-08,18.40625,18.40625,19.40625,19.1875,7056400.0
2000-08-09,19.1875,18.78125,19.1875,18.78125,2906800.0
2000-08-10,18.78125,18.6875,19.0625,18.75,1964000.0
2000-08-11,18.75,18.625,19.5,19.3125,2813800.0
2000-08-14,19.3125,19.15625,19.53125,19.53125,4096600.0
2000-08-15,19.53125,19.125,19.75,19.328125,2535400.0
2000-08-16,19.328125,19.21875,19.65625,19.3125,2873200.0
2000-08-17,19.3125,19.09375,19.40625,19.125,1760600.0
2000-08-18,19.125,18.84375,19.28125,19.09375,1970800.0
2000-08-21,19.09375,18.6875,19.15625,18.84375,1527600.0
2000-08-22,18.84375,18.6875,19.0,18.90625,1907600.0
2000-08-23,18.90625,18.53125,18.9375,18.5625,1962400.0
2000-08-24,18.5625,18.5,18.84375,18.84375,2351800.0
2000-08-25,18.84375,18.625,18.90625,18.8125,1400200.0
2000-08-28,18.8125,18.3125,18.875,18.59375,2669000.0
2000-08-29,18.875,18.875,19.5625,19.03125,4115000.0
2000-08-30,19.03125,18.34375,19.21875,18.78125,3988200.0
2000-08-31,18.78125,18.25,18.9375,18.382813,4834600.0
2000-09-01,18.382813,18.125,18.75,18.65625,2563800.0
2000-09-05,18.65625,18.53125,19.40625,19.03125,2875600.0
2000-09-06,19.03125,19.03125,19.625,19.34375,2900600.0
2000-09-07,19.34375,19.03125,19.53125,19.03125,4777600.0
2000-09-08,19.03125,18.75,19.125,18.90625,3091600.0
2000-09-11,18.90625,18.875,19.65625,19.15625,2521800.0
2000-09-12,19.15625,18.875,19.40625,19.0,3190600.0
2000-09-13,19.125,19.125,19.625,19.34375,2132000.0
2000-09-14,19.40625,19.40625,19.8125,19.625,4188200.0
2000-09-15,19.21875,18.59375,19.21875,18.71875,6007800.0
2000-09-18,18.65625,17.71875,18.65625,18.03125,5579000.0
2000-09-19,18.03125,17.3125,18.09375,17.75,5201200.0
2000-09-20,17.75,17.46875,17.84375,17.59375,3515000.0
2000-09-21,17.59375,17.375,17.84375,17.40625,2412400.0
2000-09-22,17.40625,17.28125,17.84375,17.5625,2605400.0
2000-09-25,17.5625,17.53125,18.0,17.75,2056400.0
2000-09-26,17.6875,17.25,17.6875,17.5,2804800.0
2000-09-27,17.375,16.25,17.375,16.75,7458600.0
2000-09-28,16.75,16.3125,17.375,17.0,4866000.0
2000-09-29,17.0,14.5,17.375,15.5,3578400.0
2000-10-02,15.5,15.5,17.125,17.125,6628600.0
2000-10-03,17.125,17.09375,18.0,17.53125,4416200.0
2000-10-04,17.53125,17.40625,17.96875,17.5625,3534400.0
2000-10-05,17.5625,17.4375,17.8125,17.5,2774200.0
2000-10-06,17.5,17.25,17.84375,17.25,2549400.0
2000-10-09,17.25,17.1875,17.5,17.28125,1319200.0
2000-10-10,17.21875,16.65625,17.21875,16.6875,2709600.0
2000-10-11,16.6875,16.28125,17.0,16.625,3741000.0
2000-10-12,16.625,15.59375,16.625,15.9375,4800400.0
2000-10-13,15.90625,15.4375,15.90625,15.84375,3551000.0
2000-10-16,15.84375,15.65625,16.0625,15.875,3422000.0
2000-10-17,15.875,15.1875,16.03125,15.25,3269600.0
2000-10-18,15.0625,14.78125,15.0625,14.90625,5565800.0
2000-10-19,15.03125,15.03125,15.40625,15.25,3147000.0
2000-10-20,15.25,15.1875,15.59375,15.34375,2370200.0
2000-10-23,15.34375,15.34375,15.9375,15.71875,2725600.0
2000-10-24,15.78125,15.78125,16.125,15.9375,3443800.0
2000-10-25,15.9375,15.5625,16.0,15.65625,2413200.0
2000-10-26,15.65625,15.53125,16.15625,15.90625,2656600.0
2000-10-27,16.0,16.0,16.4375,16.4375,3200600.0
2000-10-30,16.4375,16.25,17.875,17.46875,5737800.0
2000-10-31,17.46875,16.9375,17.90625,17.53125,6645200.0
2000-11-01,17.53125,17.28125,17.875,17.375,3343400.0
2000-11-02,17.375,17.375,17.75,17.40625,2362200.0
2000-11-03,17.40625,17.28125,17.5,17.40625,2074000.0
2000-11-06,17.40625,17.40625,18.3125,18.09375,3228800.0
2000-11-07,18.09375,17.78125,18.125,18.0625,2537200.0
2000-11-08,18.0625,17.65625,18.46875,18.21875,2546000.0
2000-11-09,18.21875,17.84375,18.5,18.28125,2848000.0
2000-11-10,18.1875,17.875,18.1875,17.875,2756400.0
2000-11-13,17.875,17.59375,18.15625,18.09375,3065400.0
2000-11-14,18.09375,17.84375,18.15625,18.03125,2271400.0
2000-11-15,18.03125,18.03125,18.46875,18.34375,2835800.0
2000-11-16,18.34375,17.90625,18.34375,18.15625,1835600.0
2000-11-17,18.21875,18.21875,18.75,18.46875,2597600.0
2000-11-20,18.46875,18.25,18.65625,18.59375,3128400.0
2000-11-21,18.59375,18.59375,19.25,19.125,3665600.0
