Open,Low,High,Close,Volume
2000-03-28,18.375,18.3125,19.25,19.0,917000.0
2000-03-29,18.875,18.75,19.25,19.0,882100.0
2000-03-30,19.0,18.875,20.9375,20.9375,1697500.0
2000-03-31,21.0,21.0,23.0625,22.875,3413100.0
2000-04-03,22.75,22.25,22.8125,22.5,1337900.0
2000-04-04,22.5,20.875,22.875,21.8125,1659100.0
2000-04-05,22.0625,21.25,22.0625,21.8125,1196800.0
2000-04-06,21.875,20.3125,22.0,21.0625,1847300.0
2000-04-07,21.25,21.1875,21.4375,21.25,1056700.0
2000-04-10,21.375,21.125,21.625,21.625,654200.0
2000-04-11,21.375,21.0,21.5,21.0,627600.0
2000-04-12,21.125,21.125,22.4375,21.5625,1151500.0
2000-04-13,21.8125,21.6875,22.25,22.0,901900.0
2000-04-14,21.5,20.875,21.625,21.0625,1188200.0
2000-04-17,20.5,20.25,21.0,20.625,315100.0
2000-04-18,20.5,20.5,21.375,20.8125,536400.0
2000-04-19,20.875,20.375,21.0,20.5,469900.0
2000-04-20,20.5,20.0,20.75,20.75,804200.0
2000-04-24,20.75,20.625,23.1875,23.0625,1016400.0
2000-04-25,24.0,23.625,25.5,25.25,1479300.0
2000-04-26,25.5,24.0,27.25,24.0,2315200.0
2000-04-27,23.75,23.4375,25.125,24.4375,965300.0
2000-04-28,24.4375,23.125,24.5,23.9375,704900.0
2000-05-01,24.375,24.3125,26.25,25.8125,1482400.0
2000-05-02,25.5625,23.4375,25.75,25.0,1642000.0
2000-05-03,25.0,24.6875,26.0,24.9375,763000.0
2000-05-04,24.75,24.5625,25.4375,25.375,521600.0
2000-05-05,25.3125,24.75,25.4375,24.8125,670900.0
2000-05-08,25.25,23.875,25.4375,24.4375,800900.0
2000-05-09,25.0625,24.8125,26.6875,26.0,1767600.0
2000-05-10,26.25,25.3125,27.0,25.6875,2194700.0
2000-05-11,25.5,25.5,26.1875,26.0,789900.0
2000-05-12,26.0,25.75,26.25,26.0625,1475500.0
2000-05-15,26.125,25.875,26.6875,26.6875,795600.0
2000-05-16,26.6875,26.3125,26.8125,26.6875,539700.0
2000-05-17,26.6875,25.875,26.6875,26.375,935900.0
2000-05-18,26.5,26.5,27.75,27.625,1680900.0
2000-05-19,27.625,26.5625,27.625,27.1875,931900.0
2000-05-22,27.125,26.625,27.5,26.875,1061800.0
2000-05-23,27.125,26.875,27.375,27.1875,1378400.0
2000-05-24,27.0625,27.0,28.0,28.0,2451600.0
2000-05-25,27.9375,25.9375,27.9375,26.9375,1583700.0
2000-05-26,26.6875,25.5,26.6875,26.1875,830700.0
2000-05-30,26.1875,26.0625,28.5,27.9375,1425100.0
2000-05-31,27.9375,26.8125,27.9375,26.9375,917700.0
2000-06-01,27.1875,27.1875,28.4375,28.3125,1131400.0
2000-06-02,29.0,29.0,31.4375,30.4375,1883500.0
2000-06-05,29.5,29.0,30.1875,29.0625,934700.0
2000-06-06,28.8125,28.75,30.5,29.875,1200700.0
2000-06-07,29.875,29.875,30.5,30.1875,597500.0
2000-06-08,30.1875,28.9375,30.1875,28.9375,472600.0
2000-06-09,29.1875,28.375,29.1875,28.4375,400000.0
2000-06-12,28.6875,27.9375,28.8125,28.375,1192400.0
2000-06-13,28.375,27.5,28.625,28.4375,587200.0
2000-06-14,28.4375,28.4375,29.1875,29.0,868200.0
2000-06-15,29.4375,27.625,29.5,28.1875,1168800.0
2000-06-16,28.0625,27.875,28.375,28.25,1021000.0
2000-06-19,27.625,27.5625,29.125,29.0,806500.0
2000-06-20,29.0,27.75,29.0,28.25,684400.0
2000-06-21,28.0625,27.0,28.1875,27.25,612100.0
2000-06-22,27.25,25.9375,27.25,26.5625,548300.0
2000-06-23,26.5,26.5,27.375,26.875,510100.0
2000-06-26,27.0,26.125,27.1875,26.3125,531600.0
2000-06-27,26.75,26.4375,27.0,26.625,802500.0
2000-06-28,26.8125,26.5,27.75,27.375,647600.0
2000-06-29,27.375,27.375,28.5625,28.0,627700.0
2000-06-30,28.0,27.9375,28.75,28.0,729300.0
2000-07-03,27.875,27.6875,28.125,28.0,161300.0
2000-07-05,28.1875,27.375,28.1875,27.5625,620100.0
2000-07-06,27.875,27.125,28.25,28.1875,410900.0
2000-07-07,28.0625,28.0625,29.1875,29.125,720900.0
2000-07-10,29.0625,29.0,29.5625,29.5,1438300.0
2000-07-11,29.5,29.25,30.125,30.0625,1313100.0
2000-07-12,30.0625,30.0625,31.3125,31.25,1650800.0
2000-07-13,31.25,30.75,31.875,31.125,1475700.0
2000-07-14,31.125,30.9375,32.375,31.5625,926200.0
2000-07-17,31.625,30.8125,31.625,31.375,636100.0
2000-07-18,31.1875,30.125,31.1875,30.4375,437900.0
2000-07-19,30.25,29.4375,30.625,30.0,926900.0
2000-07-20,30.1875,29.875,30.9375,30.9375,362600.0
2000-07-21,30.8125,30.625,31.25,31.125,702900.0
2000-07-24,31.0,29.8125,31.5,30.0,501100.0
2000-07-25,30.0,29.8125,31.375,31.1875,596900.0
2000-07-26,32.0,31.875,33.75,33.3125,2372200.0
2000-07-27,33.5625,33.5625,37.25,36.6875,4757000.0
2000-07-28,36.0,34.9375,36.125,35.5,1413800.0
2000-07-31,35.6875,35.125,36.0,35.9375,1205600.0
2000-08-01,35.9375,34.25,35.9375,34.25,1609900.0
2000-08-02,33.5625,32.3125,34.375,32.625,1763200.0
2000-08-03,31.75,31.75,33.5,33.5,2126100.0
2000-08-04,33.875,33.5,34.5625,33.875,1216300.0
2000-08-07,34.5,33.875,34.5625,34.4375,1225800.0
2000-08-08,34.5,34.0625,34.9375,34.6875,1280900.0
2000-08-09,34.6875,32.875,34.6875,33.0,855700.0
2000-08-10,33.25,33.25,33.9375,33.625,564100.0
2000-08-11,33.5,33.4375,34.5,34.125,394500.0
2000-08-14,35.0,34.6875,35.25,35.1875,1282600.0
2000-08-15,35.25,35.0,35.3125,35.1875,1094700.0
2000-08-16,35.0,35.0,35.375,35.125,793600.0
2000-08-17,35.0,34.6875,35.9375,35.75,554200.0
2000-08-18,35.875,35.0,35.875,35.4375,649000.0
2000-08-21,35.5,35.0,35.875,35.0,536500.0
2000-08-22,35.25,34.25,35.5,34.4375,642700.0
2000-08-23,34.0,33.625,34.25,34.1875,869600.0
2000-08-24,34.0625,34.0,34.625,34.0625,501800.0
2000-08-25,34.0625,33.5,34.5,33.8125,575000.0
2000-08-28,33.5625,33.0,33.875,33.25,564400.0
2000-08-29,33.0625,32.875,33.5625,33.3125,475000.0
2000-08-30,33.625,33.4375,33.9375,33.75,1109800.0
2000-08-31,33.5625,33.5625,35.5,35.125,618700.0
2000-09-01,35.375,34.5625,35.8125,34.75,343300.0
2000-09-05,34.5,34.5,35.3125,34.875,212500.0
2000-09-06,34.5,33.25,34.5,33.375,1048600.0
2000-09-07,33.4375,33.4375,34.125,33.625,3163000.0
2000-09-08,33.875,33.8125,35.1875,34.9375,1230000.0
2000-09-11,34.9375,34.6875,35.375,35.0,734500.0
2000-09-12,35.0,34.75,35.5,35.375,753200.0
2000-09-13,35.5,35.25,36.6875,35.8125,1123600.0
2000-09-14,35.6875,35.0625,36.0625,35.8125,1004700.0
2000-09-15,35.75,35.6875,36.75,36.0625,913200.0
2000-09-18,36.0625,36.0625,37.0,36.25,1636600.0
2000-09-19,36.25,36.0625,37.0,37.0,862000.0
2000-09-20,37.0,36.3125,37.125,36.5,788900.0
2000-09-21,36.5625,36.4375,38.3125,38.25,1514400.0
2000-09-22,38.0,37.5,39.125,38.75,766300.0
2000-09-25,38.75,37.0,38.75,37.375,1058800.0
2000-09-26,37.3125,37.25,39.0,38.6875,908300.0
2000-09-27,38.75,38.5625,40.1875,39.4375,1236300.0
2000-09-28,39.0,39.0,39.9375,39.75,904600.0
2000-09-29,39.75,38.5625,39.875,39.25,1130100.0
2000-10-02,39.125,38.8125,39.625,39.0,944900.0
2000-10-03,39.0,37.5,39.0,37.5,822300.0
2000-10-04,37.3125,36.9375,38.0,37.4375,680900.0
2000-10-05,36.75,36.375,37.375,37.0,1636800.0
2000-10-06,36.25,35.5625,36.75,35.625,1103800.0
2000-10-09,35.625,35.0,35.9375,35.4375,657400.0
2000-10-10,35.5,32.875,35.75,34.4375,1679800.0
2000-10-11,34.0,33.5,35.5,35.375,2070900.0
2000-10-12,35.375,33.5625,35.375,33.5625,2050800.0
2000-10-13,33.5625,33.375,34.6875,34.375,1132000.0
2000-10-16,34.1875,34.125,34.8125,34.8125,914000.0
2000-10-17,35.0625,33.9375,35.375,34.6875,833800.0
2000-10-18,34.3125,33.5625,36.3125,36.0625,1214400.0
2000-10-19,37.25,36.875,38.25,37.8125,1625300.0
2000-10-20,37.9375,37.875,38.8125,37.9375,974200.0
2000-10-23,37.9375,37.5,38.5625,38.5,955500.0
2000-10-24,38.5,37.75,39.0625,38.3125,1110500.0
2000-10-25,38.875,38.625,39.5,38.75,1914900.0
2000-10-26,39.375,37.5625,39.6875,38.3125,796200.0
2000-10-27,38.3125,38.3125,39.25,39.25,907900.0
2000-10-30,39.25,39.25,41.0,40.625,1330100.0
2000-10-31,40.625,39.0625,40.625,39.25,767400.0
2000-11-01,40.375,38.75,40.375,39.8125,2896100.0
2000-11-02,39.875,39.5,42.5,40.4375,1852800.0
2000-11-03,40.25,38.8125,40.25,39.0625,787300.0
2000-11-06,38.5,37.75,39.0625,38.3125,1062200.0
2000-11-07,38.3125,37.8125,39.5625,39.0,1076500.0
2000-11-08,39.0,38.625,39.5,39.1875,536800.0
2000-11-09,39.4375,38.6875,39.4375,38.8125,481400.0
2000-11-10,38.875,38.625,40.5625,40.125,800200.0
2000-11-13,39.9375,38.5625,40.0,39.25,561800.0
2000-11-14,39.25,39.1875,40.3125,39.9375,977100.0
2000-11-15,40.0625,39.625,40.3125,40.0625,652600.0
2000-11-16,39.9375,38.875,40.4375,39.8125,1346200.0
2000-11-17,39.9375,39.9375,40.8125,40.0,633500.0
2000-11-20,39.9375,38.75,39.9375,39.125,946900.0
2000-11-21,39.125,38.75,39.1875,39.0,929200.0
2000-11-22,38.75,37.5625,38.9375,38.375,539800.0
2000-11-24,38.375,37.75,38.9375,38.8125,258600.0
2000-11-27,38.4375,37.75,38.5,38.25,697800.0
2000-11-28,38.5,38.3125,39.4375,38.75,467900.0
2000-11-29,38.875,38.875,40.0,39.8125,540300.0
2000-11-30,39.8125,39.0625,41.375,39.5,1470500.0
2000-12-01,39.5,38.9375,39.875,39.25,894000.0
2000-12-04,39.25,39.1875,39.75,39.625,1131400.0
2000-12-05,39.875,39.875,41.0625,41.0,1694900.0
2000-12-06,41.0,40.3125,41.375,41.0625,1003100.0
2000-12-07,40.9375,40.0,41.75,41.5,992000.0
2000-12-08,42.0,42.0,43.6875,43.5625,1450300.0
2000-12-11,43.375,42.625,43.75,43.0625,1003800.0
