Open,Low,High,Close,Volume
2000-03-28,41.78125,41.625,42.875,42.4375,3260800.0
2000-03-29,42.40625,42.34375,44.5,44.25,5306200.0
2000-03-30,44.59375,44.53125,46.125,46.09375,7823200.0
2000-03-31,46.125,45.9375,47.125,46.21875,6282000.0
2000-04-03,46.3125,45.75,46.875,46.15625,3577200.0
2000-04-04,46.28125,44.6875,46.625,44.90625,7643400.0
2000-04-05,44.8125,43.6875,45.34375,43.75,2959200.0
2000-04-06,44.0,43.65625,44.90625,44.46875,2299000.0
2000-04-07,44.46875,43.15625,44.46875,43.21875,2876000.0
2000-04-10,42.71875,42.5625,43.71875,43.03125,2417600.0
2000-04-11,43.28125,43.28125,44.75,44.34375,3443400.0
2000-04-12,44.65625,44.21875,45.21875,44.5,2795400.0
2000-04-13,44.46875,43.46875,44.46875,43.46875,5013200.0
2000-04-14,43.5,42.71875,43.53125,42.84375,3769400.0
2000-04-17,42.5,41.15625,42.84375,41.46875,3983000.0
2000-04-18,41.375,41.15625,42.46875,42.28125,3010400.0
2000-04-19,42.15625,41.96875,43.0625,42.375,3027000.0
2000-04-20,41.5625,41.5625,43.15625,43.15625,2225200.0
2000-04-24,42.65625,42.46875,43.65625,42.625,2998400.0
2000-04-25,42.6875,42.03125,43.09375,42.40625,3206000.0
2000-04-26,43.09375,42.71875,43.28125,43.15625,2055600.0
2000-04-27,43.15625,43.15625,44.5,44.21875,2895600.0
2000-04-28,43.71875,42.5625,44.21875,42.5625,2810200.0
2000-05-01,42.75,42.75,44.25,43.15625,2961200.0
2000-05-02,43.59375,43.5625,44.96875,44.65625,3557800.0
2000-05-03,44.71875,43.65625,44.71875,43.65625,2793800.0
2000-05-04,43.78125,43.78125,44.5625,44.1875,1928200.0
2000-05-05,44.3125,44.03125,45.375,45.375,2409600.0
2000-05-08,45.53125,45.375,46.46875,45.90625,3292000.0
2000-05-09,45.84375,44.4375,45.875,45.0625,1992000.0
2000-05-10,44.71875,44.71875,45.9375,45.4375,2675600.0
2000-05-11,45.4375,45.4375,46.71875,46.6875,3395000.0
2000-05-12,46.5,46.3125,47.15625,47.140625,3320400.0
2000-05-15,46.90625,46.71875,47.375,47.0,3337600.0
2000-05-16,47.0,46.03125,47.0,46.46875,3079800.0
2000-05-17,45.375,45.03125,45.84375,45.65625,3003200.0
2000-05-18,45.78125,45.1875,46.03125,45.4375,1768400.0
2000-05-19,45.5,45.34375,46.96875,46.65625,2767800.0
2000-05-22,46.90625,46.65625,47.4375,47.03125,3359600.0
2000-05-23,46.84375,45.78125,46.84375,46.625,2436200.0
2000-05-24,46.6875,46.375,47.21875,47.125,3430600.0
2000-05-25,46.9375,45.71875,46.9375,46.59375,2944800.0
2000-05-26,46.90625,45.5625,47.0,45.6875,2299800.0
2000-05-30,45.71875,45.28125,45.84375,45.65625,2054400.0
2000-05-31,45.90625,45.78125,46.71875,46.21875,2577800.0
2000-06-01,46.21875,44.71875,46.21875,45.5,2455200.0
2000-06-02,45.0,44.40625,45.28125,45.28125,4548400.0
2000-06-05,45.375,45.125,45.625,45.21875,2703200.0
2000-06-06,45.25,45.21875,46.59375,46.4375,2582000.0
2000-06-07,46.9375,45.84375,46.96875,46.1875,3026200.0
2000-06-08,46.21875,45.90625,46.5,46.28125,2089800.0
2000-06-09,46.5,45.75,46.59375,46.0,3247800.0
2000-06-12,46.40625,46.375,47.25,46.4375,4403400.0
2000-06-13,46.0,45.71875,46.15625,45.875,3726600.0
2000-06-14,46.03125,46.03125,47.21875,46.625,4136000.0
2000-06-15,46.53125,46.0,46.96875,46.5625,2941800.0
2000-06-16,46.3125,46.3125,47.34375,46.375,4890200.0
2000-06-19,46.65625,45.21875,46.71875,45.6875,3055400.0
2000-06-20,45.6875,44.84375,45.6875,45.125,3538800.0
2000-06-21,45.0625,44.75,45.9375,45.632813,3511400.0
2000-06-22,45.90625,44.6875,46.28125,44.78125,2522800.0
2000-06-23,44.78125,44.71875,45.25,44.875,2062600.0
2000-06-26,44.84375,44.34375,45.25,44.367188,2193200.0
2000-06-27,44.4375,44.125,44.4375,44.21875,3088800.0
2000-06-28,44.125,43.53125,44.1875,43.789063,2898200.0
2000-06-29,43.4375,43.25,43.96875,43.320313,2383200.0
2000-06-30,43.3125,42.28125,43.5625,42.40625,5210600.0
2000-07-03,42.5,42.4375,43.3125,42.960938,1704400.0
2000-07-05,42.53125,41.03125,42.53125,41.25,4520200.0
2000-07-06,41.40625,41.40625,42.6875,41.78125,3421600.0
2000-07-07,42.0,41.875,42.59375,41.976563,2845600.0
2000-07-10,42.03125,42.0,42.59375,42.0,1892200.0
2000-07-11,42.0625,42.0625,43.78125,43.5,2678800.0
2000-07-12,43.53125,42.835938,43.53125,42.835938,3279400.0
