Open,Low,High,Close,Volume
2000-03-28,18.5625,18.1875,19.03125,18.4375,1722400.0
2000-03-29,18.1875,18.0625,18.9375,18.625,1565600.0
2000-03-30,18.65625,18.25,19.9375,19.53125,2151400.0
2000-03-31,19.5,19.0,19.5,19.0,2154400.0
2000-04-03,19.0,18.34375,19.53125,19.4375,3520000.0
2000-04-04,19.5625,19.0625,21.125,20.09375,4191800.0
2000-04-05,19.75,19.75,21.0,20.15625,4099400.0
2000-04-06,20.15625,19.90625,21.0,20.0,2217000.0
2000-04-07,20.0625,19.3125,20.0625,19.5,1130600.0
2000-04-10,19.625,19.5625,20.40625,19.625,1557400.0
2000-04-11,20.3125,20.09375,20.9375,20.15625,1764200.0
2000-04-12,20.46875,20.4375,21.4375,21.21875,2337400.0
2000-04-13,21.5,20.5,22.3125,20.75,3147800.0
2000-04-14,20.375,19.875,20.5,20.125,2050600.0
2000-04-17,19.875,19.3125,20.375,19.625,1692800.0
2000-04-18,19.875,19.03125,20.0,19.9375,1618800.0
2000-04-19,19.8125,18.9375,19.96875,19.28125,1148200.0
2000-04-20,19.0,18.96875,19.5625,19.4375,1155000.0
2000-04-24,18.9375,18.9375,19.6875,19.40625,1533800.0
2000-04-25,19.46875,19.3125,20.625,20.46875,1887000.0
2000-04-26,20.4375,20.03125,20.4375,20.0625,908200.0
2000-04-27,20.0,19.9375,20.65625,20.4375,1745800.0
2000-04-28,20.1875,19.96875,20.4375,20.1875,1451600.0
2000-05-01,19.75,19.625,20.21875,20.21875,1827400.0
2000-05-02,20.4375,20.21875,21.0,20.34375,1803600.0
2000-05-03,20.375,19.96875,20.4375,20.28125,1219600.0
2000-05-04,20.125,19.75,20.125,19.96875,2078400.0
2000-05-05,19.875,19.4375,19.875,19.6875,1786400.0
2000-05-08,19.75,19.59375,20.46875,20.125,1469800.0
2000-05-09,20.1875,20.0,20.8125,20.03125,1664000.0
2000-05-10,20.0,19.96875,20.875,20.875,1814000.0
2000-05-11,21.375,20.40625,21.4375,20.75,5960200.0
