Open,Low,High,Close,Volume
2000-03-28,41.186375,40.076561,41.92625,40.384842,7592600.0
2000-03-29,40.384842,39.706627,40.63147,40.261532,5162400.0
2000-03-30,40.261532,39.213375,40.446499,39.706627,5418600.0
2000-03-31,39.706627,39.706627,40.939751,40.693127,5358200.0
2000-04-03,40.693127,40.508156,41.309689,41.248032,4870600.0
2000-04-04,41.248032,37.856937,41.371346,40.569813,7049900.0
2000-04-05,40.199875,38.720123,40.199875,39.459999,5140100.0
2000-04-06,39.459999,39.459999,40.693127,39.891594,3615500.0
2000-04-07,39.953251,39.953251,40.816437,40.446499,3298000.0
2000-04-10,40.446499,39.706627,40.816437,40.75478,3665500.0
2000-04-11,41.186375,41.186375,41.92625,41.92625,6923300.0
2000-04-12,41.92625,39.459999,43.036064,39.521656,8414200.0
2000-04-13,39.521656,38.720123,40.199875,38.720123,5078400.0
2000-04-14,38.720123,37.178719,38.966751,38.350189,8248200.0
2000-04-17,38.226875,36.562157,38.226875,38.226875,6537200.0
2000-04-18,38.226875,37.487,39.213375,38.966751,4275500.0
2000-04-19,39.459999,39.459999,40.939751,40.384842,8579200.0
2000-04-20,40.384842,40.261532,41.92625,41.679626,5438800.0
2000-04-24,40.878094,39.583313,40.878094,39.706627,3844100.0
2000-04-25,39.706627,39.151718,40.014908,39.953251,3749400.0
2000-04-26,40.199875,40.199875,41.92625,41.802937,6002600.0
2000-04-27,41.679626,40.323189,41.679626,41.063061,4674800.0
2000-04-28,41.679626,41.679626,43.036064,43.036064,11731200.0
2000-05-01,43.036064,41.432999,43.282688,41.432999,8919200.0
2000-05-02,41.432999,39.76828,42.481155,42.419498,9296600.0
2000-05-03,41.432999,39.090061,41.432999,40.693127,6513700.0
2000-05-04,40.693127,38.843437,41.371346,39.151718,7127400.0
2000-05-05,39.151718,38.720123,39.891594,39.028408,3471300.0
2000-05-08,39.028408,39.028408,40.569813,40.014908,3582200.0
2000-05-09,40.014908,39.213375,41.063061,40.199875,3407000.0
2000-05-10,40.199875,39.953251,41.186375,40.508156,6369800.0
2000-05-11,40.508156,40.014908,40.816437,40.569813,3334500.0
2000-05-12,40.569813,39.521656,40.816437,40.261532,3104600.0
2000-05-15,40.261532,39.64497,40.569813,40.261532,3892000.0
2000-05-16,40.693127,40.693127,42.049564,41.61797,5938700.0
2000-05-17,41.61797,41.494656,42.296188,41.679626,4089800.0
2000-05-18,41.679626,40.446499,42.234531,40.63147,4393600.0
2000-05-19,40.63147,39.213375,40.693127,40.508156,4461300.0
2000-05-22,40.508156,39.459999,40.939751,40.323189,4200500.0
2000-05-23,40.138218,39.213375,40.138218,39.521656,4224400.0
2000-05-24,39.521656,37.67197,40.261532,38.78178,4405800.0
2000-05-25,38.78178,38.535156,39.891594,39.275032,3919000.0
2000-05-26,39.275032,38.720123,39.64497,39.336689,3368100.0
2000-05-30,40.076561,40.076561,41.432999,41.309689,7346700.0
2000-05-31,41.309689,41.063061,41.864594,41.61797,5180900.0
2000-06-01,41.61797,40.569813,41.987907,41.186375,3898500.0
2000-06-02,41.186375,39.706627,41.432999,39.891594,5836800.0
2000-06-05,39.891594,39.459999,40.446499,40.076561,4218900.0
2000-06-06,40.076561,39.891594,41.001408,40.323189,3841900.0
2000-06-07,40.323189,39.583313,40.384842,39.64497,3373600.0
2000-06-08,39.64497,39.583313,40.569813,39.891594,3073300.0
2000-06-09,39.953251,39.953251,41.432999,41.001408,4017500.0
2000-06-12,41.001408,39.829937,41.124718,40.169048,3474500.0
2000-06-13,40.169048,39.64497,40.939751,39.64497,5000400.0
2000-06-14,39.891594,39.891594,40.508156,40.199875,2941100.0
2000-06-15,40.323189,40.323189,41.432999,41.432999,4222100.0
2000-06-16,41.432999,40.508156,41.679626,40.63147,4973500.0
2000-06-19,40.63147,40.569813,41.432999,41.371346,2712000.0
2000-06-20,41.371346,41.001408,41.494656,41.186375,3295800.0
2000-06-21,41.186375,40.939751,41.494656,41.186375,2932200.0
2000-06-22,41.186375,40.508156,41.248032,40.939751,2864300.0
2000-06-23,40.75478,38.843437,40.75478,39.090061,5519100.0
2000-06-26,39.090061,39.028408,39.953251,39.953251,3821900.0
2000-06-27,39.953251,39.028408,39.953251,39.459999,3376700.0
2000-06-28,39.459999,38.103561,39.64497,38.62764,3165300.0
2000-06-29,38.62764,37.548656,39.583313,38.966751,4801700.0
2000-06-30,38.905094,37.240376,38.905094,38.288532000000004,6610500.0
2000-07-03,38.165218,37.487,38.165218,38.041904,2323500.0
2000-07-05,38.041904,37.363686,38.350189,37.548656,4211300.0
2000-07-06,37.548656,36.932095,38.65847,36.993752,3873000.0
2000-07-07,36.993752,36.007252,37.610313,37.487,9323900.0
2000-07-10,37.487,36.932095,37.918594,37.302032,4125100.0
2000-07-11,37.240376,35.514,37.240376,35.514,3834900.0
2000-07-12,35.575657,35.575657,37.610313,35.575657,4153200.0
2000-07-13,35.760624,35.760624,37.178719,36.623814,5091200.0
2000-07-14,36.623814,35.760624,36.993752,36.932095,4110400.0
2000-07-17,36.932095,35.637314,36.932095,36.068905,4453900.0
2000-07-18,35.698967,34.897438,35.698967,35.267376,4697400.0
2000-07-19,35.945595,35.945595,37.055405,36.5005,5997600.0
2000-07-20,36.993752,36.993752,38.78178,38.103561,5472800.0
2000-07-21,38.103561,36.685471,38.165218,36.932095,3783300.0
2000-07-24,36.747124,36.068905,36.747124,36.130562,2980600.0
2000-07-25,36.130562,35.822281,37.117062,36.993752,3741400.0
2000-07-26,36.993752,36.562157,37.733624,37.548656,4708900.0
2000-07-27,37.548656,37.055405,37.980251,37.487,2734000.0
2000-07-28,37.487,36.685471,37.67197,37.363686,2513200.0
2000-07-31,37.487,37.487,38.226875,38.041904,4192200.0
2000-08-01,38.473499,38.473499,39.76828,38.966751,8352300.0
2000-08-02,39.028408,39.028408,39.64497,39.583313,4612000.0
2000-08-03,39.583313,38.905094,42.419498,41.92625,4451600.0
2000-08-04,41.92625,40.384842,42.234531,41.864594,14958800.000000002
2000-08-07,41.432999,40.014908,41.432999,40.508156,6137600.0
2000-08-08,40.816437,40.816437,41.556313,40.816437,5025100.0
2000-08-09,40.816437,39.76828,41.186375,40.138218,3653800.0
2000-08-10,40.138218,39.028408,40.199875,39.953251,3669400.0
2000-08-11,39.953251,39.829937,40.816437,40.076561,4936600.0
2000-08-14,40.076561,39.829937,40.446499,40.384842,2838200.0
2000-08-15,40.384842,39.459999,40.569813,39.953251,2917100.0
2000-08-16,39.829937,38.720123,39.829937,39.336689,2645900.0
2000-08-17,39.336689,38.78178,39.64497,39.64497,2357200.0
2000-08-18,39.459999,38.226875,39.459999,38.596813,4544900.0
2000-08-21,38.596813,37.610313,38.720123,37.918594,3069000.0
2000-08-22,37.918594,37.178719,37.918594,37.425343,3705200.0
2000-08-23,37.425343,36.932095,37.856937,36.932095,3304700.0
2000-08-24,37.117062,37.117062,37.856937,37.363686,5504400.0
2000-08-25,37.487,37.487,37.856937,37.610313,2227500.0
2000-08-28,37.610313,37.240376,37.918594,37.548656,3043200.0
2000-08-29,37.548656,37.117062,37.980251,37.918594,3609400.0
2000-08-30,37.918594,37.610313,38.350189,37.856937,3230600.0
2000-08-31,37.856937,37.79528,39.275032,38.427258,4498300.0
2000-09-01,38.427258,37.610313,38.843437,38.473499,1997200.0
2000-09-05,38.473499,38.041904,38.905094,38.103561,3262200.0
2000-09-06,38.288532000000004,38.288532000000004,39.459999,39.459999,4412400.0
2000-09-07,39.459999,39.090061,40.939751,40.939751,4183700.0
2000-09-08,40.138218,39.151718,40.138218,39.706627,3328400.0
2000-09-11,39.64497,38.65847,39.64497,39.398342,2501000.0
2000-09-12,39.213375,38.041904,39.213375,38.103561,3294900.0
2000-09-13,38.288532000000004,38.288532000000004,39.459999,39.459999,3564500.0
2000-09-14,38.905094,37.980251,38.905094,38.843437,3105200.0
2000-09-15,38.843437,38.288532000000004,39.275032,38.65847,5008000.0
2000-09-18,38.535156,37.487,38.535156,37.918594,2673500.0
2000-09-19,37.918594,36.993752,37.980251,37.79528,3023600.0
2000-09-20,37.79528,36.5005,37.918594,36.685471,4411000.0
2000-09-21,36.685471,36.5005,37.240376,36.623814,3111500.0
2000-09-22,36.623814,36.315533,37.302032,36.932095,3798800.0
2000-09-25,36.932095,36.808781,37.610313,37.055405,2627400.0
2000-09-26,37.055405,36.993752,37.67197,37.178719,3172400.0
2000-09-27,37.178719,36.993752,37.856937,37.055405,2633900.0
2000-09-28,37.240376,37.240376,38.905094,38.288532000000004,4137500.0
2000-09-29,38.288532000000004,37.425343,38.65847,37.733624,4846000.0
2000-10-02,37.980251,37.980251,39.336689,38.966751,3629900.0
2000-10-03,38.966751,38.720123,39.583313,38.78178,4723500.0
2000-10-04,39.090061,39.090061,39.64497,39.336689,4143600.0
2000-10-05,39.459999,39.459999,40.939751,40.693127,5604200.0
2000-10-06,40.693127,39.336689,40.75478,40.138218,4213100.0
2000-10-09,40.138218,40.014908,40.508156,40.384842,3032700.0
2000-10-10,40.569813,40.569813,41.371346,40.816437,4949500.0
2000-10-11,40.816437,39.521656,41.001408,39.76828,5266300.0
2000-10-12,39.706627,38.226875,39.706627,38.473499,5238900.0
2000-10-13,38.473499,37.548656,39.521656,39.213375,5812500.0
2000-10-16,38.596813,36.993752,38.596813,37.733624,5116100.0
2000-10-17,37.363686,33.787624,37.363686,34.959095,8387900.0
2000-10-18,34.959095,33.047749,35.452343,35.020748,9473400.0
2000-10-19,35.020748,33.972595,35.514,34.465843,5555600.0
2000-10-20,34.465843,33.849281,36.685471,35.883938,6058700.0
2000-10-23,35.883938,35.267376,36.192219,35.698967,3605700.0
2000-10-24,35.698967,35.082405,36.315533,35.698967,4140000.0
2000-10-25,35.205719,33.849281,35.205719,34.342533,3745200.0
2000-10-26,34.342533,34.095905,35.020748,34.650814,5493400.0
2000-10-27,34.342533,33.417686,34.342533,33.849281,4566600.0
2000-10-30,33.849281,33.35603,35.822281,34.404186,4315500.0
2000-10-31,34.404186,33.602657,35.390686,35.329033,5288700.0
