Open,Low,High,Close,Volume
2000-03-28,63.0625,63.0,65.75,64.0,4848400.0
2000-03-29,64.875,64.875,68.5625,68.5,6944300.0
2000-03-30,68.0,65.9375,69.5625,67.0,7934300.0
2000-03-31,67.0,64.25,67.3125,64.5,5169700.0
2000-04-03,65.5,65.4375,68.0625,68.0,5898500.0
2000-04-04,67.75,63.4375,68.625,64.625,8188500.0
2000-04-05,63.5,63.0,64.625,64.0,5348300.0
2000-04-06,63.9375,63.25,67.0,65.9375,4234800.0
2000-04-07,66.125,64.125,67.3125,64.125,3425100.0
2000-04-10,65.125,64.25,67.25,66.6875,3992300.0
2000-04-11,65.6875,65.625,67.375,67.375,3714600.0
2000-04-12,68.1875,66.0,70.0,66.0,7081600.0
2000-04-13,66.3125,60.0,66.3125,62.5,7953100.0
2000-04-14,60.0,56.9375,60.25,60.25,7695600.0
2000-04-17,56.375,55.3125,58.1875,57.25,8667000.0
2000-04-18,57.0,56.0625,59.3125,58.75,7233700.0
2000-04-19,58.6875,57.625,60.0,58.75,5078400.0
2000-04-20,58.125,57.25,59.125,58.625,4111100.0
2000-04-24,58.0,57.875,61.75,59.5625,4850200.0
2000-04-25,60.25,58.6875,60.3125,59.0,5227700.0
2000-04-26,59.5,59.4375,60.875,60.5,4469400.0
2000-04-27,60.0,58.25,60.0,58.8125,4940000.0
2000-04-28,58.25,55.5,58.875,56.5,6475300.0
2000-05-01,56.5,56.125,57.875,56.125,4360000.0
2000-05-02,57.25,56.0625,57.9375,56.8125,3961700.0
2000-05-03,55.5,52.5625,55.5625,54.0,6666000.0
2000-05-04,53.75,51.8125,53.8125,52.5,6863800.0
2000-05-05,51.8125,51.1875,53.5,53.3125,6345700.0
2000-05-08,53.125,52.0,54.125,53.5625,5133800.0
2000-05-09,53.5625,51.75,54.625,52.5,4821700.0
2000-05-10,52.5,51.6875,54.25,54.0,6547300.0
2000-05-11,54.5,53.0625,55.25,53.875,4413300.0
2000-05-12,53.75,53.625,55.25,54.0,3683400.0
2000-05-15,53.5,53.5,56.875,56.5,5611300.0
2000-05-16,56.5,52.0,56.5,53.4375,13052500.0
2000-05-17,52.75,51.5,53.4375,52.25,7027500.0
2000-05-18,51.875,51.3125,53.4375,51.5,6951400.0
2000-05-19,51.1875,51.0625,52.25,51.5625,5682600.0
2000-05-22,51.6875,50.0,52.0,50.375,5313500.0
2000-05-23,50.625,48.1875,51.125,49.75,6293100.0
2000-05-24,48.0,44.125,48.0,46.75,17769300.0
2000-05-25,48.0,46.3125,49.8125,46.5,8621100.0
2000-05-26,48.5,46.25,48.75,46.875,4711400.0
2000-05-30,47.5,46.625,47.8125,47.25,4767600.0
2000-05-31,46.75,46.625,49.125,49.0,6583700.0
2000-06-01,49.0,48.5,50.0625,49.875,6049000.0
2000-06-02,52.75,52.0,54.0,53.625,8388800.0
2000-06-05,53.5,52.25,53.625,52.375,3858000.0
2000-06-06,52.0625,50.0625,52.0625,50.375,6753000.0
2000-06-07,51.25,49.875,51.8125,50.5625,4581800.0
2000-06-08,51.4375,49.5,51.5,49.875,5036400.0
2000-06-09,50.375,47.625,51.25,48.1875,5466100.0
2000-06-12,47.5625,45.0,47.5625,46.0,12584100.0
2000-06-13,46.125,45.9375,49.6875,49.375,9177000.0
2000-06-14,49.75,49.0625,51.0,51.0,8827700.0
2000-06-15,50.9375,50.25,51.25,50.875,5048400.0
2000-06-16,50.875,49.5625,51.0,49.8125,7158700.0
2000-06-19,49.375,48.75,50.0,50.0,5058600.0
2000-06-20,49.125,48.375,49.75,48.875,5080900.0
2000-06-21,48.875,47.6875,48.875,48.5625,3773900.0
2000-06-22,47.625,46.9375,48.1875,47.875,5537600.0
2000-06-23,48.0625,47.0625,48.125,48.0,3631600.0
2000-06-26,47.625,47.0625,48.375,47.125,3663400.0
2000-06-27,47.625,47.5,50.125,49.5625,6641200.0
2000-06-28,49.8125,48.125,49.9375,48.125,5233400.0
2000-06-29,48.125,47.125,48.25,47.875,5339200.0
2000-06-30,48.0625,47.625,50.046875,49.9375,5055500.0
2000-07-03,49.6875,48.625,49.875,49.6875,1885300.0
2000-07-05,49.9375,49.625,50.875,50.25,4063400.0
2000-07-06,50.375,50.0,52.125,51.25,4646900.0
2000-07-07,53.0,52.375,55.875,55.5,10254800.0
2000-07-10,55.3125,54.75,58.125,57.5,9340900.0
2000-07-11,57.375,57.0625,58.5625,57.625,7711000.0
2000-07-12,57.6875,56.375,58.0625,57.375,5062400.0
2000-07-13,57.625,55.75,57.6875,56.1875,3751500.0
2000-07-14,56.6875,55.375,56.6875,56.4375,3456600.0
2000-07-17,56.875,55.625,57.0,56.875,3686600.0
2000-07-18,56.875,56.75,58.1875,57.375,4019800.0
2000-07-19,57.5625,56.8125,57.625,57.125,2794900.0
2000-07-20,57.125,57.0,58.5,58.0625,4664500.0
2000-07-21,58.375,57.125,58.75,57.125,3611700.0
2000-07-24,56.5,54.8125,56.6875,56.0,3839900.0
2000-07-25,55.75,54.125,55.8125,55.0,4115200.0
2000-07-26,54.5,53.5625,55.875,53.5625,5031400.0
2000-07-27,54.3125,53.75,54.8125,54.75,3319300.0
2000-07-28,54.8125,52.25,54.9375,52.6875,3639900.0
2000-07-31,52.875,51.375,52.9375,51.75,3888800.0
2000-08-01,51.9375,51.0,52.5,52.0,3623600.0
2000-08-02,52.375,51.875,53.5,53.125,3331100.0
2000-08-03,53.1875,51.4375,53.875,51.75,3913800.0
2000-08-04,51.8125,51.625,54.0,54.0,4235200.0
2000-08-07,52.625,52.625,55.5,55.0,4122900.0
2000-08-08,55.0,54.9375,58.4375,57.0,6870100.0
2000-08-09,57.3125,55.75,58.0,58.0,4782800.0
2000-08-10,57.375,55.125,57.4375,55.125,4227000.0
2000-08-11,55.0,55.0,56.5,55.9375,2719500.0
2000-08-14,56.8125,56.8125,60.0,59.0,5011300.0
2000-08-15,56.0,53.0,56.0625,53.5,16307100.000000002
2000-08-16,52.1875,49.75,52.25,51.0,20874900.0
2000-08-17,51.125,50.4375,51.5,51.3125,6989900.0
2000-08-18,51.125,50.75,52.125,51.375,6392800.0
2000-08-21,51.125,49.9375,51.4375,50.875,5822700.0
2000-08-22,50.9375,50.5625,52.0,51.1875,4724000.0
2000-08-23,51.21875,50.5,51.375,51.375,5202900.0
2000-08-24,50.625,49.875,50.9375,50.4375,5200800.0
2000-08-25,50.4375,50.125,50.6875,50.5,3784300.0
2000-08-28,50.625,50.0,50.8125,50.0,4950400.0
2000-08-29,49.9375,49.0625,50.3125,49.6875,5433100.0
2000-08-30,49.25,48.0,49.3125,48.375,8329200.0
2000-08-31,48.1875,48.0,49.375,48.0625,8541200.0
2000-09-01,49.0,48.0625,49.0,48.5625,5517300.0
2000-09-05,48.9375,48.625,51.0,50.125,5492500.0
2000-09-06,50.625,50.5,51.125,50.625,5266700.0
2000-09-07,50.625,50.0625,51.0,50.5,5109900.0
2000-09-08,50.875,50.75,53.4375,52.9375,7810500.0
2000-09-11,53.0,52.9375,54.875,54.25,5222000.0
2000-09-12,54.6875,54.25,55.9375,55.875,6328100.0
2000-09-13,55.25,53.875,56.125,54.75,7056100.0
2000-09-14,55.875,54.75,56.1875,55.5,5346800.0
2000-09-15,55.9375,54.25,55.9375,54.25,6577700.0
2000-09-18,54.625,53.6875,55.8125,55.0625,4399500.0
2000-09-19,55.0,52.75,55.125,53.0,4102400.0
2000-09-20,53.5,52.5625,53.8125,53.0,3739300.0
2000-09-21,53.125,53.0,56.0,55.0,5001200.0
2000-09-22,54.75,54.25,55.9375,55.9375,5557600.0
2000-09-25,55.9375,53.6875,55.9375,54.625,4601800.0
2000-09-26,54.4375,52.1875,54.5,53.375,5580200.0
2000-09-27,54.9375,53.625,54.9375,54.75,5173100.0
2000-09-28,54.25,53.8125,55.0,55.0,3416400.0
2000-09-29,54.125,52.875,54.75,52.9375,4396400.0
2000-10-02,53.9375,52.5625,53.9375,52.5625,3095900.0
2000-10-03,52.9375,52.75,54.75,53.8125,4093700.0
2000-10-04,53.8125,53.8125,56.8125,55.5625,5747000.0
2000-10-05,54.0,53.125,55.75,53.75,7223900.0
2000-10-06,51.25,50.125,51.6875,51.0625,9449800.0
2000-10-09,51.0625,50.625,51.8125,50.875,2754300.0
2000-10-10,51.125,50.25,51.5,50.6875,3018200.0
2000-10-11,50.1875,48.9375,51.25,48.9375,5142600.0
2000-10-12,37.25,34.6875,38.0,34.875,66652300.0
2000-10-13,35.4375,34.875,36.4375,36.3125,43718199.99999999
