Open,Low,High,Close,Volume
2000-03-28,45.165882,44.450855,46.357594,44.629612,2426100.0
2000-03-29,44.450855,44.450855,47.310963,46.715107,2610800.0
2000-03-30,46.774693,46.715107,49.813557,49.09853,5189700.0
2000-03-31,50.528584,48.741016,51.481953,50.230656,4237100.0
2000-04-03,52.435326,50.826510999999996,52.435326,51.839466,3496000.0
2000-04-04,52.316154,49.456043,52.673668,51.24361,2987500.0
2000-04-05,51.005268,50.290241,52.316154,50.290241,1990100.0
2000-04-06,50.766926,48.621845,51.184025,49.694386,1841800.0
2000-04-07,49.336872,49.09853,50.647755,49.217701,1321400.0
2000-04-10,49.217701,48.741016,52.256569,51.005268,2335600.0
2000-04-11,51.720295,51.601124,54.103722,53.44828,2895400.0
2000-04-12,52.792839,50.051899,53.269524,50.409412,2072500.0
2000-04-13,53.150352,50.766926,54.342064,52.852425,4517100.0
2000-04-14,50.528584,50.111485,53.44828,51.601124,3362500.0
2000-04-17,50.290241,50.290241,52.673668,52.435326,2304200.0
2000-04-18,51.720295,50.886097,52.37574,51.24361,2335600.0
2000-04-19,52.37574,51.422367,52.971596,51.779881,2327400.0
2000-04-20,51.779881,51.541538,54.342064,54.342064,2306100.0
2000-04-24,53.388695,53.388695,55.652946,53.627037,2983000.0
2000-04-25,54.222893,53.627037,55.712532,55.116676,2623200.0
2000-04-26,55.295433,52.37574,55.652946,53.090767,2341500.0
2000-04-27,51.720295,51.541538,53.805794,52.733253,2230800.0
2000-04-28,53.150352,51.779881,54.282478,53.388695,1911600.0
2000-05-01,52.554497,51.899052,53.567451,52.91201,1341700.0
2000-05-02,52.196983,51.124439,52.614082,51.481953,2019200.0
2000-05-03,52.196983,51.064854,52.316154,51.660709,1385200.0
2000-05-04,51.303196,50.409412,51.899052,50.766926,2842200.0
2000-05-05,50.051899,49.932728,52.614082,51.779881,1608100.0
2000-05-08,51.005268,50.886097,52.316154,51.779881,837400.0
2000-05-09,50.826510999999996,50.826510999999996,52.077808,51.481953,1215300.0
2000-05-10,51.541538,50.290241,51.839466,51.303196,1211500.0
2000-05-11,51.958637,50.945683,52.137398,51.124439,1575900.0
2000-05-12,50.766926,50.528584,51.958637,50.737133,1181200.0
2000-05-15,51.24361,51.24361,53.805794,52.971596,2298400.0
2000-05-16,53.627037,53.209938,54.342064,53.507866,1911100.0
2000-05-17,51.601124,51.481953,52.316154,51.601124,1953100.0
2000-05-18,51.601124,51.601124,53.031181,52.420429,1029100.0
2000-05-19,52.435326,51.601124,52.852425,51.720295,2215300.0
2000-05-22,51.958637,50.051899,51.958637,50.766926,985700.0
2000-05-23,51.481953,50.647755,52.196983,50.886097,2921400.0
