Open,Low,High,Close,Volume
2000-03-28,70.3125,67.5625,71.28125,67.84375,44857800.0
2000-03-29,68.25,65.75,68.84375,65.9375,61325400.0
2000-03-30,64.875,61.53125,66.6875,63.5,71646800.0
2000-03-31,64.8125,64.125,67.4375,65.96875,58442200.0
2000-04-03,65.6875,62.875,66.5,65.3125,50071600.0
2000-04-04,65.75,59.5,67.0,66.375,87341800.0
2000-04-05,64.9375,63.875,67.0,64.9375,62101800.0
2000-04-06,64.625,63.5,65.8125,64.90625,55134000.0
2000-04-07,65.6875,65.65625,68.5,68.40625,51357200.0
2000-04-10,68.75,65.4375,69.53125,65.5625,44849000.0
2000-04-11,65.0,63.742188,67.125,65.375,53071200.0
2000-04-12,64.96875,60.875,65.9375,60.9375,60169600.0
2000-04-13,61.6875,60.375,64.625,60.5625,69414600.0
2000-04-14,59.59375,54.1875,60.375,55.25,92800400.0
2000-04-17,55.0,54.78125,61.625,61.5,88873400.0
2000-04-18,63.3125,62.625,65.5,64.5,98558000.0
2000-04-19,62.804688,59.46875,62.875,59.53125,87377800.00000001
2000-04-20,58.96875,57.5,59.6875,57.6875,45799000.0
2000-04-24,55.5,55.1875,58.25,58.0625,58320200.0
2000-04-25,59.867188,59.75,62.625,62.5,51342400.0
2000-04-26,62.125,60.3125,62.5,60.40625,47572000.0
2000-04-27,58.78125,58.5,63.28125,62.65625,61088400.0
2000-04-28,64.0,62.9375,64.53125,63.40625,44336400.00000001
2000-05-01,63.96875,63.125,65.5,63.5625,42389800.0
2000-05-02,62.9375,60.4375,63.8125,60.59375,43871400.00000001
2000-05-03,60.0625,57.9375,60.3125,59.53125,58988600.0
2000-05-04,59.375,58.53125,60.3125,59.78125,40984800.0
2000-05-05,59.5,59.5,61.9375,61.6875,34217400.0
2000-05-08,61.125,58.75,61.34375,58.8125,40937800.0
2000-05-09,59.1875,57.5,59.625,58.46875,43054000.0
2000-05-10,57.25,52.5625,58.25,53.03125,97225600.0
2000-05-11,53.5625,53.1875,58.0,57.78125,70267600.0
2000-05-12,58.3125,57.375,59.75,57.5,38429400.0
2000-05-15,57.28125,56.375,59.125,59.0625,41105400.0
2000-05-16,59.875,59.34375,61.4375,60.9375,44468400.0
2000-05-17,61.1875,60.1875,62.71875,61.59375,65543200.0
2000-05-18,61.9375,61.5625,63.25,61.96875,50141400.0
2000-05-19,60.9375,58.15625,61.8125,58.9375,71968000.0
2000-05-22,58.75,55.6875,59.28125,59.1875,59249600.00000001
2000-05-23,58.875,54.90625,59.9375,54.9375,50385799.99999999
2000-05-24,54.8125,54.75,59.085938,58.6875,75482200.0
2000-05-25,59.34375,56.78125,61.125,57.59375,50488799.99999999
2000-05-26,57.5,57.1875,59.9375,58.78125,30851000.0
2000-05-30,59.625,59.5625,62.9375,62.875,41768000.0
2000-05-31,63.125,62.25,63.96875,62.34375,54089600.00000001
2000-06-01,63.09375,63.0625,65.0,64.84375,45978400.0
2000-06-02,66.40625,66.0,67.28125,67.09375,42657400.0
2000-06-05,66.3125,65.59375,67.5,66.28125,39176000.0
2000-06-06,65.65625,64.75,67.53125,64.78125,47425200.0
2000-06-07,64.625,62.84375,64.6875,64.46875,39753400.0
2000-06-08,64.8125,63.0,65.75,63.09375,34394000.0
2000-06-09,63.96875,62.75,64.0,63.53125,27519200.0
2000-06-12,63.90625,62.3125,64.0,62.53125,25947000.0
2000-06-13,62.25,62.0625,65.929688,65.75,39126600.0
2000-06-14,65.4375,63.0,65.65625,63.21875,37008800.0
2000-06-15,63.367188,63.25,65.03125,64.125,33411000.0
2000-06-16,64.625,62.9375,64.84375,63.03125,44086200.0
2000-06-19,64.21875,64.1875,68.34375,68.25,61221200.0
2000-06-20,67.96875,67.96875,70.125,69.15625,58579400.0
2000-06-21,68.1875,68.0,69.625,69.5,32891400.0
2000-06-22,69.0,67.0,69.1875,67.03125,29696200.0
2000-06-23,67.625,67.0625,68.75,67.1875,30321600.000000004
2000-06-26,67.90625,66.3125,68.601563,67.09375,29904799.999999996
2000-06-27,66.96875,65.625,68.25,65.6875,33370400.0
2000-06-28,65.96875,65.5,67.84375,66.1875,30631800.0
2000-06-29,65.53125,65.25,67.1875,65.875,47136200.0
2000-06-30,65.4375,64.8125,67.0625,66.84375,41431200.0
2000-07-03,67.0625,66.859375,68.4375,68.4375,15083800.0
2000-07-05,66.5625,65.6875,67.25,65.8125,42005200.0
2000-07-06,65.75,65.28125,68.40625,68.3125,44906200.0
2000-07-07,68.875,68.0625,69.9375,69.65625,37286800.0
2000-07-10,68.875,68.5,70.0,68.90625,31349400.0
2000-07-11,69.125,68.5625,70.625,69.40625,42782000.0
2000-07-12,70.125,69.375,71.125,70.59375,29824200.000000004
2000-07-13,70.1875,70.125,72.5,71.59375,45176000.0
2000-07-14,72.0,71.53125,73.53125,73.34375,37471800.0
2000-07-17,73.3125,72.1875,73.75,73.15625,46580000.0
2000-07-18,72.40625,70.71875,72.414063,71.5,50683600.0
2000-07-19,72.46875,69.0,73.0625,69.0625,72188400.0
2000-07-20,69.46875,68.9375,71.625,71.34375,60488400.0
2000-07-21,71.0625,69.03125,71.125,69.09375,32086600.0
2000-07-24,69.09375,68.8125,71.0,69.0,39835400.0
2000-07-25,69.367188,68.84375,70.96875,70.4375,29623200.0
2000-07-26,69.5,68.28125,70.0625,69.5,46639800.00000001
2000-07-27,69.25,68.0,70.1875,68.5,39223800.0
2000-07-28,69.0,64.375,69.6875,64.5625,55433800.0
2000-07-31,65.4375,64.5,67.5625,66.75,30470700.0
2000-08-01,67.0625,64.25,67.375,64.625,25001100.000000004
2000-08-02,65.25,63.1875,66.125,63.3125,33226800.0
2000-08-03,61.8125,60.4375,65.375,65.0625,34941100.0
2000-08-04,66.21875,61.4375,66.25,62.5625,34939700.0
2000-08-07,62.625,61.125,64.375,62.9375,30634400.0
2000-08-08,62.75,61.5,63.375,61.625,24900100.0
2000-08-09,62.875,62.84375,64.875,63.5625,30071900.0
2000-08-10,63.1875,62.0,64.8125,62.0,16678400.0
2000-08-11,61.875,60.8125,64.125,63.8125,22509600.0
2000-08-14,64.4375,63.625,67.0,66.9375,25665000.0
2000-08-15,66.8125,66.0,68.75,67.875,34464300.0
2000-08-16,68.625,67.5625,69.5,68.0625,24609500.0
2000-08-17,68.5,68.4375,71.5,70.0625,40495900.0
2000-08-18,71.0,70.25,72.9375,70.5625,35795600.0
2000-08-21,72.671875,70.5625,74.0625,72.0625,46024300.0
2000-08-22,72.46875,72.125,73.625,72.125,31693500.0
2000-08-23,71.4375,70.6875,74.875,74.625,36177000.0
2000-08-24,74.5625,73.0,75.828125,74.25,23352900.0
2000-08-25,73.875,72.625,74.4375,72.9375,20844200.0
2000-08-28,73.25,73.0,75.8125,73.875,42760500.0
2000-08-29,73.3125,73.125,74.9375,74.0625,23023100.0
2000-08-30,73.75,72.75,74.375,73.5,21770400.0
2000-08-31,73.875,73.625,75.625,74.875,28530700.000000004
2000-09-01,75.625,73.4375,75.6875,73.9375,18322000.0
2000-09-05,71.0625,68.25,71.375,69.25,58396000.0
2000-09-06,68.0625,65.0,68.5,65.703125,62344900.0
2000-09-07,66.609375,66.25,68.6875,67.4375,34716000.0
2000-09-08,67.1875,64.9375,67.4375,65.375,29681800.000000004
2000-09-11,65.5625,63.9375,66.875,64.6875,30507800.0
2000-09-12,65.0625,64.5625,66.9375,64.9375,28997300.0
2000-09-13,61.6875,60.5,63.3125,61.25,70068400.0
2000-09-14,62.5,59.25,62.875,59.625,50489200.0
2000-09-15,59.6875,56.625,59.875,57.515625,75675900.0
2000-09-18,58.375,55.5,59.25,55.8125,50767100.0
2000-09-19,57.1875,56.8125,60.5,60.375,58855100.0
2000-09-20,61.25,60.4375,63.5,63.0625,70335900.0
2000-09-21,62.0625,60.375,62.9375,61.484375,57112300.00000001
2000-09-22,46.75,46.5,49.5,47.9375,308734400.0
2000-09-25,50.0625,44.75,50.203125,45.375,130214700.0
2000-09-26,46.4375,42.8125,46.5,43.3125,112681600.0
2000-09-27,44.625,43.4375,45.6875,43.875,80365100.0
2000-09-28,44.125,43.484375,44.5625,44.4375,66739000.0
