Open,Low,High,Close,Volume
2000-06-13,6.0,5.9793330000000005,6.083333,6.020666,7690200.0
2000-06-14,6.0,5.916666,6.125333,6.0,2143200.0
2000-06-15,6.166666,6.0,6.166666,6.083333,934200.0
2000-06-16,2.013889,2.0,2.055556,2.027778,521550.0
2000-06-19,2.027778,2.0,2.055556,2.0,1363050.0
2000-06-20,2.006944,1.75,2.180556,2.083333,1177650.0
2000-06-21,2.222222,2.138889,2.472222,2.444444,2342250.0
2000-06-22,2.458333,2.118056,2.472222,2.194444,857700.0
2000-06-23,2.263889,2.222222,2.361111,2.305556,615150.0
2000-06-26,2.333333,2.166667,2.361111,2.222222,458550.0
2000-06-27,2.222222,2.0,2.319444,2.111111,616050.0
2000-06-28,2.138889,2.027778,2.194444,2.138889,828000.0
2000-06-29,2.194444,2.0,2.194444,2.0,834300.0
2000-06-30,2.069444,2.027778,2.138889,2.097222,859500.0
2000-07-03,2.166667,2.111111,2.166667,2.138889,144450.0
2000-07-05,2.166667,2.111111,2.222222,2.222222,621900.0
2000-07-06,2.222222,2.097222,2.236111,2.166667,584550.0
2000-07-07,2.229167,2.125,2.583333,2.277778,3571650.0
2000-07-10,2.458333,2.319444,2.944444,2.791667,2830500.0
2000-07-11,3.013889,2.638889,3.166667,2.833333,6016500.0
2000-07-12,3.104167,2.819444,3.430556,3.333333,4926150.0
2000-07-13,4.0,3.583333,4.027778,3.722222,5490900.0
2000-07-14,3.916667,3.305556,3.944444,3.444444,2537100.0
2000-07-17,3.555556,3.388889,3.583333,3.472222,829800.0
2000-07-18,3.486111,3.194444,3.541667,3.222222,604350.0
2000-07-19,3.194444,2.916667,3.222222,3.111111,792900.0
2000-07-20,3.069444,3.027778,3.694444,3.527778,1184400.0
2000-07-21,3.527778,3.472222,3.805556,3.805556,857700.0
2000-07-24,3.777778,3.569444,3.944444,3.722222,837900.0
2000-07-25,3.75,3.444444,3.833333,3.583333,435150.0
2000-07-26,3.583333,3.138889,3.888889,3.861111,884250.0
2000-07-27,3.722222,3.666667,4.222222,3.805556,1004400.0
2000-07-28,3.805556,3.444444,3.819444,3.611111,681750.0
2000-07-31,3.555556,3.305556,4.236111,4.194444,1438200.0
2000-08-01,3.986111,3.861111,4.027778,3.875,446400.0
2000-08-02,3.888889,3.777778,4.041667,3.791667,297900.0
2000-08-03,3.777778,3.666667,4.0,3.902778,220950.0
2000-08-04,4.0,3.75,4.013889,3.791667,366750.0
2000-08-07,3.777778,3.444444,3.861111,3.555556,522000.0
2000-08-08,3.722222,3.444444,3.722222,3.5,148500.0
2000-08-09,3.493056,3.222222,3.541667,3.263889,355050.0
2000-08-10,3.277778,3.25,3.472222,3.277778,225900.0
2000-08-11,3.180556,2.930556,3.277778,3.111111,388350.0
2000-08-14,3.256944,3.111111,3.256944,3.111111,167850.0
2000-08-15,3.097222,2.805556,3.111111,2.805556,616500.0
2000-08-16,2.833333,2.833333,3.152778,3.041667,243450.0
