Open,Low,High,Close,Volume
2000-03-28,34.71875,34.6875,36.0,36.0,18375600.0
2000-03-29,35.03125,35.03125,36.0625,35.53125,14696000.0
2000-03-30,35.28125,35.15625,35.8125,35.375,10338200.0
2000-03-31,35.5,35.03125,35.5625,35.125,8013400.0
2000-04-03,35.3125,35.0,36.375,36.125,11106800.000000002
2000-04-04,36.59375,36.53125,38.375,38.375,22024200.0
2000-04-05,38.0,37.375,38.75,38.75,14044800.0
2000-04-06,38.625,37.15625,38.65625,37.4375,8297000.0
2000-04-07,38.125,36.90625,38.1875,37.03125,6315000.0
2000-04-10,37.40625,37.34375,38.25,38.0,8393600.0
2000-04-11,38.0,37.8125,39.1875,39.125,8903800.0
2000-04-12,38.84375,38.03125,39.6875,38.5,7528200.0
2000-04-13,38.03125,37.375,38.46875,38.125,7071400.0
2000-04-14,37.5625,36.28125,37.8125,36.65625,8469200.0
2000-04-17,37.8125,37.75,39.0,38.75,11978200.000000002
2000-04-18,40.0,39.625,41.0,40.75,14995000.0
2000-04-19,40.75,40.34375,41.3125,41.125,7797600.0
2000-04-20,41.0625,40.625,41.46875,40.8125,5635400.0
2000-04-24,40.75,40.75,42.21875,41.9375,7205600.0
2000-04-25,41.84375,41.3125,42.21875,42.15625,5635600.0
2000-04-26,42.03125,41.0,42.03125,41.375,5480000.0
2000-04-27,41.125,40.90625,41.6875,41.5,4756600.0
2000-04-28,41.375,40.96875,41.5,41.25,5149400.0
2000-05-01,41.125,40.9375,42.21875,41.34375,5819600.0
2000-05-02,41.0625,41.03125,42.28125,42.09375,5156800.0
2000-05-03,42.0625,41.5,42.46875,41.625,5079000.0
2000-05-04,41.5,41.15625,42.03125,41.53125,3048800.0
2000-05-05,41.59375,41.34375,42.125,42.0,4241200.0
2000-05-08,42.46875,42.0625,43.875,43.875,9178800.0
2000-05-09,43.75,43.375,44.21875,43.5,8159000.0
2000-05-10,43.5,42.5625,43.5,42.75,8313000.0
2000-05-11,43.1875,42.9375,43.46875,43.03125,4636200.0
2000-05-12,43.0625,42.34375,43.09375,42.75,4074200.0
2000-05-15,42.625,42.5625,43.5,43.125,4477200.0
2000-05-16,43.25,43.125,43.71875,43.65625,5165400.0
2000-05-17,43.53125,42.8125,43.84375,43.53125,3507200.0
2000-05-18,43.4375,43.40625,44.5,44.25,6088800.0
2000-05-19,44.40625,43.4375,44.8125,44.375,7074000.0
2000-05-22,44.8125,42.59375,44.84375,43.4375,6134800.0
2000-05-23,43.9375,43.0625,44.09375,43.5,5611000.0
2000-05-24,43.84375,43.625,45.0,44.96875,8214400.0
2000-05-25,44.625,43.84375,44.75,44.65625,4528000.0
2000-05-26,44.75,43.9375,44.90625,44.0625,3095200.0
2000-05-30,44.09375,43.5625,44.46875,44.46875,4214400.0
2000-05-31,44.59375,44.125,44.96875,44.75,4391200.0
2000-06-01,44.625,43.625,44.75,43.84375,5231800.0
2000-06-02,43.75,41.25,43.75,42.0,9351400.0
2000-06-05,41.75,41.28125,42.625,42.0,5316600.0
2000-06-06,41.75,41.5,42.375,42.0625,3196600.0
2000-06-07,42.53125,41.84375,42.71875,41.84375,4098200.0
2000-06-08,41.84375,41.4375,42.46875,42.4375,3685400.0
2000-06-09,42.5,42.40625,43.75,43.0625,4105200.0
2000-06-12,43.375,42.34375,43.6875,42.390625,3798200.0
2000-06-13,42.875,42.78125,44.25,44.0,5396600.0
2000-06-14,44.6875,44.3125,44.9375,44.875,5490200.0
2000-06-15,45.0,44.71875,45.5,45.3125,7969600.0
2000-06-16,45.03125,44.6875,45.21875,44.78125,7343400.0
2000-06-19,44.875,44.53125,45.15625,45.09375,3564800.0
2000-06-20,45.1875,44.03125,45.21875,44.28125,4356400.0
2000-06-21,44.375,44.375,45.21875,44.9375,5109200.0
2000-06-22,44.875,44.125,44.875,44.28125,3988600.0
2000-06-23,44.40625,44.34375,44.96875,44.875,3838000.0
2000-06-26,46.1875,46.03125,47.75,47.75,15784200.0
2000-06-27,47.65625,47.625,49.09375,48.96875,14784000.000000002
2000-06-28,48.5,48.40625,49.15625,49.039063,8783200.0
2000-06-29,49.0,48.65625,49.6875,49.28125,8607400.0
2000-06-30,49.0,48.21875,50.992188,50.9375,16086600.0
2000-07-03,50.625,49.96875,50.625,50.53125,4770200.0
2000-07-05,50.40625,49.9375,50.71875,50.5,7304400.0
2000-07-06,50.0,49.59375,50.1875,49.84375,5789800.0
2000-07-07,49.75,49.65625,50.4375,49.875,6498200.0
2000-07-10,50.375,49.90625,50.4375,50.09375,4346000.0
2000-07-11,49.6875,49.5,50.21875,50.09375,6781800.0
2000-07-12,49.625,49.0,49.78125,49.03125,5671800.0
2000-07-13,48.75,47.5,48.78125,47.625,7650600.0
2000-07-14,46.375,45.53125,46.40625,45.90625,12577600.0
2000-07-17,46.5,46.25,47.875,47.171875,8803200.0
2000-07-18,47.21875,47.1875,47.71875,47.5,8284800.0
2000-07-19,47.4375,46.375,47.84375,46.59375,5364600.0
2000-07-20,46.625,45.8125,46.625,45.9375,5939200.0
2000-07-21,45.9375,45.5,46.71875,46.125,7617800.0
2000-07-24,46.15625,46.15625,47.6875,47.226563,5676000.0
2000-07-25,47.28125,46.375,47.375,46.75,5873200.0
2000-07-26,46.75,45.125,46.75,45.125,7351000.0
2000-07-27,45.375,45.3125,46.46875,45.929688,6578800.0
2000-07-28,46.4375,46.09375,46.84375,46.828125,4837200.0
2000-07-31,46.84375,46.25,46.96875,46.53125,6331600.0
2000-08-01,46.25,46.1875,47.5,47.40625,5039800.0
2000-08-02,47.46875,47.125,48.34375,48.25,4974200.0
2000-08-03,48.125,48.0625,48.6875,48.5,5710600.0
2000-08-04,48.3125,47.65625,48.34375,48.28125,4062600.0
2000-08-07,48.75,47.96875,48.75,48.429688,3811200.0
2000-08-08,48.25,47.84375,48.75,48.335938,4595000.0
2000-08-09,48.28125,46.8125,48.59375,47.40625,7086200.0
2000-08-10,47.875,47.625,48.9375,48.703125,5738400.0
2000-08-11,48.75,48.5625,49.4375,48.921875,4487600.0
2000-08-14,49.0,48.28125,49.1875,48.65625,2855600.0
2000-08-15,48.375,47.90625,48.65625,48.046875,3292000.0
2000-08-16,48.4375,48.375,49.09375,48.921875,3220000.0
2000-08-17,49.0,48.28125,49.0625,48.5,4721000.0
2000-08-18,48.5,47.65625,48.625,48.210938,5476800.0
2000-08-21,48.5,48.25,48.875,48.5,3666200.0
2000-08-22,48.59375,48.40625,48.9375,48.875,3218400.0
