Open,Low,High,Close,Volume
2000-03-28,62.5,62.083332,63.833332,62.833332,7325700.0
2000-03-29,62.833332,59.541668,63.0,60.25,9088350.0
2000-03-30,59.625,57.291668,60.5,58.0,8017200.0
2000-03-31,58.666668,57.333332,58.916668,58.125,6805050.0
2000-04-03,58.625,58.541668,62.0,61.666668,8509500.0
2000-04-04,61.0,55.333332,61.25,57.833332,12638700.0
2000-04-05,56.166668,56.166668,57.958332,57.583332,7310700.0
2000-04-06,58.0,57.875,58.833332,58.291668,4853400.0
2000-04-07,58.833332,57.333332,58.833332,57.583332,4914150.0
2000-04-10,57.0,56.75,59.375,58.75,7864950.0
2000-04-11,58.0,56.666668,58.583332,57.333332,8217150.0
2000-04-12,58.625,57.666668,60.625,57.875,9133350.0
2000-04-13,57.333332,56.166668,57.833332,56.333332,6781050.0
2000-04-14,54.666668,50.5,54.916668,52.583332,13084500.000000002
2000-04-17,51.666668,49.958332,52.958332,52.416668,8708700.0
2000-04-18,52.166668,52.041668,53.958332,53.666668,6833400.0
2000-04-19,53.833332,50.416668,54.0,52.0,9057150.0
2000-04-20,52.083332,50.833332,52.125,51.541668,4540650.0
2000-04-24,50.666668,49.625,50.958332,49.833332,7792800.0
2000-04-25,50.5,50.166668,52.375,52.041668,6327150.0
2000-04-26,52.5,50.791668,52.5,50.958332,5500500.0
2000-04-27,50.083332,48.875,50.333332,49.25,9298200.0
2000-04-28,49.5,47.833332,49.791668,48.083332,8603250.0
2000-05-01,48.333332,47.708332,50.25,49.166668,8439750.0
2000-05-02,49.208332,48.916668,51.333332,50.75,8411250.0
2000-05-03,50.125,49.5,51.166668,49.5,9320550.0
2000-05-04,50.083332,48.583332,50.291668,48.833332,6172200.0
2000-05-05,48.0,47.0,48.5,48.125,14505150.0
2000-05-08,47.75,47.541668,48.791668,48.0,5497650.0
2000-05-09,48.166668,47.25,48.458332,47.25,6378000.0
2000-05-10,47.125,45.833332,47.125,45.833332,6616050.0
2000-05-11,46.708332,45.666668,47.125,46.666668,7853100.0
2000-05-12,46.083332,45.416668,48.583332,47.75,12221850.0
2000-05-15,48.5,48.041668,50.125,49.75,6703200.0
2000-05-16,51.083332,49.125,51.125,49.5,7925100.0
2000-05-17,48.833332,48.708332,49.958332,49.333332,4350600.0
2000-05-18,49.166668,49.166668,50.916668,50.083332,5156250.0
2000-05-19,49.75,48.166668,49.958332,48.333332,5114550.0
2000-05-22,48.833332,47.0,48.833332,48.125,4164600.0
2000-05-23,47.958332,47.958332,49.708332,48.75,5208750.0
