Open,Low,High,Close,Volume
2000-03-28,22.625,22.4375,23.25,22.4375,13673000.0
2000-03-29,22.65625,22.65625,23.53125,23.4375,16292600.0
2000-03-30,23.5625,23.5625,24.96875,24.28125,18795200.0
2000-03-31,24.28125,23.46875,24.34375,23.46875,8857000.0
2000-04-03,23.625,23.625,24.96875,24.65625,14186800.000000002
2000-04-04,24.65625,24.09375,26.1875,26.1875,27390200.0
2000-04-05,25.46875,23.6875,25.46875,23.8125,20256599.999999996
2000-04-06,23.8125,22.375,23.96875,22.875,20675000.0
2000-04-07,22.875,22.375,23.21875,23.09375,12374000.0
2000-04-10,23.09375,22.4375,23.59375,22.5,12903000.0
2000-04-11,22.84375,22.84375,23.875,23.59375,12096400.0
2000-04-12,23.84375,23.84375,24.96875,24.25,15586400.0
2000-04-13,24.25,23.5625,24.3125,23.625,8892800.0
2000-04-14,23.625,23.03125,23.78125,23.5,9488200.0
2000-04-17,23.5,23.125,24.3125,24.25,10710200.0
2000-04-18,24.25,23.1875,24.5625,24.3125,13001000.0
2000-04-19,24.3125,23.96875,24.84375,24.59375,10073200.0
2000-04-20,24.59375,24.0,24.71875,24.71875,8278600.0
2000-04-24,24.71875,24.5,25.21875,24.8125,9377600.0
2000-04-25,24.8125,24.09375,25.25,25.25,8711600.0
2000-04-26,25.0625,24.4375,25.0625,24.71875,9536200.0
2000-04-27,24.5625,23.71875,24.5625,24.125,9023200.0
2000-04-28,24.125,23.375,24.1875,23.625,7568800.0
2000-05-01,23.5,23.125,23.5,23.125,7754000.0
2000-05-02,23.125,22.96875,23.78125,23.125,9209400.0
2000-05-03,23.125,23.0625,24.40625,24.25,14397400.0
2000-05-04,24.25,23.65625,24.59375,24.25,6842400.0
2000-05-05,24.0,23.375,24.0,23.53125,5999200.0
2000-05-08,23.8125,23.8125,24.25,24.25,6013000.0
2000-05-09,24.96875,24.96875,25.625,25.25,22386000.0
2000-05-10,25.25,25.25,26.5,26.40625,21062000.0
2000-05-11,26.5,26.5,26.90625,26.78125,15919400.000000002
2000-05-12,26.5,25.75,26.5,26.125,7498200.0
2000-05-15,26.125,25.5,26.375,25.875,8056600.0
2000-05-16,25.375,24.3125,25.375,24.46875,16476600.000000002
2000-05-17,24.46875,24.0,24.59375,24.125,8448600.0
2000-05-18,24.125,24.09375,24.9375,24.71875,8098600.0
2000-05-19,24.71875,24.53125,25.15625,25.03125,10053600.0
2000-05-22,25.03125,24.71875,25.34375,25.34375,9716400.0
2000-05-23,25.09375,24.84375,25.09375,25.0,7210000.0
2000-05-24,25.09375,25.09375,26.53125,26.34375,10788000.0
2000-05-25,26.34375,26.0,26.46875,26.34375,7731800.0
2000-05-26,26.625,26.625,27.5,27.28125,12380200.000000002
2000-05-30,27.28125,26.53125,27.5,26.9375,7451200.0
2000-05-31,26.9375,26.375,26.9375,26.6875,5541000.0
2000-06-01,26.6875,26.53125,27.3125,26.625,5993800.0
2000-06-02,26.625,26.0625,26.625,26.28125,6324800.0
2000-06-05,26.28125,25.875,26.4375,26.0,4837400.0
2000-06-06,25.96875,25.53125,25.96875,25.90625,6609200.0
2000-06-07,25.9375,25.9375,26.625,26.5,6865200.0
2000-06-08,26.5,25.9375,26.5,26.40625,7779000.0
2000-06-09,26.40625,26.0625,26.6875,26.15625,4966000.0
2000-06-12,26.15625,26.125,26.71875,26.3125,4122600.0
2000-06-13,26.40625,26.40625,27.0,26.6875,5626200.0
2000-06-14,26.6875,26.1875,27.0625,26.5,10165800.0
2000-06-15,26.90625,26.90625,28.0625,27.9375,20672400.0
2000-06-16,27.9375,27.5625,28.09375,27.75,14330400.0
2000-06-19,27.4375,27.0,27.4375,27.21875,6989800.0
2000-06-20,26.8125,26.34375,26.8125,26.46875,6947800.0
2000-06-21,26.5,26.5,27.15625,26.75,8780600.0
2000-06-22,26.75,26.5,28.25,28.0625,11664600.0
2000-06-23,28.0625,27.8125,29.15625,28.9375,15346000.000000002
2000-06-26,28.9375,28.75,29.625,29.5,9900400.0
2000-06-27,29.4375,28.75,29.4375,28.9375,10429600.000000002
2000-06-28,29.1875,29.1875,30.4375,30.023438,18989000.0
