Open,Low,High,Close,Volume
2000-03-28,59.8125,59.5,61.0,60.25,2114100.0
2000-03-29,60.125,60.125,61.5,61.0,2834600.0
2000-03-30,61.25,60.75,63.125,60.75,3098400.0
2000-03-31,61.25,60.125,64.5,62.625,3243800.0
2000-04-03,64.25,64.0,65.5,65.375,2741300.0
2000-04-04,65.625,65.4375,69.375,69.0,6700500.0
2000-04-05,68.125,66.875,69.0,67.46875,3470900.0
2000-04-06,66.0,65.0625,67.0,65.875,2190400.0
2000-04-07,65.625,64.1875,65.75,64.3125,1607200.0
2000-04-10,64.0,63.75,66.75,64.875,2884200.0
2000-04-11,65.0,64.875,66.9375,66.875,2373300.0
2000-04-12,66.25,64.75,67.0,65.125,2618200.0
2000-04-13,68.4375,68.0,70.0,70.0,4523000.0
2000-04-14,68.5,66.5,69.9375,67.4375,4056300.0
2000-04-17,67.4375,67.375,70.0,70.0,3876700.0
2000-04-18,69.8125,69.5,74.0,73.25,6465300.0
2000-04-19,74.1875,73.25,76.25,75.625,6148700.0
2000-04-20,76.4375,75.0,76.875,75.75,4305000.0
2000-04-24,75.75,75.75,78.5,77.5,4803800.0
2000-04-25,77.0625,76.1875,77.3125,77.0,3801900.0
2000-04-26,76.5,75.5,78.125,77.8125,4066100.0
2000-04-27,77.0,76.1875,78.0,77.9375,2522200.0
2000-04-28,77.125,76.0,77.6875,77.125,2653700.0
2000-05-01,78.0,77.0,79.4375,77.375,3418600.0
2000-05-02,76.9375,76.875,78.6875,78.0,2582900.0
2000-05-03,78.0,77.3125,79.0625,79.0,2586400.0
2000-05-04,79.0,77.6875,79.625,79.25,2963800.0
2000-05-05,77.5,77.5,79.9375,79.75,3169400.0
2000-05-08,79.9375,78.75,80.5,80.5,2496200.0
2000-05-09,80.25,79.0,80.3125,79.625,2654900.0
2000-05-10,77.875,76.0,78.6875,77.25,4571900.0
2000-05-11,75.25,74.25,75.9375,74.875,2621800.0
2000-05-12,74.25,73.0,76.125,75.4375,3131000.0
2000-05-15,75.375,75.25,76.9375,76.4375,3444700.0
2000-05-16,75.5,74.75,76.5,74.9375,3343900.0
2000-05-17,74.625,72.875,74.75,73.875,4043400.0
2000-05-18,73.875,73.625,74.8125,73.75,2635300.0
2000-05-19,73.9375,73.6875,76.0625,75.9375,2775700.0
2000-05-22,76.25,73.6875,77.0,75.1875,2518800.0
2000-05-23,74.625,73.875,76.1875,75.5625,1867300.0
2000-05-24,75.5625,75.4375,77.625,77.125,2274900.0
2000-05-25,78.5,77.25,79.625,78.625,3401300.0
2000-05-26,77.75,77.75,79.375,78.8125,1715500.0
2000-05-30,77.875,75.4375,78.0,76.5,2042300.0
2000-05-31,76.0,75.0,77.4375,76.125,2219200.0
2000-06-01,77.0,76.25,77.75,77.0625,2992100.0
2000-06-02,76.9375,72.3125,76.9375,73.125,4229700.0
2000-06-05,71.625,71.25,73.0,72.4375,3257100.0
2000-06-06,71.25,71.25,74.375,74.125,2245600.0
2000-06-07,74.375,74.0,75.875,74.875,2493600.0
2000-06-08,74.625,73.375,75.5625,74.9375,1811000.0
2000-06-09,73.875,73.875,76.5,76.1875,2704400.0
2000-06-12,77.0,76.75,79.0,78.25,8891900.0
2000-06-13,78.125,78.0625,80.9375,80.75,4020600.0
2000-06-14,81.125,80.9375,82.9375,82.8125,4995200.0
2000-06-15,82.8125,81.6875,83.4375,83.0,3666700.0
2000-06-16,83.0,82.375,85.25,84.9375,6617700.0
2000-06-19,84.125,84.125,86.8125,86.375,3680300.0
2000-06-20,86.25,85.4375,87.125,86.578125,4375200.0
2000-06-21,86.625,86.25,89.4375,86.75,5560400.0
2000-06-22,86.25,83.875,86.3125,84.5,3317600.0
2000-06-23,84.5,84.3125,85.3125,85.3125,1671900.0
2000-06-26,85.3125,84.875,87.6875,86.5625,3165200.0
2000-06-27,86.125,83.875,86.25,84.75,3858000.0
2000-06-28,86.5,85.375,87.625,87.203125,4775700.0
2000-06-29,102.0,98.9375,109.0,101.625,24396500.0
2000-06-30,99.25,97.5,100.75,99.875,8779800.0
2000-07-03,97.9375,97.5,99.3125,98.75,2013600.0
2000-07-05,98.875,98.5625,105.0,104.5,5913800.0
2000-07-06,102.875,100.1875,103.8125,101.625,4015300.0
2000-07-07,99.6875,98.875,102.75,101.0,2389400.0
2000-07-10,100.9375,100.875,104.375,104.0,2024300.0
2000-07-11,103.0,102.375,103.125,103.0,2769800.0
2000-07-12,102.0,99.3125,102.375,99.75,2779200.0
2000-07-13,99.0,94.9375,99.0625,95.75,3980900.0
2000-07-14,93.375,91.5625,95.125,94.5,4906200.0
2000-07-17,95.5,94.5,99.8125,98.46875,3000800.0
2000-07-18,98.375,97.1875,101.1875,100.5,3808000.0
2000-07-19,100.25,98.625,100.875,98.75,2584900.0
2000-07-20,97.75,94.1875,98.4375,96.5,4964500.0
2000-07-21,96.0,95.3125,99.5625,97.875,3230400.0
2000-07-24,98.8125,98.8125,102.125,101.140625,3774100.0
2000-07-25,98.75,98.75,101.375,101.0,3037200.0
2000-07-26,99.25,98.0,100.9375,98.90625,3080800.0
2000-07-27,99.75,99.3125,100.375,99.421875,1772600.0
2000-07-28,99.5,99.5,104.0,102.25,3311300.0
2000-07-31,102.5,100.0625,104.875,103.875,2767500.0
2000-08-01,104.125,103.6875,107.1875,106.875,2590400.0
