Open,Low,High,Close,Volume
2000-03-28,13.203125,13.203125,13.609375,13.375,4895200.0
2000-03-29,13.34375,13.265625,13.78125,13.765625,8736400.0
2000-03-30,13.71875,13.65625,14.515625,14.5,10424000.0
2000-03-31,14.96875,14.328125,14.96875,14.59375,8662400.0
2000-04-03,14.609375,14.609375,15.15625,15.125,9733200.0
2000-04-04,14.90625,14.109375,15.015625,14.921875,10627200.000000002
2000-04-05,14.75,14.390625,14.921875,14.90625,6770000.0
2000-04-06,14.75,14.4375,15.078125,15.015625,5821200.0
2000-04-07,15.03125,14.671875,15.21875,15.15625,6984800.0
2000-04-10,15.125,15.0,15.4375,15.359375,6142000.0
2000-04-11,15.015625,14.8125,15.25,15.21875,5466800.0
2000-04-12,15.53125,15.515625,16.8125,15.875,18190000.0
2000-04-13,15.875,14.625,15.90625,14.875,14047200.0
2000-04-14,14.625,13.765625,14.625,14.183594,8528800.0
2000-04-17,13.75,13.125,13.75,13.609375,8522800.0
2000-04-18,13.359375,13.140625,13.921875,13.757813,8235600.0
2000-04-19,13.71875,13.46875,13.9375,13.703125,4142800.0
2000-04-20,13.640625,13.5625,13.84375,13.828125,4858400.0
2000-04-24,14.0,13.875,14.625,14.125,5954400.0
2000-04-25,13.875,13.53125,13.875,13.6875,10697600.0
2000-04-26,13.65625,13.5625,13.9375,13.609375,14176800.0
2000-04-27,13.375,13.109375,13.421875,13.359375,10800399.999999998
2000-04-28,13.1875,12.375,13.21875,12.375,13520800.0
2000-05-01,12.5,12.28125,13.09375,13.0,9855200.0
2000-05-02,13.0625,12.546875,13.171875,12.71875,6044800.0
2000-05-03,12.3125,11.703125,12.34375,12.0,11457600.000000002
2000-05-04,12.125,11.75,12.15625,11.84375,8130400.0
2000-05-05,11.765625,11.765625,12.015625,11.953125,5519600.0
2000-05-08,11.859375,11.765625,12.375,12.265625,5563600.0
2000-05-09,12.375,12.203125,12.625,12.3125,7609200.0
2000-05-10,12.328125,12.0625,12.484375,12.125,5355600.0
2000-05-11,12.234375,12.03125,12.234375,12.171875,4499200.0
2000-05-12,12.234375,11.875,12.25,11.992188,6781200.0
2000-05-15,12.28125,12.21875,12.703125,12.671875,9730000.0
2000-05-16,12.65625,12.25,12.859375,12.4375,8456000.0
2000-05-17,12.375,11.765625,12.4375,12.0625,6486000.0
2000-05-18,11.984375,11.984375,12.4375,12.25,6997600.0
2000-05-19,12.0625,11.953125,12.265625,12.03125,7466000.0
2000-05-22,12.125,11.78125,12.21875,12.21875,6952000.0
2000-05-23,12.234375,12.0,12.40625,12.078125,5608400.0
2000-05-24,12.109375,10.984375,12.109375,11.453125,10976000.0
2000-05-25,11.53125,11.515625,11.859375,11.6875,8742800.0
2000-05-26,11.75,11.328125,11.78125,11.4375,4925600.0
2000-05-30,11.53125,11.375,11.859375,11.75,4060800.0
2000-05-31,11.6875,11.640625,11.875,11.640625,4545200.0
2000-06-01,11.671875,11.625,11.984375,11.984375,5253600.0
2000-06-02,12.5625,12.53125,12.84375,12.6875,9062400.0
2000-06-05,12.71875,12.1875,12.71875,12.4375,5963200.0
2000-06-06,12.125,11.671875,12.1875,11.78125,7004800.0
