Open,Low,High,Close,Volume
2000-03-28,34.0,34.0,35.375,35.125,2963500.0
2000-03-29,34.875,34.8125,37.0625,36.8125,5292800.0
2000-03-30,36.8125,36.8125,38.25,37.625,4939100.0
2000-03-31,37.875,36.8125,37.9375,37.375,3738300.0
2000-04-03,37.8125,37.5625,38.625,38.5,4459400.0
2000-04-04,38.6875,37.6875,39.3125,38.53125,5145500.0
2000-04-05,38.0,37.25,38.625,38.5625,4143600.0
2000-04-06,37.75,36.875,38.0625,37.0,4124100.0
2000-04-07,36.375,36.125,37.3125,37.0,3155400.0
2000-04-10,36.875,35.875,36.9375,36.375,3234600.0
2000-04-11,36.125,35.875,37.75,37.6875,3354100.0
2000-04-12,37.25,36.3125,38.1875,36.3125,4548200.0
2000-04-13,36.0,34.125,36.0,34.125,7400300.0
2000-04-14,33.5625,33.0,34.8125,33.5625,5744700.0
2000-04-17,33.5,33.0625,34.125,33.6875,4728900.0
2000-04-18,33.75,31.9375,33.8125,32.5,5440000.0
2000-04-19,32.9375,32.5,33.1875,33.0625,3473000.0
2000-04-20,34.0,33.75,36.0,35.8125,7009700.0
2000-04-24,35.25,35.125,39.0,39.0,9601600.0
2000-04-25,38.9375,38.1875,39.4375,38.75,3975100.0
2000-04-26,38.375,38.375,39.375,38.875,3479300.0
2000-04-27,38.125,38.0625,39.125,38.8125,2904600.0
2000-04-28,38.5625,37.5625,38.75,38.0625,2936500.0
2000-05-01,38.0,38.0,39.3125,38.875,3089100.0
2000-05-02,38.375,38.3125,39.625,39.1875,3129800.0
2000-05-03,38.25,37.0625,38.6875,37.3125,5243800.0
2000-05-04,36.625,35.5625,36.6875,35.75,6515400.0
2000-05-05,35.5,35.0,36.1875,35.6875,4968100.0
2000-05-08,35.75,35.1875,36.125,35.8125,3115600.0
2000-05-09,36.25,36.1875,37.1875,37.0,3165700.0
2000-05-10,37.1875,37.125,38.8125,38.625,5995500.0
2000-05-11,38.5,38.125,38.8125,38.1875,3185200.0
2000-05-12,38.25,37.25,38.25,37.5625,2410500.0
2000-05-15,37.4375,37.375,38.5625,38.1875,2840100.0
2000-05-16,38.8125,38.4375,39.25,39.1875,2753400.0
2000-05-17,38.6875,38.3125,39.3125,39.0625,2017900.0
2000-05-18,38.8125,38.5625,39.0625,38.625,1933700.0
2000-05-19,37.8125,37.625,38.75,37.8125,2985300.0
2000-05-22,37.875,37.8125,39.125,38.875,3145000.0
2000-05-23,38.375,37.75,39.25,39.125,2757100.0
2000-05-24,39.125,38.125,39.9375,38.75,5108400.0
2000-05-25,38.0,37.125,38.5625,37.3125,3453100.0
2000-05-26,37.25,37.1875,37.9375,37.75,3130700.0
2000-05-30,37.0,35.9375,37.0625,36.5625,4210200.0
2000-05-31,36.0,35.3125,36.5625,35.8125,3880700.0
2000-06-01,35.5625,35.25,35.8125,35.625,2979100.0
2000-06-02,36.125,35.1875,36.3125,36.125,3701800.0
2000-06-05,36.0,35.25,36.0,35.5,1957900.0
2000-06-06,35.125,34.875,35.625,35.125,3577600.0
2000-06-07,35.125,34.3125,35.3125,34.875,2518000.0
2000-06-08,34.5,34.5,35.75,35.4375,3312300.0
2000-06-09,35.5,31.625,36.0,33.875,15301499.999999998
2000-06-12,33.25,32.0,33.3125,32.625,8145700.0
2000-06-13,32.25,32.0625,33.1875,32.375,6046900.0
2000-06-14,32.0,31.625,33.0,31.75,5941800.0
2000-06-15,31.75,31.625,32.3125,32.125,6280100.0
2000-06-16,32.5,31.3125,32.5625,31.3125,6858000.0
2000-06-19,31.875,31.0625,32.0625,31.5,4510500.0
2000-06-20,31.6875,31.0,31.75,31.5,3930200.0
2000-06-21,31.25,31.0625,31.75,31.3125,4396800.0
2000-06-22,31.25,31.125,31.5625,31.4375,3928900.0
2000-06-23,31.6875,31.5,33.1875,32.625,7978700.0
