Open,Low,High,Close,Volume
2001-06-13,31.5,31.09,32.0,31.25,69567200.0
2001-06-14,31.0,29.5,31.0,30.15,31979800.0
2001-06-15,30.0,29.950001,30.75,30.6,14369300.0
2001-06-18,30.059999,30.059999,30.6,30.32,4019800.0
2001-06-19,30.6,30.209999,30.709999,30.4,5690300.0
2001-06-20,30.4,30.18,30.59,30.299999,3791600.0
2001-06-21,30.35,30.0,30.35,30.0,6027200.0
2001-06-22,30.0,29.76,30.02,30.0,4847700.0
2001-06-25,30.0,29.85,30.15,30.15,2420300.0
2001-06-26,30.0,29.809999,30.08,30.040001,3333300.0
2001-06-27,29.950001,29.809999,30.0,29.940001,3182300.0
2001-06-28,29.98,29.969999,30.440001,30.41,2778100.0
2001-06-29,30.5,30.33,31.0,31.0,5777800.0
2001-07-02,30.700001,30.42,30.700001,30.469999,3167600.0
2001-07-03,30.459999,30.42,30.639999,30.559999,608700.0
2001-07-05,30.75,30.629999,31.030001,30.93,2085500.0
2001-07-06,30.98,30.5,30.98,30.65,945300.0
2001-07-09,30.6,30.25,30.74,30.379999,2295300.0
2001-07-10,30.450001,30.280001,30.85,30.35,3301300.0
2001-07-11,30.360001,30.0,30.360001,30.299999,2023000.0
2001-07-12,30.65,30.200001,30.9,30.9,1912500.0
2001-07-13,30.9,30.459999,30.98,30.73,995400.0
2001-07-16,30.73,30.65,31.01,30.709999,1198100.0
2001-07-17,30.889999,30.85,31.450001,31.450001,3792700.0
2001-07-18,31.450001,30.799999,31.5,31.49,5645100.0
2001-07-19,31.74,30.190001,31.74,31.32,3326000.0
2001-07-20,31.25,31.01,31.34,31.200001,1390900.0
2001-07-23,31.1,30.92,31.190001,31.0,1756000.0
2001-07-24,31.18,30.9,31.190001,31.07,1146500.0
2001-07-25,31.0,30.51,31.0,30.700001,860600.0
2001-07-26,30.950001,30.620001,31.190001,31.120001,1901900.0
2001-07-27,31.200001,30.809999,31.200001,30.91,1541800.0
2001-07-30,31.09,30.5,31.1,30.6,1233900.0
2001-07-31,30.5,30.5,31.16,30.950001,2020200.0
2001-08-01,30.9,30.58,31.01,30.780001,2302200.0
2001-08-02,30.700001,30.65,31.17,30.950001,2700000.0
2001-08-03,30.860001,30.5,30.98,30.700001,456800.0
2001-08-06,30.709999,30.25,30.84,30.35,847600.0
2001-08-07,30.450001,30.280001,30.540001,30.5,991400.0
2001-08-08,30.700001,30.0,30.700001,30.01,1517200.0
2001-08-09,30.049999,30.0,30.370001,30.370001,752900.0
2001-08-10,30.25,30.15,31.120001,30.799999,1119700.0
2001-08-13,30.959999,30.92,31.190001,31.1,1749200.0
2001-08-14,31.200001,31.0,31.25,31.1,1365300.0
2001-08-15,31.1,30.969999,31.200001,30.98,2106500.0
2001-08-16,30.98,30.950001,31.27,31.15,1351200.0
2001-08-17,31.15,30.91,31.35,31.35,1164200.0
2001-08-20,31.389999,31.27,31.76,31.719999,2020900.0
2001-08-21,31.950001,31.75,32.099998,32.080002,2699600.0
2001-08-22,32.799999,32.419998,33.009998,32.900002,3184700.0
2001-08-23,32.889999,32.57,32.939999,32.889999,2358900.0
2001-08-24,32.889999,32.349998,32.889999,32.349998,1173700.0
2001-08-27,32.0,32.0,32.470001,32.299999,866500.0
2001-08-28,32.5,31.75,32.580002,31.9,965300.0
2001-08-29,31.9,31.58,32.290001,32.290001,1504200.0
2001-08-30,32.09,32.049999,32.650002,32.650002,1569700.0
2001-08-31,32.650002,32.189999,32.98,32.25,1536500.0
2001-09-04,32.700001,32.200001,33.290001,33.049999,1841800.0
2001-09-05,33.0,32.869999,33.349998,33.349998,1770400.0
2001-09-06,33.400002,33.349998,34.799999,34.0,3816000.0
2001-09-07,33.5,33.439999,34.200001,34.0,2900700.0
2001-09-10,33.75,33.290001,33.880001,33.75,1463500.0
2001-09-17,33.150002,32.77,34.27,32.900002,3904000.0
2001-09-18,32.950001,32.900002,33.380001,32.900002,4516300.0
