Open,Low,High,Close,Volume
2000-03-28,56.0,55.0625,57.875,55.8125,4724700.0
2000-03-29,56.375,54.75,57.125,55.4375,4548100.0
2000-03-30,54.5,49.75,54.625,51.0,7870600.0
2000-03-31,51.75,50.875,53.125,51.4375,4488300.0
2000-04-03,53.0,52.875,55.75,55.125,3844500.0
2000-04-04,55.375,52.25,56.75,55.875,6795500.0
2000-04-05,55.0,54.5,56.625,55.875,4359400.0
2000-04-06,55.75,55.5,57.1875,55.9375,2629200.0
2000-04-07,56.5,55.8125,57.375,56.0625,2438000.0
2000-04-10,56.25,55.9375,57.6875,57.6875,2500800.0
2000-04-11,57.0,55.5625,57.0625,55.75,2408100.0
2000-04-12,55.9375,53.9375,56.3125,54.0625,2716700.0
2000-04-13,54.0,50.5,54.4375,51.125,5164500.0
2000-04-14,50.0,47.75,50.625,48.5625,4857000.0
2000-04-17,47.75,45.25,48.4375,48.25,6556200.0
2000-04-18,48.9375,48.8125,52.875,52.3125,3817300.0
2000-04-19,52.25,51.1875,52.75,52.5,2380100.0
2000-04-20,52.0625,51.375,52.625,52.4375,1713900.0
2000-04-24,52.4375,52.0,54.25,53.875,2058400.0
2000-04-25,53.875,52.6875,53.875,53.0,2588200.0
2000-04-26,53.0,52.375,53.75,53.0,1983000.0
2000-04-27,53.0,53.0,55.0,54.875,2852300.0
2000-04-28,54.5,51.75,54.6875,51.9375,3701400.0
2000-05-01,53.0,50.125,53.375,52.25,2814600.0
2000-05-02,52.25,51.375,54.75,54.125,2654400.0
2000-05-03,54.125,53.25,54.9375,53.9375,2425400.0
2000-05-04,55.0,54.0,55.1875,54.5,2438900.0
2000-05-05,53.75,53.6875,56.1875,55.9375,1898600.0
2000-05-08,55.0,54.5,56.0625,55.875,1885500.0
2000-05-09,56.0,54.0,56.8125,54.375,2307500.0
2000-05-10,54.4375,54.0,55.0,54.5625,1946400.0
2000-05-11,55.5,54.5625,55.75,55.3125,1911900.0
2000-05-12,55.0,53.5,55.0625,53.90625,1544500.0
2000-05-15,54.0,54.0,56.5,56.125,2483200.0
2000-05-16,56.875,55.75,57.25,57.0,2118300.0
2000-05-17,56.5,55.8125,56.875,56.625,1853200.0
2000-05-18,56.875,54.75,56.875,55.3125,2900800.0
2000-05-19,54.625,52.6875,54.75,52.875,3977600.0
2000-05-22,52.0,49.125,52.0625,50.3125,3925800.0
2000-05-23,49.5,46.0625,49.5,47.875,6881200.0
2000-05-24,48.5,46.9375,50.25,49.3125,6183000.0
2000-05-25,49.875,49.625,51.875,50.0625,5287100.0
2000-05-26,51.0,48.5,51.0625,49.375,1852700.0
2000-05-30,49.625,49.5625,51.875,51.5625,2891900.0
2000-05-31,51.875,51.5,52.875,51.625,3231600.0
2000-06-01,51.625,50.1875,51.625,50.5,2753400.0
2000-06-02,51.0,48.5625,51.1875,49.125,4364700.0
2000-06-05,49.125,48.9375,50.8125,49.75,3075800.0
2000-06-06,50.0,49.25,51.0,50.3125,2884500.0
2000-06-07,49.8125,48.125,49.875,48.375,4156200.0
2000-06-08,47.625,46.625,48.0,47.25,5832500.0
2000-06-09,47.5,47.5,49.25,48.5,2059600.0
2000-06-12,48.25,47.0,48.5,48.28125,3449800.0
2000-06-13,48.3125,48.0625,49.4375,49.15625,1926900.0
2000-06-14,49.5,49.375,50.8125,50.40625,2450300.0
2000-06-15,50.5,49.625,51.75,50.5625,2805100.0
2000-06-16,50.375,49.125,50.5,49.9375,3137200.0
2000-06-19,49.25,48.0625,51.0,50.71875,2346700.0
2000-06-20,50.75,50.25,51.125,50.65625,2947400.0
2000-06-21,50.875,49.75,51.0,50.40625,2482800.0
2000-06-22,50.0,47.875,50.0625,48.0,3596100.0
2000-06-23,48.0,47.25,48.5,47.5625,2615100.0
2000-06-26,47.5625,47.125,48.3125,47.8125,3115900.0
2000-06-27,48.25,47.0,48.4375,47.0,2928600.0
2000-06-28,46.875,46.0,47.9375,47.546875,2719000.0
2000-06-29,47.375,46.0,48.25,47.9375,4387000.0
2000-06-30,48.125,46.8125,50.875,49.8125,4473400.0
2000-07-03,49.8125,47.5625,49.8125,48.8125,1538600.0
2000-07-05,49.0,47.6875,49.0,48.0,2704300.0
2000-07-06,47.875,47.5,49.375,48.75,2352100.0
2000-07-07,49.0,48.875,50.3125,50.0625,3311100.0
2000-07-10,49.75,49.75,50.6875,50.5,2819100.0
2000-07-11,50.625,50.0,51.25,51.25,2295400.0
2000-07-12,52.0,49.5625,52.0,50.1875,2426200.0
2000-07-13,50.1875,50.0625,51.625,50.75,3739500.0
2000-07-14,50.75,49.5625,51.25,50.25,2031800.0
2000-07-17,49.75,49.625,51.3125,50.875,1959000.0
2000-07-18,50.8125,50.0,52.3125,52.0625,1959500.0
2000-07-19,51.875,49.5625,51.9375,50.5,2226700.0
2000-07-20,50.9375,50.875,51.875,51.4375,1739000.0
2000-07-21,51.5,50.3125,51.75,50.5,1769600.0
2000-07-24,50.25,50.25,52.4375,52.3125,1622100.0
2000-07-25,52.5,52.125,53.0,52.5625,2312400.0
2000-07-26,52.125,51.1875,52.5,51.75,2296500.0
2000-07-27,52.25,51.90625,54.625,54.0,2254000.0
2000-07-28,54.625,51.5625,55.0,52.0,2741400.0
2000-07-31,52.625,51.0625,53.25,51.0625,2054600.0
2000-08-01,52.5,52.125,54.9375,54.6875,2819900.0
2000-08-02,54.5625,54.125,55.3125,54.5625,2097000.0
2000-08-03,54.25,54.0,55.4375,55.0,2116200.0
2000-08-04,54.9375,54.125,56.1875,55.75,1848300.0
2000-08-07,56.0,55.5,56.1875,55.875,1913100.0
2000-08-08,56.125,54.3125,56.1875,55.4375,2433600.0
2000-08-09,55.1875,54.8125,57.125,56.25,3238900.0
2000-08-10,56.4375,56.0,56.875,56.25,2212200.0
2000-08-11,56.25,54.375,56.5625,55.0,2269800.0
2000-08-14,54.75,53.5,54.8125,54.3125,2072800.0
2000-08-15,53.75,53.375,54.1875,53.75,2478300.0
2000-08-16,54.0,54.0,55.875,54.5,1610500.0
2000-08-17,54.875,51.5,56.625,52.5,6918000.0
2000-08-18,52.0,50.0,52.125,50.8125,5189200.0
2000-08-21,51.25,49.0,53.1875,51.0,2981700.0
2000-08-22,49.75,48.5,50.125,49.6875,9371800.0
2000-08-23,49.5625,49.5,51.3125,50.875,3542600.0
2000-08-24,50.9375,50.5,51.625,50.9375,3103100.0
2000-08-25,51.0,50.9375,52.0,51.6875,1910800.0
2000-08-28,52.25,51.8125,52.5,51.875,2007300.0
2000-08-29,51.9375,51.1875,52.9375,52.125,2297100.0
2000-08-30,52.1875,52.1875,53.25,53.125,2015500.0
2000-08-31,52.9375,51.125,53.0,51.265625,2718900.0
2000-09-01,51.4375,50.625,52.375,51.9375,2047300.0
2000-09-05,51.9375,50.0625,51.9375,51.125,1861700.0
2000-09-06,51.875,51.0,52.3125,51.25,3319400.0
2000-09-07,51.5,51.25,52.0,51.6875,1853900.0
2000-09-08,51.625,50.25,51.75,51.6875,4680700.0
2000-09-11,50.125,49.625,51.9375,51.5,3332200.0
2000-09-12,51.5,50.0625,51.9375,50.125,3154800.0
2000-09-13,49.875,49.25,50.0,49.625,2701600.0
2000-09-14,50.0,49.75,50.25,50.0,2742600.0
2000-09-15,49.9375,49.75,50.8125,49.9375,2902300.0
2000-09-18,49.0,48.75,49.3125,49.0625,2120600.0
2000-09-19,48.625,47.8125,48.6875,48.25,3237700.0
2000-09-20,47.5,46.9375,47.8125,47.5,2952400.0
2000-09-21,47.75,47.75,50.0,49.0,4216300.0
2000-09-22,48.5,48.5,49.875,49.625,3408900.0
2000-09-25,50.25,49.5625,50.6875,50.0,2419700.0
2000-09-26,50.1875,48.125,50.5,49.25,1968200.0
2000-09-27,49.1875,48.3125,49.5,49.0,3657000.0
2000-09-28,49.625,49.5625,50.8125,50.5,3875400.0
2000-09-29,50.25,50.1875,53.25,51.8125,3575000.0
2000-10-02,51.8125,50.8125,51.9375,51.4375,2330800.0
2000-10-03,52.0,51.75,54.0,52.875,2680500.0
2000-10-04,54.0,49.25,54.0,51.9375,4595400.0
2000-10-05,52.125,52.125,53.25,52.9375,2460600.0
2000-10-06,53.0,50.125,53.0625,52.5,4064300.0
2000-10-09,52.0,51.8125,52.9375,52.625,2354100.0
2000-10-10,52.75,52.125,53.4375,52.875,2205700.0
2000-10-11,52.5,51.125,53.125,51.9375,2750500.0
2000-10-12,52.0,52.0,54.0,53.25,4784000.0
2000-10-13,52.875,51.5625,52.9375,52.0,4429600.0
2000-10-16,52.0,51.75,53.0,52.0625,2428000.0
2000-10-17,52.5,52.375,53.75,53.25,2252300.0
2000-10-18,53.125,53.125,54.25,53.9375,2902000.0
2000-10-19,53.125,52.25,54.875,53.4375,3225500.0
2000-10-20,53.0,51.0,53.125,51.75,3146300.0
2000-10-23,51.5,50.5625,52.875,51.0,3044400.0
2000-10-24,51.5,50.625,52.625,51.0,3013600.0
2000-10-25,51.25,51.0,52.5,52.125,3858000.0
2000-10-26,52.0,50.9375,52.0625,51.625,4423600.0
2000-10-27,51.5,51.25,52.75,51.875,3223400.0
2000-10-30,52.5,51.25,53.9375,53.5625,4070100.0
2000-10-31,54.0,53.0625,54.6875,54.3125,2663500.0
2000-11-01,54.0,54.0,55.6875,55.0,4076100.0
2000-11-02,55.125,54.5625,55.5,55.375,2448200.0
2000-11-03,55.875,55.3125,56.4375,56.125,2585100.0
2000-11-06,56.125,55.875,57.25,57.0,2560300.0
2000-11-07,57.0,55.3125,57.0625,55.8125,1973700.0
2000-11-08,55.8125,55.5625,56.8125,56.25,1626100.0
2000-11-09,56.125,54.4375,56.5,56.0625,2544800.0
2000-11-10,56.3125,55.375,57.4375,55.5,1843700.0
2000-11-13,55.0625,53.75,55.375,54.6875,2355100.0
2000-11-14,53.5,53.25,55.375,55.1875,2170400.0
2000-11-15,55.0,54.3125,55.625,55.1875,2381400.0
2000-11-16,53.9375,50.25,54.1875,51.5,6534400.0
2000-11-17,50.25,46.4375,50.8125,48.0,12054000.0
2000-11-20,48.0,47.0,51.0,49.5625,5733900.0
2000-11-21,52.4375,49.3125,54.3125,51.125,10905200.0
2000-11-22,50.875,50.3125,53.0625,52.1875,4029900.0
2000-11-24,54.4375,52.3125,54.4375,52.875,1762600.0
2000-11-27,53.0,52.875,53.875,53.5625,2472400.0
2000-11-28,53.5625,53.5,54.25,54.0625,1785000.0
2000-11-29,54.0625,53.8125,54.375,54.25,2160500.0
2000-11-30,54.0,52.75,54.0625,53.25,3960200.0
2000-12-01,54.0,53.6875,54.25,53.9375,2932800.0
2000-12-04,53.9375,53.8125,56.375,55.5,3174800.0
