Open,Low,High,Close,Volume
2000-03-28,19.5,19.3125,19.75,19.5625,12453400.000000002
2000-03-29,19.5625,19.125,19.625,19.125,11687300.0
2000-03-30,20.0,19.734375,21.5625,21.5,27460700.0
2000-03-31,21.9375,20.75,22.0625,20.75,15234000.0
2000-04-03,21.75,21.5,23.0,22.8125,16940200.0
2000-04-04,23.0,21.1875,23.75,22.1875,17620000.0
2000-04-05,22.0625,22.0,22.5625,22.375,10017900.0
2000-04-06,22.8125,22.5,23.5625,22.9375,16373400.0
2000-04-07,23.25,21.9375,23.625,22.5,24520100.0
2000-04-10,22.0,21.0,22.25,22.0,14618200.000000002
2000-04-11,21.75,21.5,21.9375,21.75,7584900.0
2000-04-12,21.875,21.6875,22.625,21.875,9034400.0
2000-04-13,22.0,21.8125,22.5625,22.3125,7523800.0
2000-04-14,21.875,20.9375,22.5625,21.125,12374300.0
2000-04-17,21.0,20.375,21.3125,21.25,12204000.0
2000-04-18,21.1875,20.4375,21.375,20.6875,8273300.0
2000-04-19,21.125,20.5625,21.4375,20.8125,6850900.0
2000-04-20,20.8125,20.8125,21.5625,21.375,6405400.0
2000-04-24,21.25,21.125,22.0,21.5625,10140100.0
2000-04-25,21.1875,21.0625,22.3125,22.0,15395900.0
2000-04-26,22.0,21.8125,22.4375,22.3125,9686300.0
2000-04-27,22.0625,21.875,22.3125,22.0,12650800.0
2000-04-28,22.0,21.1875,22.0625,21.875,11423000.0
2000-05-01,22.0,22.0,23.625,23.5625,13061100.000000002
2000-05-02,23.5625,23.5,24.5625,23.8125,14630900.0
2000-05-03,23.9375,23.25,24.5625,23.25,12418300.0
2000-05-04,23.5,23.125,23.75,23.3125,6502600.0
2000-05-05,23.3125,23.0,23.875,23.5,8200000.0
2000-05-08,23.6875,23.5625,24.3125,24.1875,11874400.0
2000-05-09,24.3125,23.5,24.375,23.625,6749700.0
2000-05-10,23.6875,23.625,24.25,23.75,10495000.000000002
2000-05-11,24.0,22.8125,24.0625,23.5,14226500.0
2000-05-12,23.0,23.0,24.5,24.3125,9742000.0
2000-05-15,25.1875,25.1875,27.375,27.375,27539500.0
2000-05-16,27.1875,26.8125,27.875,27.4375,19342100.000000004
2000-05-17,27.125,27.125,28.1875,27.25,16411200.0
2000-05-18,27.0,26.25,27.5625,26.3125,10395000.0
2000-05-19,26.0,26.0,27.8125,27.5,11828300.0
2000-05-22,27.625,27.0,27.625,27.375,9816600.0
2000-05-23,27.125,27.125,27.6875,27.25,8747700.0
2000-05-24,27.25,27.25,28.625,28.5625,14062800.0
2000-05-25,28.75,27.75,28.75,28.0,10078400.0
2000-05-26,27.8125,27.375,28.0,27.4375,4619200.0
2000-05-30,27.3125,26.375,27.4375,26.4375,6861100.0
2000-05-31,26.4375,26.0,26.8125,26.125,8084000.0
2000-06-01,26.125,26.0,26.8125,26.4375,6200000.0
2000-06-02,26.4375,24.875,26.5,25.25,12477700.0
2000-06-05,25.0625,25.0625,25.8125,25.5,5787400.0
2000-06-06,25.5,25.125,25.8125,25.8125,6130800.0
2000-06-07,25.8125,25.8125,26.9375,26.75,6549700.0
2000-06-08,26.375,25.875,27.125,27.0,6339900.0
2000-06-09,26.9375,26.625,27.4375,27.0,4545200.0
2000-06-12,27.0625,26.6875,27.9375,27.75,6119300.0
2000-06-13,27.125,27.125,27.8125,27.375,6577700.0
2000-06-14,27.25,27.125,27.5625,27.4375,4319400.0
2000-06-15,27.125,27.125,27.625,27.5625,7506500.0
2000-06-16,26.8125,25.5,27.125,25.5,16252000.0
2000-06-19,26.0,25.625,26.1875,25.8125,8941400.0
2000-06-20,26.0625,25.0625,26.0625,25.125,5488500.0
2000-06-21,25.25,24.25,25.375,25.0,8566800.0
2000-06-22,24.75,23.25,25.0,23.9375,12642700.0
2000-06-23,23.875,23.0625,23.9375,23.4375,9698200.0
2000-06-26,26.0,25.5625,27.5,27.1875,20455199.999999996
2000-06-27,27.0,26.375,28.125,27.5,15830000.0
2000-06-28,27.5625,25.625,27.625,26.09375,9728900.0
2000-06-29,25.9375,25.9375,27.125,27.0625,10068299.999999998
2000-06-30,27.0,25.9375,27.0,26.5625,12456500.0
2000-07-03,26.8125,26.75,27.4375,27.1875,4378700.0
2000-07-05,27.4375,27.3125,28.0625,27.875,8108600.0
2000-07-06,27.6875,27.625,28.25,27.8125,6630800.0
2000-07-07,27.9375,26.625,27.9375,26.8125,6105700.0
2000-07-10,27.0,26.5625,27.0625,27.0,6040500.0
2000-07-11,27.0,25.75,27.0,25.9375,7147500.0
2000-07-12,25.9375,24.9375,26.4375,25.25,8862900.0
2000-07-13,25.1875,24.625,25.3125,24.875,7947700.0
2000-07-14,24.25,23.0,25.875,24.5,18210000.0
2000-07-17,24.4375,23.25,24.5625,23.625,14723500.0
2000-07-18,23.5625,23.5,24.625,24.0625,9314100.0
2000-07-19,25.25,24.5,25.8125,25.0,9603100.0
2000-07-20,25.25,24.9375,25.625,25.5,5972100.0
2000-07-21,25.25,25.09375,25.5,25.25,5775900.0
2000-07-24,25.375,24.75,25.375,24.8125,3983900.0
2000-07-25,25.0,24.9375,26.0625,26.0,5579700.0
2000-07-26,25.125,25.125,26.125,25.1875,7519400.0
2000-07-27,25.3125,25.3125,25.75,25.625,3889800.0
2000-07-28,25.4375,25.1875,25.6875,25.6875,5633800.0
2000-07-31,25.5625,25.1875,25.9375,25.25,5978900.0
2000-08-01,25.25,25.25,25.75,25.75,4545800.0
2000-08-02,25.5625,25.4375,26.0625,25.9375,5780600.0
2000-08-03,25.6875,25.5625,26.5,26.4375,6812400.0
2000-08-04,26.3125,25.75,26.8125,26.625,5021800.0
2000-08-07,26.625,26.5,28.125,28.0,9336200.0
2000-08-08,27.6875,27.625,28.625,28.5,9165400.0
2000-08-09,28.25,27.875,28.375,27.875,5414900.0
2000-08-10,28.0,27.8125,29.1875,28.5,9140100.0
2000-08-11,30.0,30.0,31.875,31.25,25322200.0
2000-08-14,31.25,30.875,32.25,31.875,13479000.000000002
2000-08-15,31.5,31.125,32.875,32.4375,10397400.000000002
2000-08-16,32.25,32.25,34.0,34.0,9824800.0
2000-08-17,33.0,32.8125,34.0,33.875,12042500.0
2000-08-18,33.125,32.0,33.5,32.0,8542300.0
2000-08-21,31.875,31.5,32.25,32.1875,6954800.0
2000-08-22,32.3125,31.5,32.4375,31.8125,4684100.0
2000-08-23,31.6875,31.0,32.25,31.0,4593500.0
2000-08-24,31.5,31.375,32.125,31.75,4244400.0
2000-08-25,31.5,31.5,32.1875,32.0625,2934900.0
2000-08-28,31.9375,31.75,32.375,31.875,3049100.0
2000-08-29,31.625,30.625,31.6875,30.875,4676800.0
2000-08-30,30.5625,29.5,30.875,30.5,7178200.0
2000-08-31,30.0,29.375,30.375,29.75,7200400.0
2000-09-01,29.9375,29.1875,29.9375,29.25,6290900.0
2000-09-05,29.4375,29.375,30.3125,29.6875,6276300.0
2000-09-06,30.0,29.625,30.0625,29.75,5241900.0
2000-09-07,29.75,29.6875,30.0625,29.75,5761600.0
2000-09-08,29.6875,29.25,29.9375,29.5,5904800.0
2000-09-11,29.3125,29.3125,29.8125,29.6875,4301000.0
2000-09-12,29.625,29.5,29.75,29.6875,5451300.0
2000-09-13,29.1875,27.75,29.5,28.125,9137000.0
2000-09-14,28.375,27.3125,28.5625,27.4375,7584000.0
2000-09-15,27.375,27.0,27.5625,27.1875,9632600.0
2000-09-18,27.0,26.625,27.1875,26.6875,7135400.0
2000-09-19,27.0,26.9375,27.3125,27.1875,7699100.0
2000-09-20,27.0625,26.0625,27.125,26.0625,7386200.0
2000-09-21,26.0625,26.0625,27.0,26.25,6539800.0
