Open,Low,High,Close,Volume
2000-03-28,4.523438,4.46875,4.601563,4.601563,9060800.0
2000-03-29,4.601563,4.601563,4.90625,4.875,17080800.0
2000-03-30,4.882813,4.710938,4.890625,4.835938,13088800.0
2000-03-31,4.84375,4.804688,5.0,4.953125,15036800.000000002
2000-04-03,5.125,5.0,5.125,5.0,14220800.0
2000-04-04,5.0,4.546875,5.015625,4.867188,12149600.0
2000-04-05,4.9375,4.859375,5.0625,4.898438,5654400.0
2000-04-06,4.914063,4.914063,5.21875,5.195313,11058400.0
2000-04-07,5.3125,5.226563,5.367188,5.367188,12285600.000000002
2000-04-10,5.351563,5.25,5.398438,5.375,6696800.0
2000-04-11,5.484375,5.484375,5.71875,5.640625,18799200.0
2000-04-12,5.632813,5.492188,5.664063,5.554688,9212800.0
2000-04-13,5.5625,5.46875,5.648438,5.492188,9680000.0
2000-04-14,5.3125,5.109375,5.40625,5.328125,17863200.0
2000-04-17,5.359375,5.109375,5.375,5.25,12481600.0
2000-04-18,5.226563,5.117188,5.4375,5.296875,11352000.0
2000-04-19,5.421875,5.375,5.734375,5.507813,9402400.0
2000-04-20,5.515625,5.46875,5.546875,5.492188,6341600.0
2000-04-24,5.507813,5.382813,5.671875,5.398438,7215200.0
2000-04-25,5.390625,5.359375,5.726563,5.703125,6885600.0
2000-04-26,5.65625,5.398438,5.65625,5.484375,4333600.0
2000-04-27,5.375,5.328125,5.445313,5.414063,3830400.0
2000-04-28,5.5625,5.390625,5.617188,5.429688,7720000.0
2000-05-01,5.429688,5.421875,5.890625,5.820313,8130400.0
2000-05-02,5.789063,5.578125,5.789063,5.65625,4469600.0
2000-05-03,5.40625,5.203125,5.460938,5.296875,8126400.0
2000-05-04,5.375,5.3125,5.5,5.34375,6128800.0
2000-05-05,5.34375,5.21875,5.414063,5.34375,4955200.0
2000-05-08,5.34375,5.328125,5.484375,5.382813,6868000.0
2000-05-09,5.351563,5.28125,5.429688,5.398438,6644000.0
