Open,Low,High,Close,Volume
2000-03-28,32.495255,32.495255,33.740513,33.266129,9288691.0
2000-03-29,33.444023,33.3106,34.867172,34.511387,14706146.0
2000-03-30,34.570683,34.214897,34.926472,34.629982,10455785.0
2000-03-31,34.689278,33.859108,34.985767,34.689278,9122475.0
2000-04-03,35.104362,34.867172,36.646111,36.053131,20075011.0
2000-04-04,36.705405999999996,36.053131,37.950665,37.71347,35368340.0
2000-04-05,36.527515,36.408916,37.17979,36.646111,10348594.0
2000-04-06,36.171726,35.815941,36.646111,36.408916,10042090.0
2000-04-07,36.527515,36.468216,37.416985,36.824005,9818537.0
2000-04-10,36.9426,36.764706,38.247154,37.77277,16211574.0
2000-04-11,37.71347,37.53558,38.425049,37.77277,13789270.999999998
2000-04-12,37.47628,37.23909,38.899429,38.306454,17862033.0
2000-04-13,38.128559,36.9426,38.306454,37.594875,13212944.0
2000-04-14,36.9426,34.985767,37.061195,35.993832,14472369.0
2000-04-17,35.341557,35.104362,36.883301,36.053131,14601378.0
2000-04-18,36.053131,36.053131,37.594875,37.53558,14987248.0
2000-04-19,37.654175,37.357685,40.322582,39.195919,21162950.0
2000-04-20,39.966793,38.662239,39.966793,39.373814,11451394.0
2000-04-24,39.373814,39.136623,41.982922,41.271347,15705022.0
2000-04-25,40.915562,40.026093,41.508537,41.212048,10930718.0
2000-04-26,40.559772,40.322582,41.271347,41.271347,10977094.0
2000-04-27,39.848198,39.848198,41.330647,40.559772,10821945.0
2000-04-28,40.559772,39.611008,40.678368,39.966793,9442575.0
2000-05-01,40.085388,39.195919,41.271347,39.670303,8701192.0
2000-05-02,39.848198,39.729603,41.034157,40.737667,11289499.0
2000-05-03,40.737667,40.085388,41.212048,40.500473,12143872.0
2000-05-04,40.322582,40.085388,41.093452,40.796963,6728631.0
2000-05-05,40.203983,39.907494,42.635201,42.338711,13274287.0
2000-05-08,42.694496,42.635201,43.99905,43.76186,19277133.0
2000-05-09,43.228176,42.101517,43.346775,42.338711,11734287.000000002
2000-05-10,41.805027,40.915562,42.872391,41.167576,10972245.0
2000-05-11,41.330647,40.144688,41.389942,40.515301,10377895.0
2000-05-12,40.203983,39.551708,41.152752,40.88591,8216035.0
2000-05-15,40.619068,40.500473,41.982922,41.745731,8647121.0
2000-05-16,42.160816,41.034157,42.575901,42.220116,13044936.0
2000-05-17,42.220116,41.923622,42.990986,42.694496,14851914.0
2000-05-18,42.813091,42.457306,43.228176,42.872391,7625479.0
2000-05-19,42.398006,41.567837,42.457306,41.923622,7669009.0
2000-05-22,42.160816,41.034157,42.872391,41.686431999999996,9559358.0
2000-05-23,41.567837,40.974857,42.220116,41.923622,7328673.0
2000-05-24,41.152752,41.152752,42.635201,41.982922,8767488.0
2000-05-25,42.279411,42.160816,43.406071,43.317123,10757862.0
2000-05-26,42.575901,42.398006,43.109585,42.813091,6293961.0
2000-05-30,41.805027,41.449242,42.160816,41.923622,8749465.0
2000-05-31,41.508537,41.449242,42.694496,42.220116,7391597.0
2000-06-01,43.346775,42.575901,43.76186,42.694496,10491305.0
2000-06-02,43.583965,41.034157,43.583965,41.330647,10964130.0
2000-06-05,41.567837,40.085388,41.686431999999996,40.559772,10231600.0
2000-06-06,40.796963,40.263283,41.567837,41.212048,9990655.0
2000-06-07,41.212048,41.034157,41.923622,41.271347,5864245.0
2000-06-08,41.508537,41.330647,42.160816,41.982922,6758986.0
2000-06-09,42.101517,41.864326,43.643265,43.643265,6991814.0
2000-06-12,42.753796,42.101517,43.406071,42.101517,5991990.0
2000-06-13,43.050285,42.753796,43.99905,43.495018,11890806.0
2000-06-14,43.583965,43.52467,44.53273,44.206593,11655027.0
2000-06-15,43.99905,43.76186,44.59203,44.59203,8795419.0
2000-06-16,44.05835,44.05835,45.659393,45.481499,15176650.999999998
2000-06-19,45.362904,44.354839,45.362904,44.354839,8754102.0
2000-06-20,44.236244,42.93169,44.473434,43.880455,11612761.0
2000-06-21,44.59203,43.99905,44.769924,44.473434,17290131.999999996
2000-06-22,44.414139,42.220116,44.414139,43.406071,17932440.0
2000-06-23,43.643265,42.93169,44.117645,43.52467,15039842.000000002
2000-06-26,43.643265,43.16888,43.99905,43.880455,16788217.0
2000-06-27,44.117645,43.583965,44.695801,44.59203,12328111.0
2000-06-28,44.236244,43.880455,44.53273,44.102821,13451675.0
2000-06-29,44.29554,43.287476,44.29554,43.865631,17503040.0
2000-06-30,43.406071,43.406071,45.644569,45.540798,17022416.0
2000-07-03,45.362904,44.651329,45.362904,45.244308,6093069.0
2000-07-05,45.540798,44.59203,45.540798,45.007114,11874680.0
2000-07-06,45.185009,43.821156,45.185009,44.176945,10384324.0
