Open,Low,High,Close,Volume
2000-03-28,27.59375,27.59375,28.5625,28.5,12057600.0
2000-03-29,28.59375,28.5625,29.375,29.34375,15731600.000000002
2000-03-30,29.46875,29.0,30.0625,29.0,16008000.0
2000-03-31,29.75,28.125,29.75,28.375,12033600.0
2000-04-03,28.375,28.375,30.0,29.75,10071400.0
2000-04-04,30.4375,30.0,32.0,31.75,27514000.000000004
2000-04-05,31.34375,30.78125,31.8125,30.78125,13620000.000000002
2000-04-06,31.0,30.5,31.46875,31.375,7827000.0
2000-04-07,31.6875,31.25,31.875,31.71875,7794800.0
2000-04-10,31.96875,31.875,33.0,33.0,11747000.0
2000-04-11,32.8125,31.875,33.40625,33.21875,10197600.0
2000-04-12,33.96875,33.8125,36.375,34.65625,20645800.0
2000-04-13,34.75,33.59375,34.9375,34.75,11353400.0
2000-04-14,34.0,31.0,34.125,31.5,17381800.0
2000-04-17,31.4375,31.375,34.5625,34.5,15054000.0
2000-04-18,34.28125,32.6875,34.28125,33.03125,14387600.0
2000-04-19,33.15625,32.78125,33.875,33.03125,7923200.0
2000-04-20,33.0625,33.0625,34.5,34.46875,8139200.0
2000-04-24,34.46875,34.25,35.5,35.25,8723200.0
2000-04-25,35.25,31.71875,35.25,32.125,20658400.0
2000-04-26,31.625,29.9375,31.6875,30.375,24605400.0
2000-04-27,30.0,29.625,31.125,30.4375,15192999.999999998
2000-04-28,30.46875,29.5625,30.46875,29.875,10627400.0
2000-05-01,29.90625,29.375,30.21875,29.851563,7527600.0
2000-05-02,29.71875,29.5,30.03125,29.90625,5692200.0
2000-05-03,30.3125,30.15625,30.8125,30.3125,7259400.0
2000-05-04,30.28125,30.0,30.84375,30.21875,6600800.0
2000-05-05,30.125,29.90625,30.4375,30.4375,4403000.0
2000-05-08,30.0625,30.03125,30.6875,30.59375,5588600.0
2000-05-09,30.625,30.625,31.53125,31.375,8452800.0
2000-05-10,31.65625,31.46875,32.40625,32.09375,8208000.0
2000-05-11,32.1875,31.625,32.59375,32.5,6666800.0
2000-05-12,32.5,31.8125,32.78125,32.0625,4255800.0
2000-05-15,31.9375,31.65625,32.625,32.4375,4648000.0
2000-05-16,32.4375,31.9375,32.65625,32.25,6308800.0
2000-05-17,32.25,31.875,32.5,32.5,6044400.0
2000-05-18,32.375,32.25,32.65625,32.375,5166400.0
2000-05-19,32.125,32.03125,32.59375,32.53125,5963800.0
2000-05-22,32.59375,32.15625,32.6875,32.4375,6186200.0
2000-05-23,32.1875,31.875,32.59375,32.1875,5295400.0
2000-05-24,32.28125,32.1875,33.125,32.9375,8813600.0
2000-05-25,32.8125,32.375,33.0,32.96875,6617400.0
2000-05-26,32.875,32.8125,33.21875,33.125,4463400.0
2000-05-30,33.15625,32.875,33.1875,33.0625,4370000.0
2000-05-31,33.0,32.78125,33.4375,33.25,4208800.0
2000-06-01,33.0625,32.6875,33.1875,32.8125,7701000.0
2000-06-02,32.6875,31.75,32.6875,32.0,10462600.0
2000-06-05,32.0,31.25,32.0,31.65625,7586600.0
2000-06-06,31.4375,31.3125,31.84375,31.625,4348200.0
2000-06-07,31.4375,30.9375,31.9375,30.9375,6278000.0
2000-06-08,29.3125,27.9375,30.0,28.75,45193400.0
2000-06-09,28.40625,27.90625,28.75,28.5,17979000.0
2000-06-12,28.5,28.03125,28.59375,28.1875,9321800.0
2000-06-13,27.90625,27.90625,28.5,28.5,9267200.0
2000-06-14,28.375,28.03125,28.5625,28.5,8078800.0
2000-06-15,28.59375,28.21875,28.75,28.375,11457600.000000002
2000-06-16,28.5,27.75,28.59375,27.75,11573400.0
2000-06-19,28.09375,27.53125,28.25,28.046875,6712600.0
2000-06-20,27.9375,27.46875,28.0,27.625,8000000.0
