Open,Low,High,Close,Volume
2000-03-28,43.375,43.25,44.875,44.3125,802600.0
2000-03-29,44.5625,43.875,44.5625,44.125,739300.0
2000-03-30,45.5,43.5,45.5,44.125,900000.0
2000-03-31,45.0,43.8125,46.375,45.0625,856200.0
2000-04-03,45.5625,45.5625,47.5,47.375,1020400.0
2000-04-04,47.375,45.25,47.9375,45.875,1066700.0
2000-04-05,46.0,45.3125,46.4375,45.4375,883200.0
2000-04-06,45.5,45.1875,46.0,45.625,745200.0
2000-04-07,45.625,44.125,46.0,44.3125,746000.0
2000-04-10,44.1875,44.0625,45.8125,45.5,649800.0
2000-04-11,45.5,45.375,46.875,46.75,784200.0
2000-04-12,46.0,46.0,48.75,47.3125,1628600.0
2000-04-13,47.5625,46.6875,47.5625,46.875,638100.0
2000-04-14,45.5,44.625,46.0,44.75,1537100.0
2000-04-17,44.6875,43.5,45.25,44.5,905900.0
2000-04-18,43.5,43.25,45.375,45.1875,831500.0
2000-04-19,45.0,43.5,45.0,43.75,625400.0
2000-04-20,44.25,43.625,44.8125,44.0625,504600.0
2000-04-24,44.875,44.625,46.0,45.75,993500.0
2000-04-25,46.25,45.75,48.0,47.5,778600.0
2000-04-26,47.5,45.75,47.5,46.4375,817000.0
2000-04-27,45.0625,43.3125,45.375,44.875,965200.0
2000-04-28,44.5,42.0,44.75,43.625,1174600.0
2000-05-01,43.0,42.5,44.8125,43.9375,847700.0
2000-05-02,43.9375,42.9375,44.25,43.0,1178500.0
2000-05-03,43.375,42.375,43.75,42.4375,653900.0
2000-05-04,42.4375,41.375,42.4375,41.6875,470900.0
2000-05-05,41.125,41.0,42.0625,41.6875,371500.0
2000-05-08,41.625,41.625,43.625,43.1875,528500.0
2000-05-09,43.0,42.75,44.5625,43.0625,483900.0
2000-05-10,43.25,42.8125,43.375,43.0,559800.0
2000-05-11,43.875,43.8125,45.125,44.625,706400.0
2000-05-12,44.375,44.25,45.75,45.25,404100.0
2000-05-15,45.25,45.0625,45.8125,45.25,706100.0
2000-05-16,45.375,44.5,45.6875,44.875,523200.0
2000-05-17,44.0,44.0,45.3125,44.625,381400.0
2000-05-18,44.625,44.625,46.25,45.625,491600.0
2000-05-19,45.0,43.75,45.5625,44.0625,368500.0
2000-05-22,44.3125,44.1875,45.875,45.6875,835500.0
2000-05-23,46.0,45.75,47.6875,47.375,729800.0
2000-05-24,48.375,48.1875,49.25,48.5625,757500.0
2000-05-25,47.625,46.4375,48.4375,47.0625,691400.0
2000-05-26,47.25,47.0,49.125,48.3125,649300.0
2000-05-30,48.875,48.625,49.9375,49.75,726800.0
2000-05-31,49.75,49.625,50.4375,50.1875,1124100.0
2000-06-01,50.5,50.4375,53.75,53.5625,1932100.0
2000-06-02,57.5,55.875,57.5,56.5,2178300.0
2000-06-05,56.0,54.5,56.4375,54.5,1689900.0
2000-06-06,54.5,52.5625,54.5,53.078125,1352200.0
2000-06-07,53.625,53.625,55.4375,55.25,794800.0
2000-06-08,54.5,53.8125,54.5625,54.3125,733900.0
2000-06-09,54.1875,53.75,55.0,54.3125,962700.0
2000-06-12,54.25,54.25,55.25,55.125,844200.0
2000-06-13,55.0,54.125,55.25,54.875,701900.0
2000-06-14,55.0,54.875,56.5,55.875,1293600.0
2000-06-15,54.0,52.0,54.1875,53.5,3158300.0
2000-06-16,53.0,50.0,53.0,51.125,2073300.0
2000-06-19,51.125,49.875,52.625,51.625,1509400.0
2000-06-20,51.9375,51.5625,52.125,51.875,1002000.0
2000-06-21,51.625,50.625,52.25,52.25,1636800.0
2000-06-22,52.0,51.0625,52.25,51.5625,899500.0
2000-06-23,51.75,51.125,52.25,51.125,620400.0
2000-06-26,51.125,50.84375,51.5,51.125,955500.0
2000-06-27,51.0,50.125,51.375,50.4375,1588000.0
2000-06-28,50.5625,50.5,52.1875,50.859375,821300.0
2000-06-29,50.375,49.0625,50.375,49.25,937500.0
2000-06-30,49.125,46.375,49.25,46.875,1983800.0
2000-07-03,48.0,47.8125,49.1875,48.75,851600.0
2000-07-05,48.8125,48.5,49.9375,48.9375,869200.0
2000-07-06,49.1875,47.625,49.1875,48.9375,576900.0
2000-07-07,49.125,49.125,51.5,51.3125,928900.0
2000-07-10,50.8125,50.75,51.875,50.875,635900.0
2000-07-11,50.875,50.625,51.3125,51.1875,459400.0
2000-07-12,50.6875,50.6875,52.375,51.1875,810400.0
2000-07-13,50.9375,48.9375,51.0,49.0,818600.0
2000-07-14,50.5,50.0625,51.8125,51.0,884300.0
2000-07-17,50.875,50.0,51.375,50.4375,1045200.0
2000-07-18,50.5,49.8125,51.375,50.5,611800.0
2000-07-19,50.4375,50.4375,51.3125,50.6875,462600.0
2000-07-20,50.75,50.75,53.3125,52.4375,1030600.0
2000-07-21,52.6875,52.3125,53.375,52.4375,788200.0
2000-07-24,52.4375,52.3125,53.8125,53.375,755900.0
2000-07-25,53.5,53.4375,53.9375,53.6875,675900.0
2000-07-26,53.4375,51.625,53.4375,51.875,848500.0
2000-07-27,52.1875,51.5,53.1875,52.0,505300.0
2000-07-28,52.0,50.625,52.0,50.6875,415100.0
2000-07-31,51.25,50.5625,51.8125,50.875,494600.0
2000-08-01,51.125,51.125,52.4375,52.375,587200.0
2000-08-02,52.875,51.9375,52.875,52.3125,645400.0
2000-08-03,52.1875,52.1875,54.5625,54.5625,646900.0
2000-08-04,55.8125,55.75,57.8125,57.625,1619300.0
2000-08-07,57.5,56.0,57.9375,57.875,945900.0
2000-08-08,57.625,57.1875,58.0,58.0,905100.0
2000-08-09,58.5,57.5,58.5,58.0625,1332700.0
2000-08-10,58.125,57.6875,59.4375,58.8125,1245400.0
2000-08-11,58.6875,58.0625,58.75,58.625,679000.0
2000-08-14,58.5,57.25,59.0,59.0,812100.0
2000-08-15,59.0,58.3125,59.1875,58.875,773500.0
2000-08-16,58.875,57.5625,59.375,57.8125,396400.0
2000-08-17,57.75,57.625,58.5,57.875,424500.0
2000-08-18,57.625,56.75,57.6875,56.9375,479600.0
2000-08-21,56.75,56.5625,57.1875,57.125,453100.0
2000-08-22,57.125,57.0625,59.6875,59.125,730800.0
2000-08-23,58.375,58.0,59.375,58.5625,558200.0
2000-08-24,58.375,57.625,58.625,57.9375,487100.0
2000-08-25,57.9375,57.6875,58.3125,58.1875,636800.0
2000-08-28,57.9375,57.75,58.4375,58.375,738200.0
2000-08-29,58.375,56.4375,58.375,57.0,968600.0
2000-08-30,57.0,57.0,58.5,57.9375,1171800.0
2000-08-31,58.0625,58.0625,59.75,58.953125,1286000.0
2000-09-01,59.875,58.8125,59.875,59.0,738600.0
2000-09-05,58.8125,58.625,59.375,59.1875,549700.0
2000-09-06,59.875,59.625,60.3125,59.875,1272900.0
2000-09-07,59.6875,58.75,59.6875,59.5,787100.0
2000-09-08,59.5,59.375,60.9375,60.9375,817700.0
2000-09-11,60.75,60.75,61.625,61.4375,805000.0
2000-09-12,61.9375,61.375,62.25,61.875,1070400.0
2000-09-13,61.9375,61.9375,64.125,63.4375,1543200.0
2000-09-14,63.1875,62.25,63.375,62.5,1111100.0
2000-09-15,62.9375,60.75,62.9375,61.125,1174700.0
2000-09-18,61.125,58.5625,61.125,58.625,773200.0
2000-09-19,58.9375,58.6875,60.125,59.8125,697300.0
2000-09-20,59.5625,56.875,59.5625,57.6875,1396900.0
