Open,Low,High,Close,Volume
2015-07-06,38.0,36.0,39.75,36.71,5866600.0
2015-07-07,37.72,36.0,37.81,36.62,7359000.0
2015-07-08,36.34,34.53,36.36,34.7,5387700.0
2015-07-09,35.1,33.99,35.52,34.5,3760100.0
2015-07-10,34.66,33.98,35.19,34.69,4472800.0
2015-07-13,35.59,35.5,37.5,36.78,7626000.0
2015-07-14,36.99,36.6,37.74,36.93,4653300.0
2015-07-15,37.98,37.03,38.2,37.51,13072800.0
2015-07-16,38.82,38.08,39.97,38.63,21348500.0
2015-07-17,39.42,38.18,40.2,38.39,45720200.0
2015-07-20,41.46,39.8,42.55,40.47,52286500.0
2015-07-21,41.08,39.12,41.11,39.35,32954600.0
2015-07-22,39.35,38.1,39.72,38.39,25363900.0
2015-07-23,38.74,36.93,38.75,37.01,19250200.0
2015-07-24,37.71,36.91,38.0,37.0,14274300.0
2015-07-27,36.78,36.22,37.38,36.39,16179900.0
2015-07-28,37.19,36.83,38.0,37.6,18986000.0
2015-07-29,38.03,37.62,38.1,37.95,11788400.000000002
2015-07-30,38.04,37.715,39.01,38.45,13845100.000000002
2015-07-31,39.14,38.22,39.2,38.7,12480600.0
2015-08-03,39.25,38.9,39.88,39.39,15126599.999999998
2015-08-04,39.91,38.43,39.91,38.95,10992200.0
2015-08-05,39.7,39.17,39.88,39.27,9463100.0
2015-08-06,39.63,38.55,39.74,38.85,7324100.0
2015-08-07,39.04,38.6,39.23,39.13,8331300.0
2015-08-10,39.43,38.77,39.69,39.05,7998900.0
2015-08-11,38.93,38.72,39.28,38.85,8184000.0
2015-08-12,38.55,37.01,38.58,38.19,21350600.0
2015-08-13,38.4,37.44,38.49,37.62,7863500.0
2015-08-14,37.49,37.38,38.18,38.14,6271100.0
2015-08-17,38.3,37.7,38.75,38.73,4931700.0
2015-08-18,39.0,37.87,39.0,37.99,4678800.0
2015-08-19,37.87,37.03,38.1,37.19,6923400.0
2015-08-20,36.85,35.88,37.34,35.98,10645700.0
2015-08-21,35.57,33.83,36.11,34.25,16824100.0
2015-08-24,31.17,30.0,34.85,33.75,19676600.0
2015-08-25,35.44,32.7,35.46,32.7,15557100.0
2015-08-26,33.7,31.71,33.84,33.17,25350400.0
2015-08-27,33.87,33.16,34.77,34.62,18909600.000000004
2015-08-28,34.51,34.37,35.26,35.04,8344800.0
2015-08-31,35.5,34.77,35.51,35.0,12123800.0
2015-09-01,34.15,33.41,34.68,33.77,13376000.000000002
2015-09-02,34.6,33.835,35.08,35.07,7521000.0
2015-09-03,35.01,34.77,35.46,35.31,6683800.0
2015-09-04,34.71,33.78,34.72,34.29,7483100.0
2015-09-08,34.81,34.25,34.89,34.7,7674500.0
2015-09-09,34.92,33.88,34.95,34.37,10946900.0
2015-09-10,34.23,32.95,34.29,33.46,12134500.0
2015-09-11,33.27,32.61,33.59,33.55,9184200.0
2015-09-14,33.7,33.2,33.95,33.77,7897700.0
2015-09-15,33.72,32.67,33.95,33.8,11874900.0
2015-09-16,33.46,33.36,34.06,33.77,7183900.0
2015-09-17,33.72,33.08,33.99,33.32,7846800.0
2015-09-18,32.9,32.55,33.78,32.92,16488100.000000002
2015-09-21,33.66,33.43,34.62,34.25,12736500.0
2015-09-22,33.94,33.19,34.1,33.35,8538000.0
2015-09-23,33.49,33.26,34.34,34.16,5405500.0
2015-09-24,34.0,33.38,34.07,33.91,6544500.0
2015-09-25,34.6,33.5,34.69,33.77,6566800.0
2015-09-28,33.68,32.155,33.68,32.25,7407300.0
2015-09-29,32.27,30.3,32.67,30.63,12008100.0
2015-09-30,31.2,30.64,31.28,31.04,13672000.0
2015-10-01,30.82,30.75,31.587,31.48,9657000.0
2015-10-02,30.82,30.75,32.86,32.83,7609800.0
2015-10-05,32.95,32.38,33.02,32.67,6119100.0
2015-10-06,32.91,31.78,32.91,31.86,7409800.0
2015-10-07,32.31,31.52,32.471,32.38,6969600.0
2015-10-08,32.44,31.09,32.45,31.67,9281500.0
2015-10-09,31.69,31.41,32.45,32.06,5911400.0
2015-10-12,32.19,32.1,32.67,32.63,3915500.0
2015-10-13,32.6,32.34,33.48,33.22,8787700.0
2015-10-14,33.4,33.4,34.46,34.05,8198300.0
2015-10-15,34.45,34.16,34.72,34.62,9103200.0
2015-10-16,34.75,33.95,35.05,34.29,5390700.0
2015-10-19,34.43,33.79,34.905,34.84,5855700.0
2015-10-20,34.8,34.59,34.99,34.87,6084200.0
2015-10-21,34.75,32.88,34.8,33.83,9054500.0
2015-10-22,34.43,34.26,35.25,34.79,8735500.0
2015-10-23,35.73,34.8,35.75,34.99,8909100.0
2015-10-26,36.05,35.515,36.59,36.44,11554600.0
2015-10-27,36.39,35.31,36.394,35.94,8502400.0
2015-10-28,36.21,35.81,36.65,36.52,11634300.0
2015-10-29,34.73,34.5,36.5,35.91,25137299.999999996
2015-10-30,35.64,35.24,36.49,36.01,13409200.000000002
2015-11-02,35.58,35.45,37.41,36.99,11254900.000000002
2015-11-03,37.05,37.0,38.44,37.9,12025200.0
2015-11-04,38.45,37.33,38.52,37.6,12226800.0
2015-11-05,37.82,36.66,37.98,36.71,9068900.0
2015-11-06,36.59,35.8,36.7,36.24,10256800.0
2015-11-09,36.1,35.65,36.74,36.6,11571500.000000002
2015-11-10,36.58,36.5,37.2,37.0,36384400.0
2015-11-11,37.19,35.75,37.32,36.33,12762500.000000002
2015-11-12,35.945,34.83,36.05,35.57,11835900.0
2015-11-13,35.18,34.5,35.5,34.53,7364400.0
2015-11-16,34.55,34.53,35.66,35.61,6734500.0
2015-11-17,35.89,35.71,36.45,36.21,7344900.0
2015-11-18,36.32,35.785,36.95,36.22,8323100.0
2015-11-19,36.45,35.91,36.5,36.19,5041300.0
2015-11-20,36.45,35.92,36.45,36.36,4543400.0
2015-11-23,36.5,35.41,36.65,35.56,6961000.0
2015-11-24,35.25,34.88,35.3,35.12,8390100.0
2015-11-25,35.2,35.13,35.86,35.36,3881800.0
2015-11-27,35.52,35.06,35.7,35.18,2549400.0
2015-11-30,35.36,34.69,35.44,35.26,9357300.0
2015-12-01,35.41,33.85,35.41,35.17,14893900.0
2015-12-02,35.23,34.93,36.17,35.15,5762400.0
2015-12-03,35.2,33.85,35.23,34.23,7311900.0
2015-12-04,34.38,34.22,35.82,35.62,10664300.0
2015-12-07,35.71,34.85,35.8,35.16,4918000.0
2015-12-08,34.63,34.52,35.7,35.6,7420800.0
2015-12-09,35.39,34.83,35.6,35.07,7381700.0
2015-12-10,35.16,35.16,35.91,35.49,6949700.0
2015-12-11,35.15,34.42,35.326,34.69,8309200.0
2015-12-14,34.61,34.33,35.223,35.01,5784400.0
2015-12-15,35.19,35.18,36.51,36.32,11709900.0
2015-12-16,36.12,35.19,36.25,35.98,7076300.0
2015-12-17,36.0,35.51,36.58,35.54,6454100.0
2015-12-18,35.35,34.73,35.76,34.98,13745900.0
2015-12-21,35.21,35.11,36.15,36.08,5856000.0
2015-12-22,36.12,35.78,36.89,36.805,6030900.0
2015-12-23,36.79,36.77,37.68,37.11,7579500.0
2015-12-24,37.01,36.82,37.23,37.07,2133400.0
2015-12-28,36.7,36.25,37.0,36.61,4930100.0
2015-12-29,36.92,36.75,37.45,37.08,3436600.0
2015-12-30,37.07,36.46,37.25,36.48,4106700.0
2015-12-31,36.3,36.051,36.5,36.2,4481900.0
2016-01-04,35.13,34.28,35.56,34.75,12287700.0
2016-01-05,34.98,33.86,34.98,34.31,11227700.0
2016-01-06,33.7,33.21,34.01,33.98,8441300.0
2016-01-07,33.15,33.02,34.161,33.13,11041100.0
2016-01-08,33.46,32.63,33.88,32.69,7848800.0
2016-01-11,33.02,32.47,33.43,33.04,8937400.0
2016-01-12,33.35,32.66,33.57,33.08,7854000.0
2016-01-13,33.28,31.97,33.57,32.12,8069400.0
2016-01-14,32.15,31.705,33.04,32.87,7749500.0
2016-01-15,31.62,31.62,32.54,32.31,12174400.0
2016-01-19,32.76,31.93,33.18,32.2,6674700.0
2016-01-20,31.43,30.52,31.7,31.2,13170600.000000002
2016-01-21,31.61,30.9,31.74,31.2,9978900.0
2016-01-22,31.65,31.54,31.97,31.69,9444000.0
