Open,Low,High,Close,Volume
2000-03-28,74.875,73.5,78.5,77.40625,41268000.0
2000-03-29,79.125,76.09375,81.28125,78.75,50245600.0
2000-03-30,75.9375,69.625,78.625,72.617188,41385600.0
2000-03-31,74.90625,72.5,76.75,74.65625,34407000.0
2000-04-03,74.34375,69.03125,76.0,70.375,26965400.0
2000-04-04,70.9375,62.0,73.75,73.3125,42759000.0
2000-04-05,70.375,68.5625,72.5,70.625,23548800.0
2000-04-06,70.6875,68.5,71.5,69.5625,16193600.0
2000-04-07,70.9375,70.0,76.375,76.125,31462600.0
2000-04-10,75.6875,70.125,75.90625,70.59375,20188799.999999996
2000-04-11,67.75,66.96875,73.75,68.71875,22864800.0
2000-04-12,68.96875,62.5,70.5,62.5625,31838800.0
2000-04-13,64.0,61.5,67.8125,63.25,30230600.0
2000-04-14,61.5,51.5,65.375,52.59375,66002600.00000001
2000-04-17,49.21875,49.0625,58.71875,58.4375,64758800.0
2000-04-18,57.757813,53.5,60.625,56.09375,44492400.0
2000-04-19,59.625,56.5,62.9375,57.375,59833800.0
2000-04-20,57.96875,53.25,59.25,54.75,38979800.0
2000-04-24,51.5,46.125,52.0,49.8125,64246400.0
2000-04-25,52.25,50.75,54.15625,52.46875,47791400.0
2000-04-26,52.46875,48.5,52.625,48.625,31038600.0
2000-04-27,47.4375,47.25,52.0,51.75,41750800.0
2000-04-28,52.9375,52.25,55.0,54.21875,31301199.999999996
2000-05-01,54.8125,53.625,55.96875,54.875,22545000.0
2000-05-02,55.40625,55.0625,60.0,56.84375,52975000.0
2000-05-03,55.8125,54.0625,57.0,55.46875,32021800.000000004
2000-05-04,55.429688,52.84375,56.125,53.34375,20103200.0
2000-05-05,52.65625,52.5,55.6875,54.875,15971000.000000002
2000-05-08,53.25,51.40625,53.859375,51.5,16030199.999999998
2000-05-09,52.25,51.0,53.9375,52.5,23062400.0
2000-05-10,51.125,48.5,52.0,48.65625,34484800.0
2000-05-11,50.375,47.5,50.625,49.65625,32332200.000000004
2000-05-12,50.875,48.75,51.25,49.0,17078000.0
2000-05-15,49.15625,48.3125,52.25,52.15625,21605400.0
2000-05-16,52.679688,52.5,54.5,54.34375,23164200.0
2000-05-17,52.25,51.21875,53.125,51.578125,18169600.0
2000-05-18,51.5625,48.0,51.59375,48.46875,27271200.000000004
2000-05-19,47.5,44.515625,48.3125,44.59375,50833400.0
2000-05-22,45.0,38.875,45.0625,44.21875,51737000.0
2000-05-23,43.375,39.625,43.6875,39.6875,37273800.0
2000-05-24,38.15625,34.890625,39.25,38.375,82046200.0
2000-05-25,39.78125,34.3125,41.125,34.5,60416400.0
2000-05-26,34.90625,31.1875,35.0,33.03125,76242600.0
2000-05-30,31.664063,30.0,38.3125,38.1875,114359799.99999999
2000-05-31,35.375,33.0,36.0,33.1875,109686200.0
2000-06-01,35.625,34.125,36.0,34.5,64625400.0
2000-06-02,37.09375,34.15625,37.375,36.34375,75612600.0
2000-06-05,32.53125,32.4375,34.9375,33.625,59490200.0
2000-06-06,33.875,33.8125,36.4375,34.4375,47774000.0
2000-06-07,35.8125,35.25,37.40625,37.34375,45259200.0
2000-06-08,39.0625,37.75,40.0,38.71875,43289400.0
2000-06-09,40.25,39.25,40.5,39.53125,29512400.000000004
2000-06-12,41.625,40.0,42.15625,40.84375,30566000.0
2000-06-13,40.46875,38.40625,41.40625,40.6875,38326000.0
2000-06-14,40.84375,34.5,41.0,35.25,83876600.0
2000-06-15,31.4375,29.992188,31.84375,30.71875,122278000.0
2000-06-16,32.1875,31.875,33.75,32.875,55383200.0
2000-06-19,32.90625,31.625,33.125,32.59375,26381800.000000004
2000-06-20,32.71875,31.25,32.84375,31.46875,28998800.0
2000-06-21,31.125,30.9375,33.75,32.25,38151600.0
2000-06-22,32.625,32.1875,36.9375,34.125,84558800.0
2000-06-23,35.78125,32.75,37.375,33.1875,58846800.0
2000-06-26,34.09375,31.453125,34.179688,32.375,34292400.0
2000-06-27,32.1875,31.4375,33.75,31.84375,29835800.0
2000-06-28,30.0625,28.75,33.0,31.78125,77099400.0
2000-06-29,30.9375,30.5,31.609375,30.75,23910000.0
2000-06-30,31.0,29.0,31.0625,30.0,37016200.0
2000-07-03,29.96875,29.75,30.9375,30.125,8696800.0
2000-07-05,30.5,29.125,31.5,29.21875,20386800.0
2000-07-06,29.6875,28.78125,31.3125,30.84375,24744200.000000004
2000-07-07,28.6875,28.03125,29.632813,28.3125,56752800.0
2000-07-10,27.96875,27.0,28.75,27.4375,35357000.0
2000-07-11,26.78125,25.75,27.9375,26.5,36054000.0
2000-07-12,27.65625,26.96875,30.75,30.5,48357000.0
2000-07-13,30.8125,29.6875,31.5,31.0,32298800.0
2000-07-14,31.71875,30.5,32.4375,31.53125,22639000.0
2000-07-17,32.4375,32.3125,35.46875,34.90625,50497000.0
2000-07-18,34.21875,32.5,34.4375,32.5625,27709600.0
2000-07-19,32.34375,31.0625,32.46875,31.5,25049400.0
2000-07-20,29.6875,28.53125,31.84375,31.53125,48041800.00000001
2000-07-21,30.65625,30.625,32.5,31.40625,19396600.0
2000-07-24,31.375,31.0625,32.46875,31.8125,22134400.0
2000-07-25,32.90625,32.84375,34.75,34.1875,47747400.00000001
2000-07-26,33.75,33.03125,35.25,34.34375,32742000.0
2000-07-27,33.03125,31.78125,33.5625,32.78125,26503600.0
2000-07-28,32.1875,30.5,33.125,31.21875,17759200.0
2000-07-31,32.5,31.8125,33.1875,32.46875,23021400.0
2000-08-01,32.46875,31.40625,32.5,31.46875,11945000.000000002
2000-08-02,31.625,30.75,32.3125,30.96875,10719800.0
2000-08-03,30.0,29.1875,32.25,32.125,32228200.0
2000-08-04,33.25,31.5625,33.9375,32.0,22564600.0
2000-08-07,31.59375,31.15625,32.90625,31.78125,14546800.0
2000-08-08,31.5,30.25,31.875,30.53125,16626600.0
2000-08-09,31.3125,30.625,31.554688,30.71875,14096200.000000002
2000-08-10,31.1875,30.625,31.8125,30.71875,11360400.0
2000-08-11,30.59375,29.4375,31.1875,30.8125,15463800.0
2000-08-14,30.84375,30.5,31.5,31.3125,11490400.0
2000-08-15,31.1875,30.5,31.1875,30.6875,9656000.0
2000-08-16,31.0625,30.03125,31.46875,30.25,10482000.0
2000-08-17,30.125,30.03125,31.1875,30.28125,11370000.0
2000-08-18,30.46875,29.84375,30.6875,29.875,13836400.0
2000-08-21,29.375,28.65625,30.0,29.5,15207200.0
2000-08-22,29.03125,28.25,29.375,28.3125,22435200.0
2000-08-23,27.71875,27.40625,28.375,28.21875,28425200.0
2000-08-24,28.53125,28.4375,30.375,30.3125,27267000.0
2000-08-25,30.15625,29.125,30.65625,29.4375,15588800.0
2000-08-28,29.25,29.234375,30.53125,29.6875,18180800.0
2000-08-29,29.75,29.3125,30.53125,30.125,15618600.0
2000-08-30,30.0625,29.0,30.1875,29.15625,19122000.0
2000-08-31,29.375,29.0,31.03125,29.9375,38055400.0
2000-09-01,30.40625,29.25,31.0,29.625,20437599.999999996
2000-09-05,30.53125,29.6875,30.8125,29.6875,19835400.0
2000-09-06,30.0625,29.9375,31.96875,30.90625,57655800.0
2000-09-07,31.1875,30.3125,32.3125,32.0625,39563800.0
2000-09-08,31.84375,30.71875,32.5,30.78125,32579600.000000004
2000-09-11,30.273438,29.0,30.5625,29.0625,29739399.999999996
2000-09-12,30.53125,30.25,31.8125,30.71875,44940200.0
2000-09-13,30.75,30.71875,32.1875,32.0,24549400.0
2000-09-14,32.5,31.0,32.5625,31.3125,20935800.000000004
2000-09-15,31.3125,30.8125,33.3125,33.125,55480599.99999999
2000-09-18,33.875,33.5625,35.625,34.90625,75770000.0
2000-09-19,35.84375,35.3125,39.375,38.75,85274000.0
2000-09-20,39.09375,36.3125,39.25,37.523438,52449800.0
2000-09-21,36.75,35.5,38.46875,35.96875,32562800.0
2000-09-22,34.6875,34.5,36.5625,36.5,34164000.0
2000-09-25,37.625,34.71875,37.75,35.0,20946200.0
2000-09-26,35.6875,34.6875,37.5,36.6875,37944600.0
2000-09-27,37.125,36.0625,37.8125,36.4375,30288200.0
2000-09-28,36.125,35.78125,37.59375,37.40625,20884999.999999996
2000-09-29,37.34375,35.4375,37.34375,35.625,13227800.0
2000-10-02,36.3125,35.375,36.96875,35.65625,16962400.0
2000-10-03,36.0,35.71875,37.78125,36.25,25109000.0
2000-10-04,35.8125,35.75,39.75,39.21875,39061200.0
2000-10-05,39.0,38.5,43.5,41.4375,64696200.0
2000-10-06,41.4375,38.65625,42.0,38.90625,34240400.0
2000-10-09,38.6875,38.25,40.5,39.6875,20522600.0
2000-10-10,40.4375,39.21875,41.9375,39.84375,36832000.0
2000-10-11,38.875,33.1875,39.46875,35.25,58025400.00000001
2000-10-12,36.34375,31.6875,37.09375,32.1875,45687999.99999999
2000-10-13,32.0,31.5625,35.03125,34.96875,28286400.0
2000-10-16,37.4375,36.40625,39.03125,38.5,39924000.0
2000-10-17,39.1875,35.5,39.3125,37.09375,23364400.0
2000-10-18,35.0625,34.0,38.375,37.40625,28142400.0
2000-10-19,38.929688,36.65625,39.0,38.5,22504600.0
2000-10-20,37.289063,37.125,38.375,37.375,19325000.0
2000-10-23,36.914063,35.40625,37.40625,36.8125,18488000.0
2000-10-24,35.96875,35.25,37.0,35.5,17440200.0
2000-10-25,35.382813,32.53125,36.375,32.875,19413200.0
2000-10-26,33.6875,33.0625,36.53125,35.90625,23014800.000000004
2000-10-27,36.25,35.4375,38.0,37.4375,21752800.0
2000-10-30,35.65625,32.78125,37.0,34.0625,31944000.0
