Open,Low,High,Close,Volume
2000-03-28,39.666668,39.0,41.0,40.083332,5085900.0
2000-03-29,41.291668,39.166668,42.0,39.625,5673700.0
2000-03-30,39.041668,38.708332,40.25,39.333332,6030900.0
2000-03-31,38.833332,36.875,39.166668,38.0,6211200.0
2000-04-03,39.5,36.916668,40.583332,37.958332,8886400.0
2000-04-04,38.25,29.458334,38.25,33.333332,18826600.0
2000-04-05,31.833334,31.5,37.166668,35.5,11655600.0
2000-04-06,36.333332,35.791668,38.833332,38.75,6890100.0
2000-04-07,38.833332,35.833332,38.833332,36.75,6563100.0
2000-04-10,36.125,35.666668,38.125,37.208332,4635100.0
2000-04-11,37.208332,35.333332,37.833332,36.083332,4447800.0
2000-04-12,35.916668,33.333332,36.666668,34.0,6570000.0
2000-04-13,33.833332,32.0,33.833332,32.666668,4876500.0
2000-04-14,29.5,25.666666,30.0,27.0,15031500.0
2000-04-17,26.458334,26.083334,28.833334,28.0,13525200.000000002
2000-04-18,27.166666,26.666666,31.833334,29.916666,12013200.0
2000-04-19,30.25,28.666666,30.333334,29.458334,6652600.0
2000-04-20,28.666666,28.666666,29.916666,29.333334,4263400.0
2000-04-24,29.333334,28.25,29.5,29.416666,4121500.0
2000-04-25,29.625,29.625,31.208334,30.666666,5019300.0
2000-04-26,30.833334,29.833334,32.375,30.0,5333500.0
2000-04-27,29.041666,29.0,30.583334,30.333334,4763500.0
2000-04-28,30.875,29.416666,31.583334,29.666666,4899600.0
2000-05-01,29.75,29.416666,31.291666,30.416666,5220600.0
2000-05-02,29.5,29.125,30.458334,29.833334,3982600.0
2000-05-03,29.166666,27.416666,31.333334,30.166666,4171600.0
2000-05-04,30.166666,28.166666,30.166666,29.666666,4108300.0
2000-05-05,28.583334,28.333334,29.875,29.166666,3965200.0
2000-05-08,29.75,28.166666,29.75,28.708334,5037400.0
2000-05-09,29.0,27.916666,29.333334,28.375,5102500.0
2000-05-10,27.833334,25.333334,27.916666,26.875,6545200.0
2000-05-11,27.333334,25.708334,27.416666,26.583334,4103700.0
2000-05-12,26.416666,26.333334,28.166666,27.958334,4578100.0
2000-05-15,27.458334,27.375,29.833334,28.916666,4352400.0
2000-05-16,29.083334,29.041666,30.916666,30.458334,6981100.0
2000-05-17,28.833334,28.333334,29.541666,29.166666,6861700.0
2000-05-18,29.666666,29.291666,30.541666,29.333334,4822600.0
2000-05-19,28.666666,27.916666,28.916666,27.916666,3568800.0
2000-05-22,27.166666,25.666666,28.541666,27.958334,6304600.0
2000-05-23,27.916666,26.791666,28.291666,27.333334,2889400.0
2000-05-24,26.666666,25.125,27.0,25.666666,8011900.0
2000-05-25,26.5,24.666666,26.541666,24.666666,7627300.0
2000-05-26,25.333334,24.0,26.0,24.666666,5399500.0
2000-05-30,25.125,25.0,26.375,26.375,3456000.0
2000-05-31,26.625,26.375,29.0,28.25,9386500.0
2000-06-01,29.0,28.28125,29.625,28.5,6203200.0
2000-06-02,32.75,31.1875,34.0,33.5,8710400.0
2000-06-05,32.75,32.125,33.375,32.25,4854600.0
2000-06-06,32.5,31.75,32.75,32.0625,3847200.0
2000-06-07,32.375,31.5,32.875,32.3125,4875100.0
2000-06-08,31.875,29.125,32.375,30.5,5467300.0
2000-06-09,30.375,29.4375,30.375,29.625,3826500.0
2000-06-12,29.8125,28.625,29.9375,28.875,3030700.0
2000-06-13,29.875,28.75,30.3125,30.3125,2584400.0
2000-06-14,29.5625,29.125,33.0,32.5,6677900.0
2000-06-15,32.25,31.0625,33.375,32.9375,4555400.0
2000-06-16,32.5,32.0625,33.625,33.625,6449000.0
2000-06-19,33.625,33.0625,34.6875,34.5,3504800.0
2000-06-20,34.6875,33.25,34.9375,34.875,3051900.0
2000-06-21,34.625,33.625,34.625,34.1875,2043900.0
2000-06-22,33.875,32.75,34.0625,33.375,1975900.0
2000-06-23,34.125,32.5625,34.3125,32.75,1691400.0
2000-06-26,32.5625,32.5625,33.8125,33.375,2522700.0
2000-06-27,33.8125,32.875,33.8125,33.0,2085600.0
2000-06-28,33.4375,31.875,33.75,32.5,2434700.0
2000-06-29,32.0,31.5,34.5,33.5,2848100.0
2000-06-30,31.5625,31.3125,33.75,33.625,3800700.0
2000-07-03,32.75,32.125,33.3125,32.4375,1146700.0
2000-07-05,32.75,32.1875,33.125,32.6875,2058700.0
2000-07-06,32.9375,31.5,33.0,32.8125,2200600.0
2000-07-07,33.3125,32.5,33.3125,32.9375,2026400.0
2000-07-10,32.9375,32.375,33.75,32.875,2792300.0
