Open,Low,High,Close,Volume
2000-03-28,42.6875,42.4375,43.375,42.5,6264600.0
2000-03-29,42.9375,41.9375,43.875,42.25,6818400.0
2000-03-30,43.0,41.5625,43.375,41.625,8871800.0
2000-03-31,42.5,42.0,43.0,42.125,7637900.0
2000-04-03,42.5,42.4375,44.875,44.75,7712000.0
2000-04-04,45.0,44.75,47.1875,46.0,10787700.0
2000-04-05,46.0,45.875,47.125,46.3125,8541900.0
2000-04-06,46.0625,46.0,47.3125,46.609375,5801500.0
2000-04-07,47.0,45.3125,47.1875,46.375,5166700.0
2000-04-10,46.0,45.5625,46.4375,46.25,4222800.0
2000-04-11,46.3125,46.0625,48.25,47.25,6522900.0
2000-04-12,47.9375,47.0,49.0,47.0,7787600.0
2000-04-13,47.3125,46.0,47.3125,47.0,5746000.0
2000-04-14,45.625,42.0,46.625,42.625,7487000.0
2000-04-17,43.5,40.875,43.5625,41.875,7506700.0
2000-04-18,41.125,40.4375,41.9375,41.5,6746600.0
2000-04-19,41.4375,41.125,42.625,41.9375,7169800.0
2000-04-20,42.0,40.9375,42.375,41.1875,3875900.0
2000-04-24,41.1875,41.0,42.4375,42.25,4906400.0
2000-04-25,42.8125,42.4375,45.4375,44.9375,9328400.0
2000-04-26,45.0,43.5,45.1875,44.0,7447300.0
2000-04-27,43.75,43.0,44.25,43.25,7162000.0
2000-04-28,43.5,43.25,44.3125,43.8125,7246500.0
2000-05-01,44.125,43.6875,45.125,44.625,7139300.0
2000-05-02,44.5,41.75,44.5,42.375,7203000.0
2000-05-03,42.3125,41.6875,42.6875,41.9375,4745300.0
2000-05-04,42.0,40.8125,42.0,41.0625,4526200.0
2000-05-05,41.0625,41.0625,43.1875,43.0,4670100.0
2000-05-08,42.625,41.875,42.9375,42.875,3999300.0
2000-05-09,42.375,41.875,43.5,42.3125,4813900.0
2000-05-10,42.5,42.25,46.0,45.125,8298300.0
2000-05-11,45.3125,45.1875,45.9375,45.5625,5161300.0
2000-05-12,44.6875,44.1875,45.0,44.84375,3479800.0
2000-05-15,44.375,44.0,46.75,46.0,4819000.0
2000-05-16,46.5,45.3125,46.9375,45.6875,4458800.0
2000-05-17,45.1875,44.8125,45.4375,45.3125,3362500.0
2000-05-18,45.0625,43.9375,45.5625,44.25,3673600.0
2000-05-19,42.875,42.375,43.6875,42.6875,5748300.0
2000-05-22,43.625,41.75,43.625,42.5,4492800.0
2000-05-23,42.25,41.75,42.4375,41.8125,4506800.0
2000-05-24,42.0625,42.0625,43.3125,43.125,4963900.0
2000-05-25,42.5,41.5625,43.1875,42.0625,4467500.0
2000-05-26,42.0625,42.0625,43.0625,42.625,3364600.0
2000-05-30,43.25,42.75,44.25,44.25,4185900.0
2000-05-31,44.0,43.25,44.3125,43.6875,4418000.0
2000-06-01,44.125,44.0,44.875,44.0,4145300.0
2000-06-02,45.0,44.75,45.4375,45.0,5281100.0
2000-06-05,45.3125,44.3125,45.3125,44.3125,3314100.0
2000-06-06,44.6875,44.625,46.375,45.3125,5289900.0
2000-06-07,45.25,45.0625,46.75,46.375,4645500.0
2000-06-08,46.375,46.3125,47.3125,47.0,4517900.0
2000-06-09,47.25,47.125,48.125,48.125,5086400.0
2000-06-12,47.375,46.625,47.6875,46.8125,3894000.0
2000-06-13,46.5,46.5,48.0625,48.0,4192000.0
2000-06-14,48.875,48.5625,50.3125,50.0,8273000.0
2000-06-15,49.375,48.125,49.9375,48.6875,6229700.0
2000-06-16,48.625,47.1875,48.875,47.25,8192900.0
2000-06-19,47.25,47.25,48.6875,47.5,5087700.0
2000-06-20,47.875,47.0,47.9375,47.1875,3829000.0
2000-06-21,47.25,47.125,48.8125,48.125,4606800.0
2000-06-22,48.0,47.875,49.125,49.125,4331000.0
2000-06-23,48.75,48.25,49.125,48.5625,2769500.0
2000-06-26,48.5625,47.0625,49.3125,47.375,4338500.0
2000-06-27,48.0,46.25,49.0,46.5625,8427500.0
2000-06-28,46.5625,44.125,46.875,44.921875,6938100.0
2000-06-29,44.125,44.0,46.25,45.5625,7219500.0
2000-06-30,44.875,43.234375,46.0,44.0,15147400.000000002
2000-07-03,44.125,44.0625,46.625,46.5625,3245900.0
2000-07-05,46.75,45.25,46.8125,45.75,5174300.0
2000-07-06,45.5625,43.5,45.6875,43.625,4184500.0
2000-07-07,43.9375,43.9375,45.4375,44.6875,4375100.0
2000-07-10,45.3125,44.4375,45.8125,44.8125,3349100.0
2000-07-11,44.4375,44.125,45.125,44.375,3976800.0
2000-07-12,44.5,44.5,45.25,44.9375,2566800.0
2000-07-13,45.1875,45.125,45.875,45.75,4010900.0
2000-07-14,45.75,44.625,45.875,45.375,4196600.0
2000-07-17,44.875,43.25,44.875,43.28125,5377200.0
2000-07-18,43.4375,42.875,44.0625,43.5,5651100.0
2000-07-19,44.4375,43.25,44.4375,43.625,4164100.0
2000-07-20,44.125,43.0,45.5625,43.125,5914000.0
2000-07-21,43.25,42.4375,44.0,43.0,4278400.0
2000-07-24,42.75,42.6875,43.6875,43.1875,4297900.0
2000-07-25,43.4375,43.375,44.3125,44.0,4182100.0
2000-07-26,43.9375,43.125,44.125,43.125,5807100.0
2000-07-27,43.5,42.625,43.6875,42.8125,4954700.0
2000-07-28,42.25,42.1875,43.1875,42.5,4718600.0
2000-07-31,42.5625,42.3125,43.4375,42.5625,4205200.0
2000-08-01,42.625,42.5625,44.0,43.6875,4417200.0
2000-08-02,44.0,43.8125,44.75,44.3125,5915000.0
2000-08-03,44.375,43.75,44.5,44.0,5796500.0
2000-08-04,44.0,43.5,44.125,43.9375,5642900.0
2000-08-07,43.375,43.375,44.5625,44.375,4180100.0
2000-08-08,43.625,42.0,43.875,42.5,8636300.0
2000-08-09,42.6875,41.3125,42.875,41.6875,6266300.0
2000-08-10,41.8125,41.8125,42.5,42.3125,4548300.0
2000-08-11,42.625,42.0,43.5,42.5625,3998500.0
2000-08-14,42.0625,41.5625,42.625,41.875,3774700.0
2000-08-15,42.375,42.0,42.6875,42.0,3258100.0
2000-08-16,42.5,41.0,42.625,41.3125,4172500.0
2000-08-17,40.75,38.75,40.875,39.5,12535099.999999998
2000-08-18,39.5625,38.4375,39.9375,39.3125,8491300.0
2000-08-21,40.1875,39.4375,40.25,40.0625,6455800.0
2000-08-22,40.3125,39.625,40.375,39.625,5927500.0
2000-08-23,39.9375,39.875,40.625,40.1875,4470300.0
2000-08-24,40.625,40.375,41.125,40.5,5077300.0
2000-08-25,40.75,40.3125,41.1875,41.1875,4135100.0
2000-08-28,41.4375,41.3125,42.625,42.125,6803800.0
2000-08-29,41.9375,41.8125,43.0625,42.3125,5148400.0
2000-08-30,42.0,41.375,42.3125,42.125,3775900.0
2000-08-31,42.125,41.75,42.9375,41.765625,5065900.0
2000-09-01,42.8125,41.75,43.125,42.9375,5129300.0
2000-09-05,43.0625,42.5625,43.3125,43.1875,3636400.0
2000-09-06,43.25,42.75,44.0,42.875,4744400.0
2000-09-07,42.8125,42.625,43.125,42.75,3482800.0
2000-09-08,42.6875,42.625,45.4375,45.0625,9172400.0
2000-09-11,45.25,45.1875,46.0,45.9375,7958300.0
2000-09-12,45.5625,45.25,45.875,45.625,5205200.0
2000-09-13,45.875,45.0625,45.875,45.375,4161600.0
2000-09-14,45.125,44.375,45.1875,44.875,4985300.0
2000-09-15,44.75,44.25,44.875,44.25,7134200.0
2000-09-18,44.875,44.1875,45.0,44.75,4095900.0
2000-09-19,44.5625,44.5625,45.9375,45.5,3637200.0
2000-09-20,45.6875,44.1875,46.0,44.4375,6517800.0
2000-09-21,44.5,44.3125,46.8125,46.6875,7067900.0
2000-09-22,46.5625,46.3125,47.9375,47.9375,6153500.0
2000-09-25,48.0,47.5625,49.0,48.5,6316900.0
2000-09-26,48.5,48.25,49.25,48.3125,7027900.0
2000-09-27,48.125,47.25,48.6875,47.4375,5149200.0
2000-09-28,47.6875,47.125,49.875,49.6875,6867000.0
2000-09-29,49.75,49.0625,50.1875,49.875,8389800.0
2000-10-02,49.9375,49.3125,50.125,50.0625,5382600.0
2000-10-03,50.0,49.875,51.125,49.9375,5854100.0
2000-10-04,50.5625,50.4375,52.875,51.75,9010400.0
2000-10-05,51.5625,51.5625,53.8125,53.5625,8651900.0
2000-10-06,53.75,52.5,53.8125,53.3125,6965800.0
2000-10-09,53.375,52.125,53.875,52.4375,9385100.0
