Open,Low,High,Close,Volume
2000-03-28,6.875,6.867188,7.023438,6.921875,3800800.0
2000-03-29,6.929688,6.8125,6.992188,6.960938,3594400.0
2000-03-30,6.953125,6.945313,7.234375,7.15625,5237600.0
2000-03-31,7.15625,7.054688,7.460938,7.453125,7032800.0
2000-04-03,7.421875,7.414063,7.8125,7.757813,7430400.0
2000-04-04,7.75,7.21875,7.75,7.59375,8253600.0
2000-04-05,7.492188,7.382813,7.617188,7.5,5006400.0
2000-04-06,7.492188,7.453125,7.75,7.710938,5516000.0
2000-04-07,7.695313,7.53125,7.726563,7.71875,5463200.0
2000-04-10,7.828125,7.820313,8.03125,7.984375,7511200.0
2000-04-11,7.875,7.757813,8.179688,8.179688,10399200.0
2000-04-12,8.125,8.09375,8.609375,8.484375,10133600.0
2000-04-13,8.523438,7.914063,8.570313,8.296875,13784000.0
2000-04-14,8.21875,7.734375,8.21875,7.992188,5155200.0
2000-04-17,7.921875,7.71875,8.070313,7.96875,5120800.0
2000-04-18,7.875,7.804688,8.148438,8.109375,4708000.0
2000-04-19,7.9375,7.921875,8.21875,8.085938,5062400.0
2000-04-20,7.929688,7.929688,8.539063,8.390625,9542400.0
2000-04-24,8.4375,8.429688,8.71875,8.679688,5580000.0
2000-04-25,8.671875,8.4375,8.671875,8.53125,12896000.0
2000-04-26,8.5625,8.375,8.648438,8.414063,8431200.0
2000-04-27,8.46875,8.359375,8.5625,8.382813,7212800.0
2000-04-28,8.5,8.273438,8.5,8.335938,5775200.0
2000-05-01,8.257813,8.0625,8.3125,8.070313,6320800.0
2000-05-02,8.125,7.835938,8.140625,7.875,12139200.000000002
2000-05-03,7.8125,7.53125,7.828125,7.65625,15127200.0
2000-05-04,8.054688,7.75,8.054688,7.804688,17708000.0
2000-05-05,7.929688,7.851563,7.984375,7.882813,11467200.0
2000-05-08,7.882813,7.828125,8.28125,8.25,8276000.0
2000-05-09,8.15625,8.125,8.53125,8.484375,8402400.0
2000-05-10,8.53125,8.46875,8.75,8.546875,10783200.0
2000-05-11,8.632813,8.59375,8.828125,8.648438,12660000.0
2000-05-12,8.757813,8.648438,8.960938,8.921875,12364000.0
2000-05-15,9.0,9.0,9.375,9.328125,13902400.0
2000-05-16,9.6875,9.320313,9.6875,9.453125,12806400.0
2000-05-17,9.359375,9.28125,9.46875,9.328125,8849600.0
2000-05-18,9.34375,9.335938,9.820313,9.6875,13567200.000000002
2000-05-19,9.609375,9.453125,9.679688,9.546875,8583200.0
2000-05-22,9.609375,9.320313,9.695313,9.539063,7230400.0
2000-05-23,9.5,9.390625,9.585938,9.429688,6759200.0
2000-05-24,9.5625,9.5625,9.90625,9.734375,19460000.0
2000-05-25,9.75,9.539063,9.851563,9.570313,22335200.0
2000-05-26,9.5,9.398438,9.695313,9.484375,6431200.0
2000-05-30,9.578125,9.484375,9.804688,9.492188,7100800.0
2000-05-31,9.507813,9.3125,9.5625,9.320313,7738400.0
2000-06-01,9.304688,9.265625,9.632813,9.5,9206400.0
2000-06-02,9.46875,9.320313,9.539063,9.359375,7372800.0
2000-06-05,9.359375,9.335938,9.53125,9.367188,5560800.0
2000-06-06,9.34375,9.0625,9.453125,9.171875,8763200.0
2000-06-07,9.171875,9.140625,9.335938,9.203125,7371200.0
2000-06-08,9.242188,9.226563,9.390625,9.25,6693600.0
2000-06-09,9.265625,9.265625,9.71875,9.617188,4442400.0
2000-06-12,9.617188,9.5,10.046875,9.988281,11328000.0
2000-06-13,10.0,10.0,10.375,10.09375,18617600.0
2000-06-14,10.09375,10.03125,10.414063,10.25,8972000.0
2000-06-15,10.257813,10.25,10.390625,10.25,10037600.0
2000-06-16,10.234375,10.03125,10.296875,10.09375,9452000.0
2000-06-19,10.195313,9.992188,10.234375,10.0,8903200.0
2000-06-20,10.03125,10.007813,10.234375,10.023438,5228800.0
2000-06-21,9.984375,9.921875,10.1875,10.132813,3891200.0
2000-06-22,10.101563,9.992188,10.359375,10.046875,8808800.0
2000-06-23,10.0625,9.929688,10.109375,9.984375,5790400.0
2000-06-26,10.0,9.96875,10.1875,9.96875,8347200.0
2000-06-27,10.0625,9.90625,10.085938,10.023438,8472000.0
2000-06-28,10.046875,9.734375,10.414063,10.314453,8736000.0
2000-06-29,10.375,10.328125,11.125,10.75,19946400.0
2000-06-30,10.75,10.703125,11.0,10.71875,8524000.0
2000-07-03,10.679688,10.664063,11.007813,11.007813,4158400.0
2000-07-05,11.039063,10.9375,11.242188,11.125,7004800.0
2000-07-06,10.90625,10.882813,11.492188,11.46875,13102400.0
2000-07-07,11.375,11.078125,11.429688,11.21875,12748000.0
2000-07-10,11.125,10.78125,11.148438,10.921875,6252800.0
2000-07-11,10.921875,10.90625,11.15625,10.960938,8452000.0
2000-07-12,10.960938,10.929688,11.289063,11.15625,13590400.0
2000-07-13,11.03125,10.65625,11.140625,10.71875,9004000.0
2000-07-14,10.71875,10.40625,10.8125,10.5625,11498400.0
2000-07-17,10.5625,10.484375,10.945313,10.867188,8053600.0
2000-07-18,10.375,10.203125,10.539063,10.40625,18284000.0
2000-07-19,10.5625,10.46875,10.65625,10.492188,5704800.0
2000-07-20,10.5,10.328125,10.664063,10.609375,4423200.0
2000-07-21,10.734375,10.515625,10.75,10.625,3734400.0
2000-07-24,10.5625,10.226563,10.632813,10.289063,5619200.0
2000-07-25,10.289063,9.84375,10.304688,9.84375,10554400.0
2000-07-26,9.84375,9.765625,9.992188,9.773438,11900800.0
2000-07-27,9.796875,9.796875,10.328125,10.234375,11498400.0
2000-07-28,10.226563,10.109375,10.304688,10.148438,4742400.0
2000-07-31,10.195313,10.148438,10.4375,10.226563,5440000.0
2000-08-01,10.164063,10.164063,10.507813,10.429688,3895200.0
2000-08-02,10.3125,10.226563,10.59375,10.453125,9508800.0
2000-08-03,10.34375,10.234375,10.625,10.617188,12517600.0
2000-08-04,10.6875,10.6875,11.0,10.960938,9188000.0
2000-08-07,11.03125,10.992188,11.1875,10.992188,6219200.0
