Open,Low,High,Close,Volume
2000-03-28,9.59375,9.25,9.671875,9.296875,3300400.0
2000-03-29,9.296875,9.25,9.46875,9.46875,3122400.0
2000-03-30,9.5,9.25,9.5,9.296875,2840400.0
2000-03-31,9.359375,9.3125,9.78125,9.78125,3893200.0
2000-04-03,9.78125,9.65625,9.78125,9.6875,4480000.0
2000-04-04,9.71875,9.390625,9.828125,9.671875,3644400.0
2000-04-05,9.6875,9.671875,10.25,10.25,4744800.0
2000-04-06,10.25,10.21875,10.59375,10.3125,5835600.0
2000-04-07,10.28125,9.921875,10.28125,10.1875,3235600.0
2000-04-10,10.125,10.109375,10.578125,10.40625,3093200.0
2000-04-11,10.40625,10.40625,10.8125,10.78125,3586800.0
2000-04-12,10.78125,10.609375,11.015625,10.953125,5521600.0
2000-04-13,10.921875,10.515625,10.9375,10.703125,3427200.0
2000-04-14,10.671875,10.1875,10.671875,10.265625,3517600.0
2000-04-17,10.265625,9.953125,10.40625,9.953125,4448000.0
2000-04-18,9.96875,9.953125,10.15625,10.125,2484800.0
2000-04-19,10.1875,10.0,10.390625,10.078125,3087600.0
2000-04-20,10.15625,10.015625,10.328125,10.328125,3432000.0
2000-04-24,10.3125,10.3125,10.71875,10.515625,2635200.0
2000-04-25,10.5,10.5,11.21875,10.953125,5768000.0
2000-04-26,11.28125,11.203125,11.578125,11.359375,6341600.0
2000-04-27,11.25,10.6875,11.3125,10.71875,4370800.0
2000-04-28,10.796875,10.3125,10.796875,10.53125,3790800.0
2000-05-01,10.46875,10.421875,10.84375,10.734375,4576400.0
2000-05-02,10.59375,10.328125,10.71875,10.4375,3259600.0
2000-05-03,10.3125,10.203125,10.640625,10.375,2203200.0
2000-05-04,10.4375,10.140625,10.4375,10.140625,2612800.0
2000-05-05,10.15625,10.15625,10.625,10.578125,1982400.0
2000-05-08,10.515625,10.5,10.65625,10.65625,1576400.0
2000-05-09,10.65625,10.640625,11.0,10.859375,2952400.0
2000-05-10,10.796875,10.640625,10.953125,10.71875,1645600.0
2000-05-11,10.8125,10.640625,10.890625,10.765625,1475600.0
2000-05-12,10.90625,10.765625,10.953125,10.929688,2759200.0
2000-05-15,10.9375,10.875,11.046875,10.9375,1927200.0
2000-05-16,10.9375,10.90625,11.21875,11.171875,2038800.0
2000-05-17,11.15625,11.078125,11.359375,11.109375,2173200.0
2000-05-18,11.109375,11.09375,11.359375,11.25,2245600.0
2000-05-19,11.1875,11.015625,11.390625,11.34375,2994800.0
