Open,Low,High,Close,Volume
2000-03-28,62.5,60.0625,63.0,60.25,639300.0
2000-03-29,61.25,58.3125,61.25,59.0625,869700.0
2000-03-30,58.8125,58.3125,60.125,58.5625,682400.0
2000-03-31,59.5625,58.1875,63.0,62.984375,727100.0
2000-04-03,62.0,59.0,62.0,59.375,830000.0
2000-04-04,59.375,55.375,59.75,57.8125,1309000.0
2000-04-05,56.8125,56.8125,58.25,58.1875,478000.0
2000-04-06,58.3125,58.3125,60.1875,59.875,800700.0
2000-04-07,59.875,59.125,61.4375,60.875,778200.0
2000-04-10,61.125,61.0,64.0,64.0,1275600.0
2000-04-11,63.3125,62.125,63.3125,63.1875,616700.0
2000-04-12,62.8125,61.25,62.875,61.5,608700.0
2000-04-13,61.5,59.4375,61.5,60.25,566300.0
2000-04-14,58.5,55.0,58.75,55.0,859800.0
2000-04-17,57.0,55.0,59.5,58.0,1152900.0
2000-04-18,58.0,58.0,61.1875,60.6875,714900.0
2000-04-19,60.1875,58.75,60.5,59.0625,510200.0
2000-04-20,61.0,60.625,63.875,63.5,1730600.0
2000-04-24,63.0,62.0,63.25,62.625,1071000.0
2000-04-25,64.3125,63.8125,66.4375,66.4375,1644600.0
2000-04-26,66.5,64.9375,66.9375,66.1875,1239300.0
2000-04-27,65.5,65.1875,66.5625,65.9375,689400.0
2000-04-28,66.6875,65.5,66.75,66.5,1011200.0
2000-05-01,66.625,64.25,66.9375,64.25,904600.0
2000-05-02,64.0625,63.25,64.4375,63.8125,1565300.0
2000-05-03,64.0625,62.3125,64.0625,62.375,566400.0
2000-05-04,62.125,60.0,62.125,60.9375,669000.0
2000-05-05,59.75,59.0,60.875,59.875,834300.0
2000-05-08,59.0,58.3125,61.75,61.0625,1726400.0
2000-05-09,61.5,60.8125,63.375,62.5,859200.0
2000-05-10,62.0,60.625,62.375,60.8125,880400.0
2000-05-11,60.875,60.875,61.6875,61.25,934200.0
2000-05-12,61.5,61.375,62.625,61.5625,603600.0
2000-05-15,61.5625,60.6875,64.0,63.3125,1110200.0
2000-05-16,64.0,61.875,64.0,62.0,526500.0
2000-05-17,61.75,61.1875,62.875,62.3125,466300.0
2000-05-18,62.25,61.375,62.25,62.125,626500.0
2000-05-19,61.875,60.5,62.1875,61.875,754800.0
2000-05-22,61.625,59.875,61.875,61.4375,701700.0
2000-05-23,61.1875,61.125,62.25,61.875,669500.0
2000-05-24,61.0,59.125,61.375,59.625,592700.0
2000-05-25,59.4375,58.0,60.25,58.875,795300.0
2000-05-26,59.0,56.75,59.3125,57.1875,1003100.0
2000-05-30,57.0,57.0,59.3125,59.0625,602100.0
2000-05-31,59.9375,59.625,60.9375,59.875,794000.0
2000-06-01,60.8125,60.625,62.0625,61.5,1261000.0
2000-06-02,62.1875,60.9375,62.4375,61.0,745100.0
2000-06-05,60.875,60.8125,62.5,61.5625,812100.0
2000-06-06,61.5625,60.75,61.875,61.75,585000.0
2000-06-07,61.75,61.4375,62.1875,62.0625,729800.0
2000-06-08,62.0,60.25,62.125,60.25,606300.0
2000-06-09,60.25,59.3125,60.25,59.3125,505500.0
2000-06-12,59.0,57.5,59.875,59.34375,1105100.0
2000-06-13,59.5,59.25,62.0625,61.3125,958400.0
2000-06-14,61.1875,60.875,61.875,61.25,898600.0
2000-06-15,61.5,61.4375,62.5,62.375,1076100.0
2000-06-16,62.4375,61.375,62.75,61.75,721300.0
2000-06-19,61.75,60.25,62.1875,62.125,1019300.0
2000-06-20,61.875,60.875,62.0,61.4375,630200.0
2000-06-21,60.9375,60.5625,61.8125,61.75,627200.0
2000-06-22,61.5625,61.25,62.9375,62.9375,1331900.0
2000-06-23,62.8125,61.3125,62.8125,61.4375,672500.0
2000-06-26,60.75,60.3125,61.0,60.75,596300.0
2000-06-27,60.75,59.625,60.9375,60.125,1001700.0
2000-06-28,60.1875,59.5625,60.8125,59.625,754100.0
2000-06-29,59.625,58.625,60.3125,60.25,1002300.0
2000-06-30,60.3125,58.90625,62.0,58.90625,1990200.0
2000-07-03,59.5,59.3125,59.875,59.4375,375000.0
2000-07-05,59.625,59.5,61.3125,61.0,829500.0
2000-07-06,61.0,61.0,61.4375,61.3125,570100.0
2000-07-07,60.375,60.125,61.0,60.6875,733000.0
2000-07-10,60.0,59.875,61.0625,61.0,596000.0
2000-07-11,60.3125,60.3125,60.9375,60.8125,469800.0
2000-07-12,60.5,60.1875,61.0625,60.6875,613300.0
2000-07-13,60.5625,60.0625,60.75,60.3125,631200.0
2000-07-14,60.6875,60.4375,61.0,60.875,678100.0
2000-07-17,60.9375,60.0625,61.375,60.4375,944800.0
2000-07-18,60.1875,60.1875,60.875,60.75,565500.0
2000-07-19,60.75,60.625,61.5,61.25,1013500.0
2000-07-20,60.875,59.1875,60.9375,59.5625,1154700.0
2000-07-21,59.3125,59.0,60.0,59.5,1013100.0
2000-07-24,58.75,58.5,59.5,59.0,930800.0
2000-07-25,58.5625,58.5625,59.0625,58.6875,572700.0
2000-07-26,58.625,57.5625,58.6875,58.125,868000.0
2000-07-27,58.0,57.5,58.6875,58.125,508100.0
2000-07-28,58.6875,57.25,58.875,57.375,468600.0
2000-07-31,57.375,57.25,58.75,58.75,644900.0
2000-08-01,58.5625,57.875,58.5625,58.3125,365400.0
2000-08-02,58.375,57.75,58.5,58.1875,314000.0
2000-08-03,57.625,57.3125,58.5,57.9375,447800.0
2000-08-04,57.4375,57.4375,58.0,57.6875,339500.0
2000-08-07,57.8125,57.25,57.9375,57.375,507300.0
2000-08-08,57.125,56.6875,57.25,56.875,637200.0
2000-08-09,56.875,55.6875,57.0,55.75,705200.0
2000-08-10,55.4375,54.875,58.75,58.5,2150100.0
2000-08-11,58.0,57.75,59.0,59.0,734100.0
2000-08-14,58.75,58.5,59.0625,58.625,990300.0
2000-08-15,58.375,57.5625,58.5,57.875,756500.0
2000-08-16,57.625,57.25,58.0,57.3125,487600.0
2000-08-17,57.3125,56.75,57.4375,56.75,718500.0
2000-08-18,56.75,55.8125,57.0,56.1875,736100.0
2000-08-21,56.25,55.75,56.8125,55.8125,590800.0
2000-08-22,55.8125,55.75,56.375,56.25,789700.0
2000-08-23,56.0,55.6875,56.25,55.75,710800.0
