Open,Low,High,Close,Volume
2008-03-19,14.875,13.75,17.25,14.125,708486000.0
2008-03-20,14.6,14.375,16.25,16.0875,198985200.0
2008-03-24,16.809999,14.75,16.924999,14.9325,149566400.0
2008-03-25,15.145,14.955,16.0625,15.8125,87091999.99999999
2008-03-26,15.6825,15.3925,16.120001,15.99,43111600.0
2008-03-27,16.012501,15.6625,16.184999,15.7275,39829600.0
2008-03-28,15.8425,15.54,15.86,15.69,24675200.0
2008-03-31,15.65,15.5125,15.87,15.59,22157200.0
2008-04-01,15.765,15.0775,15.92,15.4025,60410800.0
2008-04-02,15.43,15.125,15.58,15.58,43836400.0
2008-04-03,15.4875,15.455,16.5725,16.375,100868000.0
2008-04-04,16.225,15.9375,16.33,16.120001,36394400.0
2008-04-07,16.275,16.004999,16.450001,16.26,28301600.000000004
2008-04-08,16.225,16.202499,17.059999,17.022499,53925599.99999999
2008-04-09,17.110001,16.4025,17.18,16.4475,48324400.0
2008-04-10,16.540001,16.2775,16.682501,16.5275,22372000.0
2008-04-11,16.3125,16.3125,16.692499,16.5275,26421600.0
2008-04-14,16.674999,16.3825,16.809999,16.42,28443600.0
2008-04-15,16.5725,16.0,16.637501,16.0875,23887999.999999996
2008-04-16,16.139999,16.139999,16.737499,16.535,25136800.0
2008-04-17,16.565001,16.502501,16.9375,16.76,22459600.0
2008-04-18,17.002501,16.799999,17.612499,17.25,104099600.0
2008-04-21,17.370001,17.2125,18.125,17.7425,58848000.0
2008-04-22,17.98,17.5,18.1,17.57,47357600.0
2008-04-23,17.737499,17.422501,17.924999,17.52,37319600.0
2008-04-24,17.799999,17.51,18.247499,18.075001,38086800.0
2008-04-25,19.0,18.477501,19.02,18.775,101460000.0
2008-04-28,19.125,18.725,19.3225,18.907499,132517200.0
2008-04-29,18.5375,17.75,20.219999,20.219999,197308400.0
2008-04-30,20.35,20.2675,21.202499,20.862499,147543600.0
2008-05-01,21.0975,20.975,21.91,21.35,116395600.0
