Open,Low,High,Close,Volume
2000-03-28,54.465233,53.678326,54.802479,54.409027,3661422.0
2000-03-29,54.409027,54.184196,55.758011,55.758011,3688776.0
2000-03-30,55.645596,55.083519,56.095257,55.083519,4356723.0
2000-03-31,56.207672,54.971104,56.825958,54.971104,5141091.0
2000-04-03,55.53318,54.914894,56.713539,56.713539,3683883.0
2000-04-04,58.399773,56.151466,59.355301,57.331825,7770180.0
2000-04-05,57.444241,56.657333,58.231148,56.825958,3569241.0
2000-04-06,57.106995,56.938374,58.680808999999996,58.624603,3068420.0
2000-04-07,58.006317,57.669071,58.399773,58.118732,4906247.0
2000-04-10,57.21941,56.432503,57.725281,56.825958,3734032.0
2000-04-11,57.556656,57.331825,58.174942,57.612865,3090659.0
2000-04-12,57.781487,57.388035,58.680808999999996,57.893902,4545643.0
2000-04-13,57.781487,56.713539,57.781487,56.713539,3273241.0
2000-04-14,56.488712,54.352818,57.331825,54.971104,4372624.0
2000-04-17,54.914894,53.228664,55.30835,54.521442,3963427.0
2000-04-18,54.296612,54.184196,55.420765,54.577647999999996,3324835.0
2000-04-19,54.746273,54.521442,55.645596,55.53318,2446174.0
2000-04-20,55.083519,53.790741,55.195934,54.184196,2282829.0
2000-04-24,54.409027,54.240402,55.701801,55.701801,2671899.0
2000-04-25,55.926636,54.802479,56.601128,56.601128,3411567.0
2000-04-26,55.420765,54.633858,56.165516,55.30835,3387216.0
2000-04-27,54.914894,53.846951,55.027309,53.959366,3754381.0
2000-04-28,54.296612,52.610382,54.352818,53.959366,4947056.0
2000-05-01,53.284874,52.160721,53.62212,52.160721,6393811.0
2000-05-02,51.71106,48.451015,51.823475,49.462753,7476848.0
2000-05-03,49.406544,49.181713,50.081036,49.856205,6879288.0
2000-05-04,49.799999,48.394806,49.799999,48.394806,4768477.0
2000-05-05,48.169975,48.113766,48.844467,48.507221,2548473.0
2000-05-08,48.619637,47.832729,49.237923,48.984985,4121101.0
2000-05-09,48.451015,48.226185,49.462753,48.535324,4703317.0
2000-05-10,48.338596,47.77652,49.350334,48.226185,3991670.0
2000-05-11,49.125507,48.507221,49.575169,49.223869,3808977.0
2000-05-12,48.675842,47.326859,48.788261,47.664104,6211674.0
2000-05-15,48.00135,47.551689,49.518959,49.518959,4175587.0
2000-05-16,50.24966,49.350334,50.24966,49.68758,3051630.0
2000-05-17,48.788261,48.507221,48.956882,48.788261,2806668.0
2000-05-18,48.451015,48.282391,48.900677,48.451015,2739395.0
2000-05-19,47.551689,45.472008,47.945145,47.326859,5550844.0
2000-05-22,47.383068,46.258915,47.551689,47.045822,2542024.0
2000-05-23,47.045822,45.584423,47.102028,45.696838,3363531.0
2000-05-24,45.753044,45.528214,46.539951,46.37133,4397865.0
2000-05-25,46.202705,45.134762,46.202705,45.528214,3079206.0
2000-05-26,45.078552,45.078552,47.326859,46.483746,2457627.0
2000-05-30,46.708576,46.652367,47.326859,47.270653,3039954.0
2000-05-31,47.214443,46.933407,47.832729,47.551689,2686355.0
2000-06-01,47.495483,47.045822,48.338596,48.127819,2660113.0
2000-06-02,49.125507,47.664104,49.125507,48.226185,3482509.0
2000-06-05,48.226185,47.495483,48.563431,47.664104,2553811.0
2000-06-06,47.888939,47.607899,48.844467,48.619637,2814340.0
2000-06-07,48.732052,48.451015,49.181713,48.619637,3932292.0
2000-06-08,48.338596,48.113766,49.181713,49.125507,4093636.0
2000-06-09,49.125507,48.394806,49.181713,48.507221,2870716.0
2000-06-12,48.563431,48.338596,49.125507,48.394806,2569155.0
2000-06-13,48.563431,48.507221,50.924152,49.856205,3796079.0
2000-06-14,50.474491,50.193451,51.65485,51.598644,4294899.0
2000-06-15,51.71106,50.643112,52.722797,50.867943,5563631.0
2000-06-16,50.137245,49.406544,50.699322,49.518959,5447655.0
2000-06-19,49.575169,49.406544,51.879681,51.261398,4819404.0
2000-06-20,50.811737,50.081036,51.992096,51.65485,5193575.0
