Open,Low,High,Close,Volume
2013-02-01,31.5,30.469999,31.74,31.01,66789100.0
2013-02-04,31.09,30.76,31.99,31.02,7695400.0
2013-02-05,31.25,30.85,31.98,31.040001,5013200.0
2013-02-06,30.98,30.75,31.43,31.030001,2126100.0
2013-02-07,31.0,31.0,32.73,32.0,3800800.0
2013-02-08,32.310001,32.299999,33.48,33.049999,2599300.0
2013-02-11,33.060001,32.880001,33.5,33.259998,1487200.0
2013-02-12,33.400002,33.150002,34.0,33.740002,1637300.0
2013-02-13,33.799999,33.0,33.799999,33.549999,1269700.0
2013-02-14,33.389999,32.77,33.450001,33.27,2954500.0
2013-02-15,33.310001,33.0,34.09,33.98,5415400.0
2013-02-19,34.02,33.57,34.07,33.84,1206900.0
2013-02-20,33.84,32.599998,33.880001,32.720001,1842900.0
2013-02-21,32.5,31.860001,32.799999,32.560001,3242300.0
2013-02-22,32.779999,32.5,32.93,32.59,954500.0
2013-02-25,32.68,32.0,32.689999,32.07,818900.0
2013-02-26,32.049999,31.99,32.400002,32.040001,1048700.0
2013-02-27,32.0,32.0,33.049999,32.32,1343600.0
2013-02-28,32.560001,32.560001,33.549999,33.450001,2991400.0
2013-03-01,33.360001,33.150002,34.700001,34.599998,2334000.0
2013-03-04,34.799999,34.240002,34.889999,34.349998,865400.0
2013-03-05,34.41,33.75,34.48,34.290001,1413400.0
2013-03-06,34.34,33.849998,34.380001,33.849998,802000.0
2013-03-07,33.950001,33.560001,34.68,34.560001,1320000.0
2013-03-08,34.029999,33.799999,34.689999,34.09,1541100.0
2013-03-11,33.970001,33.25,34.259998,34.18,1729400.0
2013-03-12,34.119999,33.599998,34.240002,33.82,1557600.0
2013-03-13,33.900002,33.080002,34.060001,34.0,2240800.0
2013-03-14,34.330002,34.299999,35.419998,34.639999,1865200.0
2013-03-15,34.700001,33.310001,34.84,33.439999,2692100.0
2013-03-18,32.75,32.639999,32.939999,32.84,2372000.0
2013-03-19,32.799999,32.330002,33.419998,32.799999,1336200.0
2013-03-20,32.900002,32.5,33.540001,33.509998,1944000.0
2013-03-21,33.900002,33.290001,34.0,33.470001,514500.0
2013-03-22,33.549999,32.740002,33.75,33.119999,763300.0
2013-03-25,33.48,32.25,33.48,32.459999,1324600.0
2013-03-26,32.73,32.0,32.790001,32.509998,1396500.0
2013-03-27,32.380001,32.060001,32.889999,32.740002,1896800.0
2013-03-28,32.849998,32.630001,33.5,33.400002,7434900.0
2013-04-01,33.419998,32.43,33.59,32.59,1466300.0
2013-04-02,32.66,32.459999,33.130001,32.549999,712200.0
2013-04-03,32.669998,32.360001,32.98,32.529999,1409700.0
2013-04-04,32.41,31.709999,32.5,31.84,1946400.0
2013-04-05,31.73,30.57,32.07,31.959999,3963500.0
2013-04-08,31.950001,31.77,32.98,32.919998,1965200.0
2013-04-09,33.049999,32.560001,33.59,33.439999,2004400.0
2013-04-10,33.759998,32.98,33.759998,33.150002,969500.0
2013-04-11,33.220001,32.869999,33.240002,33.16,1826600.0
2013-04-12,32.970001,32.599998,33.349998,33.23,723500.0
2013-04-15,33.07,32.169998,33.23,32.240002,839500.0
2013-04-16,32.360001,32.290001,33.369999,33.209999,2271200.0
2013-04-17,32.98,32.169998,33.23,32.889999,3140500.0
2013-04-18,33.099998,32.380001,33.099998,32.470001,799900.0
2013-04-19,32.709999,31.809999,32.790001,32.709999,2159300.0
2013-04-22,32.900002,32.220001,32.900002,32.66,922100.0
2013-04-23,32.779999,31.5,32.959999,31.700001,2731700.0
2013-04-24,31.629999,30.42,31.690001,30.620001,4149300.0
2013-04-25,30.93,30.75,31.99,31.549999,1520600.0
2013-04-26,31.610001,31.610001,32.68,32.639999,1421800.0
2013-04-29,32.950001,32.169998,32.950001,32.66,1711600.0
2013-04-30,33.68,32.93,34.740002,33.02,3390300.0
2013-05-01,32.970001,32.66,33.509998,33.389999,1393100.0
2013-05-02,33.380001,33.110001,33.869999,33.279999,696300.0
2013-05-03,33.619999,33.0,33.639999,33.209999,998400.0
2013-05-06,33.349998,32.75,33.490002,32.939999,503700.0
2013-05-07,33.080002,32.290001,33.080002,32.880001,700700.0
2013-05-08,33.0,32.720001,33.439999,33.259998,1034100.0
2013-05-09,33.310001,33.279999,33.669998,33.549999,977200.0
2013-05-10,33.540001,32.970001,33.610001,33.18,534100.0
2013-05-13,33.060001,32.75,33.490002,33.040001,438700.0
2013-05-14,33.130001,32.849998,33.75,33.080002,872300.0
2013-05-15,32.939999,32.560001,33.060001,32.790001,563200.0
2013-05-16,33.48,33.16,33.799999,33.389999,1278700.0
2013-05-17,33.349998,33.189999,33.900002,33.900002,962200.0
2013-05-20,33.900002,33.599998,34.0,33.709999,735700.0
2013-05-21,33.57,32.990002,33.740002,33.040001,1692400.0
2013-05-22,32.549999,31.75,33.990002,33.549999,26006000.0
2013-05-23,33.25,32.709999,33.799999,32.84,9008500.0
2013-05-24,33.200001,32.529999,33.619999,33.459999,5911600.0
2013-05-28,33.799999,33.59,34.279999,34.259998,4960300.0
2013-05-29,34.25,32.880001,34.25,32.950001,3095700.0
2013-05-30,32.77,32.099998,33.099998,32.240002,3934100.0
2013-05-31,32.299999,31.799999,32.34,32.0,6512400.0
2013-06-03,32.009998,31.309999,32.84,32.75,3398000.0
2013-06-04,32.830002,31.84,32.990002,32.400002,4513400.0
2013-06-05,32.419998,31.75,32.419998,32.169998,3522300.0
2013-06-06,32.169998,31.540001,32.310001,32.080002,2918200.0
2013-06-07,32.259998,31.209999,32.34,31.5,5134200.0
2013-06-10,31.83,31.469999,32.110001,32.009998,4992100.0
2013-06-11,31.700001,31.4,32.02,31.700001,6367500.0
2013-06-12,31.950001,31.4,32.029999,31.530001,7648500.0
2013-06-13,31.469999,30.870001,31.549999,31.17,5849800.0
2013-06-14,31.0,30.610001,31.26,30.799999,10665000.0
2013-06-17,31.4,30.709999,31.76,30.959999,26785600.0
2013-06-18,31.33,30.950001,31.389999,31.18,24286200.0
2013-06-19,31.059999,30.82,31.24,31.0,23483400.0
2013-06-20,30.889999,30.049999,31.040001,30.190001,14938500.000000002
2013-06-21,30.549999,30.34,31.09,30.6,33694200.0
2013-06-24,30.15,29.4,30.5,30.379999,40766000.0
2013-06-25,30.799999,30.5,31.620001,31.49,13511100.0
2013-06-26,31.799999,30.92,31.9,30.969999,23779700.0
2013-06-27,31.459999,30.790001,31.51,30.870001,16734600.0
2013-06-28,30.9,30.540001,31.389999,30.889999,19415100.0
2013-07-01,31.02,30.129999,31.059999,30.610001,17601000.0
2013-07-02,30.219999,29.620001,30.83,29.700001,11157300.000000002
2013-07-03,29.67,28.969999,29.74,29.280001,12930000.0
2013-07-05,29.809999,29.780001,30.18,30.17,10819200.0
2013-07-08,30.450001,30.219999,30.969999,30.940001,15675100.0
2013-07-09,31.120001,30.940001,31.4,30.98,8704800.0
2013-07-10,31.08,30.469999,31.24,31.040001,6506200.0
2013-07-11,31.43,30.84,31.450001,30.92,4486900.0
2013-07-12,31.02,31.01,31.379999,31.35,5429400.0
2013-07-15,31.309999,31.1,31.65,31.58,4201900.0
2013-07-16,31.559999,31.1,31.65,31.16,4301200.0
2013-07-17,31.23,30.85,31.23,30.99,3545800.0
2013-07-18,31.110001,30.77,31.200001,30.82,4053700.0
2013-07-19,30.790001,30.120001,30.799999,30.24,8946200.0
2013-07-22,30.360001,30.16,30.59,30.27,4255800.0
2013-07-23,30.41,29.76,30.440001,30.059999,5091800.0
2013-07-24,30.129999,29.66,30.549999,29.9,4890100.0
2013-07-25,29.879999,29.709999,30.549999,30.52,5472900.0
2013-07-26,30.4,30.0,30.530001,30.43,5051600.0
2013-07-29,30.27,29.98,30.540001,30.09,4123600.0
2013-07-30,30.15,29.889999,30.32,30.040001,4630100.0
2013-07-31,30.0,29.799999,30.190001,29.809999,5375100.0
2013-08-01,29.969999,29.459999,30.209999,30.16,8105500.0
2013-08-02,30.120001,29.91,30.959999,30.940001,5187500.0
2013-08-05,30.469999,30.469999,31.389999,31.25,7283300.0
2013-08-06,31.68,31.09,32.5,31.129999,12471200.0
2013-08-07,31.1,30.65,31.4,31.24,5920100.0
2013-08-08,31.4,31.18,31.83,31.24,7161900.0
2013-08-09,31.139999,30.780001,31.24,30.91,2784100.0
2013-08-12,30.68,30.040001,30.99,30.33,5793700.0
2013-08-13,30.5,30.200001,30.75,30.450001,3116200.0
2013-08-14,30.5,30.08,30.629999,30.139999,3858200.0
2013-08-15,29.940001,29.790001,30.16,30.02,5818900.0
2013-08-16,29.940001,29.75,30.200001,30.0,3678800.0
2013-08-19,29.91,29.84,30.299999,29.870001,2480600.0
2013-08-20,29.860001,29.709999,30.41,30.23,3804100.0
2013-08-21,30.07,29.6,30.190001,29.85,3531400.0
2013-08-22,29.83,29.57,30.01,29.870001,3030800.0
2013-08-23,29.879999,29.639999,30.23,30.200001,2531600.0
2013-08-26,30.16,29.65,30.16,29.799999,7179000.0
2013-08-27,29.530001,29.0,29.67,29.200001,8103500.0
2013-08-28,29.07,28.809999,29.83,29.57,7067300.0
