Open,Low,High,Close,Volume
2013-01-02,34.919998,34.099998,35.400002,35.119999,13767900.0
2013-01-03,35.0,34.16,35.0,34.830002,16739300.0
2013-01-04,34.619999,34.25,34.889999,34.389999,21372100.0
2013-01-07,34.150002,34.150002,35.450001,34.459999,17897100.0
2013-01-08,34.290001,33.360001,34.639999,33.709999,17863300.0
2013-01-09,33.610001,33.610001,33.950001,33.900002,18800400.0
2013-01-10,33.66,33.330002,34.0,34.0,15658100.0
2013-01-11,33.59,33.349998,33.900002,33.849998,11191500.0
2013-01-14,34.009998,33.799999,34.25,34.09,11584900.0
2013-01-15,33.709999,33.709999,34.720001,34.599998,13040200.0
2013-01-16,34.470001,34.450001,35.540001,35.540001,16512700.0
2013-01-17,35.75,35.75,36.700001,36.419998,14424800.0
2013-01-18,36.43,36.040001,37.32,37.32,17842200.0
2013-01-22,36.98,35.93,37.25,36.419998,15809700.000000002
2013-01-23,36.91,36.5,37.84,37.799999,10981600.0
2013-01-24,37.790001,37.23,38.52,37.459999,11327100.000000002
2013-01-25,37.52,36.639999,37.84,37.599998,8934600.0
2013-01-28,37.650002,36.709999,37.869999,36.889999,7140100.0
2013-01-29,36.709999,36.25,37.459999,37.310001,8838500.0
2013-01-30,36.810001,36.810001,37.529999,36.93,10841800.0
2013-01-31,36.84,36.27,36.93,36.689999,10720700.0
2013-02-01,36.84,36.52,37.200001,37.18,9527500.0
2013-02-04,36.639999,36.549999,37.299999,37.279999,6348000.0
2013-02-05,37.419998,37.18,37.73,37.200001,7284400.0
2013-02-06,36.959999,36.860001,37.279999,37.139999,5738900.0
2013-02-07,37.57,35.799999,37.57,36.419998,9872500.0
2013-02-08,36.369999,35.830002,36.419998,36.25,13858700.000000002
2013-02-11,36.130001,35.75,36.18,35.849998,6032100.0
2013-02-12,35.77,35.200001,35.900002,35.419998,7473800.0
2013-02-13,35.419998,35.150002,35.57,35.27,4859800.0
2013-02-14,35.049999,35.009998,36.73,36.57,7570100.0
2013-02-15,36.93,36.93,37.810001,37.580002,13296300.0
2013-02-19,37.540001,37.110001,38.330002,38.189999,8292700.0
2013-02-20,38.16,37.610001,39.130001,38.610001,8096400.0
2013-02-21,38.490002,38.189999,39.029999,38.779999,7260900.0
2013-02-22,38.790001,38.139999,38.849998,38.459999,4490400.0
2013-02-25,38.540001,37.369999,38.610001,37.369999,4665600.0
2013-02-26,37.599998,36.959999,37.599998,37.09,4463000.0
2013-02-27,36.970001,36.400002,36.98,36.73,12238400.0
2013-02-28,36.66,36.5,37.139999,36.919998,10321000.0
2013-03-01,36.799999,36.549999,38.07,37.810001,8929400.0
