Open,Low,High,Close,Volume
2000-03-28,14.841785,14.617335,15.26263,15.206517,10095324.000000002
2000-03-29,15.318743,15.234574,15.935981,15.655418,11370216.0
2000-03-30,15.879869,15.599306,16.160433,15.935981,10572713.0
2000-03-31,15.935981,15.459024,16.132376,15.7957,7390273.0
2000-04-03,15.964038,15.879869,16.77767,16.609333,9708157.0
2000-04-04,16.693501,16.581276,17.843809,17.703527,15373326.999999998
2000-04-05,17.338797,16.609333,17.366854,16.665445,8360866.0
2000-04-06,16.665445,16.665445,17.282684,16.974066,7079514.0
2000-04-07,16.974066,16.356827,17.058233,16.440994,6845164.0
2000-04-10,16.272657,15.964038,17.058233,16.637388,11166162.0
2000-04-11,16.581276,16.581276,17.282684,17.08629,8703926.0
2000-04-12,17.394909,17.17046,17.984093,17.787697,15842250.0
2000-04-13,17.61936,17.31074,17.899923,17.591303,8913995.0
2000-04-14,17.422964,16.384882,17.507133,16.525164,11353509.0
2000-04-17,16.609333,16.412937,17.002121,16.917952,7666949.0
2000-04-18,16.917952,16.665445,17.338797,17.142403,6324559.0
2000-04-19,17.254627,16.917952,17.422964,17.22657,6057016.0
2000-04-20,17.31074,17.17046,17.675472,17.61936,6094887.0
2000-04-24,17.394909,17.338797,18.06826,17.984093,9178864.0
2000-04-25,17.956036,17.507133,18.012148,17.843809,5514803.0
2000-04-26,17.31074,17.254627,17.507133,17.507133,4376244.0
2000-04-27,17.282684,17.198515,17.535191,17.507133,8515688.0
2000-04-28,17.394909,16.917952,17.394909,17.254627,6870336.0
2000-05-01,17.114346,16.749615,17.142403,17.08629,8625289.0
2000-05-02,16.889896,16.497107,17.22657,17.142403,8389825.0
2000-05-03,17.030176,16.665445,17.17046,16.889896,7554897.0
2000-05-04,16.77767,16.525164,16.917952,16.721558,5276666.0
2000-05-05,16.609333,16.525164,17.030176,17.030176,6311861.0
2000-05-08,17.058233,16.861839,17.422964,17.422964,4218749.0
2000-05-09,17.142403,17.142403,17.507133,17.507133,4383596.0
2000-05-10,17.17046,17.058233,17.451021,17.31074,6806848.0
2000-05-11,17.451021,16.917952,17.451021,16.974066,6419234.0
2000-05-12,16.805727,16.497107,16.833782,16.609333,6130975.0
2000-05-15,16.805727,16.77767,17.591303,17.479078,10544644.0
2000-05-16,17.479078,17.17046,17.507133,17.338797,5329016.0
2000-05-17,17.22657,17.17046,17.591303,17.31074,5120952.0
2000-05-18,17.507133,17.451021,18.264654,18.208542,14291128.0
2000-05-19,18.096317,18.012148,18.797724,18.657442,12146334.0
2000-05-22,18.685499,18.657442,19.218569,19.190514,12208486.0
2000-05-23,19.190514,18.966063,19.274681,19.190514,7282454.0
2000-05-24,19.274681,19.134399,19.751638,19.513161,11233438.0
2000-05-25,19.218569,19.078287,19.414963,19.190514,6554454.0
2000-05-26,19.190514,18.573275,19.302738,18.713554,4614604.0
2000-05-30,18.713554,18.236597,18.741611,18.461048,4097118.0
2000-05-31,18.60133,18.15243,18.629387,18.264654,4422580.0
2000-06-01,18.292711,18.124372,18.713554,18.348824,4444411.0
2000-06-02,18.461048,17.479078,18.489105,17.563248,8030281.0
2000-06-05,17.451021,17.451021,18.040203,17.843809,5275107.0
2000-06-06,17.591303,17.422964,18.180487,18.040203,3894624.0
2000-06-07,17.984093,17.984093,18.264654,18.040203,3213850.0
2000-06-08,18.376881,17.956036,18.404936,18.236597,3801730.0
2000-06-09,18.292711,18.180487,18.741611,18.320766,3290259.0
2000-06-12,18.348824,18.096317,18.629387,18.096317,2758515.0
2000-06-13,18.040203,18.040203,18.629387,18.432993,3572504.0
2000-06-14,18.573275,18.545218,18.90995,18.853836,4600125.0
2000-06-15,18.881893,18.797724,19.330793,19.246626,5519259.0
2000-06-16,19.246626,19.022175,19.274681,19.050232,6136990.0
2000-06-19,19.106344,18.881893,19.302738,19.106344,4127192.0
2000-06-20,18.938005,18.573275,18.938005,18.769669,4432159.0
2000-06-21,18.769669,18.629387,18.881893,18.657442,4258624.0
2000-06-22,18.432993,18.208542,18.573275,18.320766,5972142.0
2000-06-23,18.404936,17.984093,18.461048,18.15243,5284686.0
2000-06-26,18.124372,18.012148,19.078287,18.432993,5800167.0
2000-06-27,18.376881,18.320766,19.078287,18.657442,6441066.0
2000-06-28,18.797724,18.741611,19.330793,19.092316,7026941.0
2000-06-29,19.386908,18.797724,19.611356999999998,18.797724,9090425.0
2000-06-30,18.404936,18.236597,20.060259,20.004145,14398056.0
2000-07-03,19.807751,19.583302,20.116371,19.89192,5158154.0
2000-07-05,19.948032,19.751638,20.28471,20.004145,10513234.0
2000-07-06,19.976089,19.471075,20.088314,19.667471,5738683.0
2000-07-07,19.667471,19.302738,19.779696,19.44302,6199587.0
2000-07-10,19.499132,19.022175,19.583302,19.302738,6666505.0
2000-07-11,19.274681,19.106344,19.35885,19.302738,4906206.0
2000-07-12,19.302738,19.106344,20.088314,19.89192,11584963.0
2000-07-13,20.200541,19.106344,20.200541,19.583302,9299380.0
2000-07-14,19.583302,18.404936,19.611356999999998,19.078287,9511677.0
2000-07-17,18.657442,18.657442,19.274681,19.078287,6334360.0
2000-07-18,19.162457,18.573275,19.471075,18.825781,5274216.0
2000-07-19,18.881893,18.404936,19.022175,18.461048,3729554.0
2000-07-20,18.573275,18.236597,18.713554,18.461048,4544210.0
2000-07-21,18.404936,17.956036,18.404936,18.124372,7121617.0
2000-07-24,17.956036,17.956036,18.376881,18.292711,4500994.0
2000-07-25,17.984093,17.843809,18.096317,17.843809,5136991.0
2000-07-26,17.927979,17.815754,18.124372,17.899923,5987068.0
2000-07-27,17.899923,17.899923,18.096317,17.956036,3954993.0
2000-07-28,17.871866,17.843809,18.90995,18.629387,5858309.0
2000-07-31,18.853836,18.60133,18.938005,18.629387,5687224.0
2000-08-01,18.797724,18.685499,19.050232,18.938005,8208494.0
2000-08-02,18.90995,18.573275,19.190514,19.190514,11376008.0
2000-08-03,19.190514,19.022175,19.274681,19.274681,8417448.0
2000-08-04,18.90995,18.629387,18.994118,18.853836,7071272.0
2000-08-07,18.629387,17.956036,18.853836,18.15243,9163716.0
2000-08-08,18.012148,17.675472,18.264654,18.040203,10761618.0
2000-08-09,17.984093,17.647415,18.348824,17.759642,6169291.0
2000-08-10,17.647415,17.647415,18.320766,18.208542,5376465.0
2000-08-11,18.376881,18.208542,18.545218,18.376881,6395621.0
2000-08-14,18.096317,17.843809,18.138401,18.040203,3638665.0
2000-08-15,17.899923,17.843809,18.320766,18.040203,8844714.0
2000-08-16,18.348824,18.208542,18.489105,18.320766,9283118.0
2000-08-17,18.489105,18.208542,18.489105,18.376881,5817320.0
2000-08-18,18.208542,17.787697,18.320766,18.040203,8320545.0
2000-08-21,18.966063,18.461048,18.966063,18.769669,9751819.0
2000-08-22,18.825781,18.657442,18.938005,18.881893,5186446.0
2000-08-23,18.685499,18.629387,18.853836,18.685499,4321444.0
2000-08-24,18.657442,18.292711,18.713554,18.376881,4155260.0
2000-08-25,18.236597,18.124372,18.90995,18.797724,4976377.0
2000-08-28,19.078287,18.853836,19.527187,19.414963,8327228.0
2000-08-29,19.302738,18.966063,19.302738,19.106344,5009124.0
2000-08-30,19.134399,19.050232,19.639414,19.330793,7222975.0
2000-08-31,19.751638,19.471075,20.200541,19.646427,12143660.999999998
2000-09-01,19.751638,19.414963,19.919977,19.414963,4006230.0
2000-09-05,19.218569,18.853836,19.274681,19.162457,6076620.0
2000-09-06,19.106344,18.741611,19.190514,19.022175,6097337.0
2000-09-07,19.078287,18.90995,19.499132,19.386908,3863659.0
2000-09-08,19.386908,19.302738,19.835808,19.807751,5164837.0
2000-09-11,19.723581,19.667471,20.172483,20.172483,5805736.0
2000-09-12,19.976089,19.779696,20.200541,20.144426,4785912.0
2000-09-13,20.032202,19.611356999999998,20.144426,19.863865,4582081.0
2000-09-14,19.751638,19.414963,19.919977,19.751638,6969245.0
2000-09-15,19.555244,19.414963,21.996143,21.547241,8703480.0
2000-09-18,20.172483,19.583302,21.014172,19.863865,16889252.0
2000-09-19,19.667471,19.330793,19.723581,19.527187,8909094.0
2000-09-20,19.527187,19.35885,19.723581,19.723581,5205604.0
2000-09-21,19.723581,19.639414,20.873892,20.649441,10714838.0
2000-09-22,21.098341,20.930004,21.771692,21.771692,13540182.999999998
2000-09-25,21.547241,21.378904,21.659468,21.547241,8693010.0
2000-09-26,21.210567,20.537214,21.378904,20.873892,8163718.0
2000-09-27,20.649441,20.396935,21.042229,20.986116,6418121.0
2000-09-28,20.761665,20.705553,21.210567,20.958059,6895732.0
2000-09-29,20.873892,20.845835,21.547241,21.350847,7123176.0
2000-10-02,21.519186,21.238623,21.547241,21.519186,5670962.0
2000-10-03,21.463074,21.294735,21.71558,21.659468,6516138.0
2000-10-04,21.659468,21.210567,21.71558,21.26668,4902864.0
2000-10-05,21.322792,21.322792,21.827805,21.378904,8633755.0
2000-10-06,21.603355,21.238623,21.968086,21.519186,6205379.0
2000-10-09,21.71558,21.18251,21.771692,21.406961,3522827.0
2000-10-10,20.986116,20.930004,22.276707,22.024199,13290016.0
2000-10-11,22.108368,22.052256,22.781719,22.473101,12761837.0
2000-10-12,22.529213,22.24865,22.837831,22.332819,14493846.0
2000-10-13,22.024199,21.855862,22.557268,22.557268,11259501.0
2000-10-16,22.557268,22.388931,23.034225,22.641438,13035617.0
2000-10-17,23.00617,22.641438,23.53924,23.118395,11923790.0
2000-10-18,23.118395,22.837831,23.679522,22.893946,13371325.999999998
2000-10-19,22.388931,21.463074,22.445044,21.883919,10662932.999999998
2000-10-20,21.603355,21.603355,21.996143,21.911974,6189117.0
2000-10-23,22.024199,21.855862,22.669495,22.136425,6999095.0
2000-10-24,22.220594,21.687525,22.529213,22.108368,8267749.0
2000-10-25,22.388931,22.304762,23.174507,23.09034,12992623.0
2000-10-26,23.118395,22.641438,23.595352,22.922001,10172402.0
2000-10-27,22.613382,22.473101,23.511185,23.202564,8457546.0
2000-10-30,23.286734,23.174507,24.240648,24.240648,13404741.0
2000-10-31,24.240648,23.45507,24.268703,23.707579,10027826.0
2000-11-01,23.230621,23.230621,23.763691,23.735634,5323224.0
2000-11-02,23.567295,23.258677,24.156479,24.016197,6259288.0
2000-11-03,24.016197,23.370901,24.184534,23.679522,6692792.0
2000-11-06,23.370901,23.146452,24.128422,23.623409,7863206.0
2000-11-07,23.595352,23.342846,23.875916,23.483128,6102461.0
2000-11-08,23.735634,23.567295,23.98814,23.567295,7128968.0
2000-11-09,23.567295,22.697552,23.903973,23.511185,7562694.0
2000-11-10,23.342846,23.174507,23.875916,23.595352,5253721.0
2000-11-13,23.511185,22.108368,23.511185,23.00617,8551331.0
2000-11-14,22.725607,22.24865,22.865889,22.837831,7475815.0
2000-11-15,22.781719,22.641438,23.960085,23.903973,7821548.0
2000-11-16,23.903973,23.595352,23.960085,23.735634,4993976.0
2000-11-17,23.735634,23.118395,23.875916,23.398958,5422801.0
2000-11-20,23.623409,23.398958,23.847858,23.651464,3495872.0
2000-11-21,23.342846,23.342846,24.296761,24.184534,10132526.0
2000-11-22,23.735634,23.53924,24.156479,24.044252,6461783.0
2000-11-24,24.016197,23.567295,24.016197,23.819803,1738914.0
2000-11-27,23.791746,23.45507,23.960085,23.791746,5721085.0
2000-11-28,23.791746,23.679522,24.689548,24.577324,8919786.0
2000-11-29,24.689548,24.661491,25.082336,25.026224,8108917.0
2000-11-30,25.110394,24.324816,25.250675,24.717606,9759838.0
2000-12-01,24.465097,23.230621,24.465097,23.735634,8917559.0
2000-12-04,23.258677,23.230621,24.605379,24.268703,6504777.0
2000-12-05,24.549267,24.016197,25.026224,24.128422,8508783.0
2000-12-06,24.016197,22.641438,24.240648,22.978113,8500986.0
2000-12-07,22.697552,22.669495,23.314789,22.922001,7605688.0
2000-12-08,22.922001,22.024199,22.922001,22.304762,9333018.0
2000-12-11,22.416988,22.24865,22.753662,22.473101,6178424.0
2000-12-12,22.445044,22.388931,22.809776,22.529213,5803954.0
2000-12-13,22.753662,22.697552,23.707579,23.258677,7000655.0
2000-12-14,22.613382,21.435017,22.837831,21.603355,17118701.0
2000-12-15,20.42499,20.396935,21.491131,21.014172,32598956.0
2000-12-18,21.519186,21.350847,22.445044,22.24865,17980807.0
2000-12-19,22.024199,22.024199,22.781719,22.585325,15930019.999999998
2000-12-20,22.445044,21.575298,22.585325,21.911974,9590313.0
2000-12-21,21.883919,21.547241,22.388931,21.603355,10996191.0
2000-12-22,21.631411,20.958059,21.659468,21.26668,6362429.0
2000-12-26,21.098341,21.098341,21.883919,21.631411,4104247.0
2000-12-27,21.911974,21.71558,22.697552,21.799749,5631533.0
2000-12-28,21.827805,21.519186,22.16448,21.771692,5397628.0
2000-12-29,21.743635,21.491131,21.968086,21.743635,4274440.0
